訓練日期,20150521 - 20150821
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10048326.759999999776483
真實報酬,48326.759999999776483

夏普值報酬,-0.003867324000000
夏普值風險,0.025986926282423
夏普值,-0.148818061742678

預期報酬,9273.953436075364152
風險,141672.112603055749787
趨勢值,0.065460684291902
找到最佳解世代,2547
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](3),JPM[13](4),NKE[19](1),
Stock#,HD[9](3),JPM[13](4),NKE[19](1),
張數,29735,50140,63722,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,39.500000000000000,25.799999999813735,35.179999999701977,
20150521,3330656.850000000093132,3341856.800000000279397,3326323.580000000074506,9998838.230000000447035
20150522,3335117.100000000093132,3332831.599999999627471,3327598.019999999552965,9995547.719999998807907
20150526,3298543.050000000279397,3295728.000000000000000,3295099.799999999813735,9889371.850000001490116
20150527,3335117.100000000093132,3332831.599999999627471,3276620.419999999925494,9944570.119999999180436
20150528,3336009.149999999906868,3319293.799999999813735,3259415.479999999515712,9914719.429999999701977
20150529,3313113.200000000186265,3298235.000000000000000,3239661.660000000149012,9851010.859999999403954
20150601,3320546.950000000186265,3313276.999999999534339,3242210.540000000037253,9876035.489999998360872
20150602,3318168.149999999906868,3310268.599999999627471,3253680.500000000000000,9882118.250000000000000
20150603,3364852.100000000093132,3344363.799999999813735,3266424.899999999441206,9975641.800000000745058
20150604,3314302.599999999627471,3325811.999999999534339,3248582.739999999292195,9888698.339999999850988
20150605,3281891.450000000186265,3380464.600000000093132,3251131.620000000111759,9913488.670000001788139
20150608,3268808.050000000279397,3353890.399999999906868,3232015.019999999552965,9854714.469999998807907
20150609,3256914.049999999813735,3368431.000000000000000,3229466.139999999664724,9854812.189999999478459
20150610,3300029.800000000279397,3422582.200000000186265,3292550.919999999925494,10015163.919999999925494
20150611,3309247.650000000372529,3435618.599999999627471,3309755.859999999403954,10054623.109999999403954
20150612,3288730.500000000000000,3422080.799999999813735,3306569.759999999776483,10017382.059999998658895
20150615,3271186.850000000093132,3409044.399999999441206,3293188.139999999664724,9973420.390000000596046
20150616,3277728.550000000279397,3428097.600000000093132,3331421.339999999850988,10037248.490000000223517
20150617,3284864.950000000186265,3416565.399999999906868,3337793.540000000037253,10039224.890000000596046
20150618,3325899.250000000000000,3448655.000000000000000,3377301.179999999701977,10151856.429999999701977
20150619,3343145.550000000279397,3413556.999999999534339,3394506.120000000111759,10151209.669999999925494
20150622,3362175.949999999720603,3457680.199999999720603,3402789.979999999515712,10222647.129999998956919
20150623,3365446.800000000279397,3497290.799999999813735,3415534.379999999888241,10278272.980000000447035
20150624,3340766.750000000000000,3460688.599999999627471,3384310.599999999627471,10185766.949999999254942
20150625,3337495.899999999906868,3442136.800000000279397,3352449.599999999627471,10132083.300000000745058
20150626,3348200.500000000000000,3457178.799999999813735,3495824.099999999627471,10301204.399999998509884
20150629,3286946.400000000372529,3369433.799999999813735,3430827.660000000149012,10087208.859999999403954
20150630,3304490.049999999813735,3397512.200000000186265,3441660.399999999441206,10143663.649999998509884
20150701,3332440.949999999720603,3413055.599999999627471,3486903.019999999552965,10232400.569999998435378
20150702,3315194.649999999906868,3385478.599999999627471,3500921.859999999403954,10201596.109999999403954
20150706,3310139.699999999720603,3375951.999999999534339,3499647.419999999925494,10185740.119999999180436
20150707,3342253.500000000000000,3349377.799999999813735,3546164.479999999515712,10237796.779999999329448
20150708,3300624.500000000000000,3280686.000000000000000,3481805.259999999776483,10063116.759999999776483
20150709,3311923.799999999813735,3314781.199999999720603,3486903.019999999552965,10113609.019999999552965
20150710,3363068.000000000000000,3361912.799999999813735,3521312.899999999441206,10246294.699999999254942
20150713,3416591.000000000000000,3414058.399999999906868,3581848.799999999813735,10412499.199999999254942
