訓練日期,20181231 - 20190403
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11658409.179999999701977
真實報酬,1658409.179999999701977

夏普值報酬,0.157140918000000
夏普值風險,0.045880851908872
夏普值,3.424978209038335

預期報酬,26419.453467143528542
風險,71565.911063741528778
趨勢值,0.369162539461176
找到最佳解世代,2138
找到最佳解實驗#,3
找到最佳解次數,4

stock[index](rank)
投資組合檔數,5
AXP[1](7),CSCO[4](1),PG[21](8),TRV[22](2),VZ[26](25),
Stock#,AXP[1](7),CSCO[4](1),PG[21](8),TRV[22](2),VZ[26](25),
張數,21181,46761,21934,16914,36185,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,89.979999999981374,32.029999999795109,57.879999999888241,88.640000000130385,55.049999999813735,
20181231,2019062.899999999906868,2026186.159999999683350,2016231.159999999916181,2025540.140000000130385,2034375.749999999767169,10121396.109999999403954
20190102,2026688.060000000055879,2008416.979999999981374,2002193.399999999906868,1985284.820000000298023,2027138.750000000000000,10049722.009999999776483
20190103,1979030.810000000055879,1920506.299999999813735,1988155.639999999897555,1949596.280000000260770,2034375.749999999767169,9871664.779999999329448
20190104,2068202.820000000065193,2007014.149999999906868,2028733.539999999804422,2007442.160000000149012,2039441.649999999906868,10150834.320000000298023
20190107,2079428.750000000000000,2020574.839999999850988,2020617.959999999962747,2001014.840000000083819,2052468.249999999767169,10174104.639999998733401
20190108,2089595.630000000121072,2036941.189999999944121,2028075.519999999785796,1993234.400000000139698,2112535.350000000093132,10260382.089999999850988
20190109,2093408.209999999962747,2025718.549999999813735,1994955.179999999934807,2007442.160000000149012,2064409.299999999813735,10185933.399999998509884
20190110,2081335.040000000037253,2021977.669999999925494,1999780.659999999916181,2034335.420000000158325,2084311.049999999813735,10221739.839999999850988
20190111,2087477.530000000027940,2033667.919999999925494,2012941.059999999823049,2037718.220000000204891,2099508.750000000000000,10271313.480000000447035
20190114,2085147.619999999878928,2020574.839999999850988,1999341.979999999981374,2039578.760000000009313,2099870.599999999627471,10244513.799999998882413
20190115,2075616.169999999925494,2058451.250000000000000,2018205.219999999972060,2060552.120000000111759,2102403.549999999813735,10315228.309999998658895
20190116,2105693.189999999944121,2055645.589999999850988,2004167.459999999962747,2068670.840000000083819,2065494.849999999860302,10299671.929999999701977
20190117,2107387.669999999925494,2067335.839999999850988,1988155.639999999897555,2079495.800000000046566,2056448.599999999860302,10298823.549999998882413
20190118,2128356.859999999869615,2105679.859999999869615,2005264.159999999916181,2097593.780000000260770,2065856.699999999953434,10402751.359999999403954
20190122,2114589.209999999962747,2093989.609999999869615,1983768.839999999850988,2069685.680000000167638,2062238.199999999953434,10324271.539999999105930
20190123,2112047.489999999757856,2125787.089999999850988,2080278.439999999944121,2080848.920000000158325,2090100.649999999674037,10489062.589999999850988
20190124,2112259.299999999813735,2132801.239999999757856,2068434.079999999841675,2103851.959999999962747,2065132.999999999767169,10482479.579999998211861
20190125,2134499.350000000093132,2157116.959999999962747,2053080.279999999795109,2114000.360000000335276,2040889.049999999813735,10499586.000000000000000
20190128,2126238.759999999776483,2139347.779999999795109,2051325.559999999823049,2114846.060000000055879,1992762.999999999767169,10424521.159999998286366
20190129,2138523.739999999757856,2149167.589999999850988,2051764.239999999990687,2111294.120000000111759,1927991.849999999860302,10378741.540000000968575
20190130,2174743.250000000000000,2184238.339999999850988,2073259.559999999823049,2129222.959999999962747,1954045.049999999813735,10515509.160000000149012
20190131,2175378.680000000167638,2211359.719999999739230,2116030.859999999869615,2123472.200000000186265,1992401.149999999906868,10618642.610000001266599
20190201,2183003.839999999850988,2213697.770000000018626,2137964.859999999869615,2139540.500000000000000,1973946.799999999813735,10648153.769999999552965
20190204,2190629.000000000000000,2214165.379999999888241,2150247.899999999906868,2131929.200000000186265,1955492.449999999720603,10642463.929999999701977
20190205,2200795.879999999888241,2209956.889999999664724,2137306.839999999850988,2134297.160000000149012,1959110.949999999720603,10641467.719999998807907
20190206,2223247.739999999757856,2220244.309999999590218,2147835.160000000149012,2123641.339999999850988,1946446.199999999720603,10661414.749999998137355
20190207,2211174.569999999832362,2183770.729999999981374,2130726.640000000130385,2144107.280000000260770,1938485.499999999767169,10608264.719999998807907
20190208,2213928.100000000093132,2206683.619999999646097,2143229.019999999552965,2127700.700000000186265,1952235.799999999813735,10643777.239999998360872
20190211,2232779.189999999944121,2224920.409999999683350,2155512.059999999590218,2121442.520000000018626,1955854.299999999813735,10690508.480000000447035
20190212,2266456.979999999981374,2239416.319999999832362,2177226.720000000204891,2152564.280000000260770,1969242.749999999767169,10804907.050000000745058
20190213,2278318.339999999850988,2221179.529999999795109,2176788.039999999571592,2165757.200000000186265,1971413.849999999627471,10813456.959999999031425
20190214,2258408.200000000186265,2263264.429999999701977,2159679.519999999552965,2146982.660000000149012,1955130.599999999860302,10783465.409999998286366
20190215,2274505.759999999776483,2311428.259999999776483,2160118.200000000186265,2177597.000000000465661,1996019.649999999674037,10919668.870000001043081
20190219,2255866.479999999981374,2321715.679999999701977,2193238.539999999571592,2183686.040000000037253,2006151.449999999720603,10960658.189999997615814
20190220,2261797.160000000149012,2320780.459999999962747,2177665.399999999906868,2194511.000000000465661,2017730.649999999674037,10972484.669999999925494
20190221,2258196.390000000130385,2310493.039999999571592,2188632.399999999906868,2195864.120000000111759,2031842.799999999813735,10985028.750000000000000
20190222,2275776.620000000111759,2343225.739999999757856,2198941.379999999888241,2216160.920000000391155,2059705.249999999767169,11093809.910000000149012
20190225,2264974.310000000055879,2375023.219999999739230,2184026.259999999776483,2241024.500000000465661,2054639.349999999860302,11119687.639999998733401
20190226,2265186.120000000111759,2393260.009999999776483,2189729.099999999627471,2254217.420000000391155,2049573.449999999720603,11151966.099999999627471
20190227,2275353.000000000000000,2412432.020000000018626,2169549.819999999832362,2243223.320000000298023,2052468.249999999767169,11153026.410000000149012
20190228,2282130.919999999925494,2420849.000000000000000,2161653.579999999608845,2248128.379999999888241,2059705.249999999767169,11172467.129999998956919
20190301,2306700.879999999888241,2404015.039999999571592,2159240.839999999850988,2250158.060000000055879,2061152.649999999906868,11181267.470000000670552
20190304,2308818.979999999981374,2392324.789999999571592,2168672.459999999962747,2235273.740000000223517,2035099.449999999953434,11140189.419999998062849
20190305,2305641.830000000074506,2398871.329999999608845,2173497.939999999944121,2244407.300000000279397,2029309.849999999860302,11151728.250000000000000
20190306,2308395.359999999869615,2416172.899999999906868,2169988.500000000000000,2229353.840000000316650,2014835.849999999860302,11138746.449999999254942
20190307,2284672.640000000130385,2398403.719999999739230,2161653.579999999608845,2224110.500000000465661,2037270.549999999813735,11106110.989999998360872
20190308,2287214.359999999869615,2388116.299999999813735,2158582.819999999832362,2216160.920000000391155,2045593.099999999860302,11095667.500000000000000
20190311,2320680.339999999850988,2427863.149999999906868,2184245.599999999627471,2230537.820000000298023,2083587.349999999860302,11246914.259999999776483
20190312,2339107.810000000055879,2438618.179999999701977,2194554.579999999608845,2244914.720000000204891,2078159.599999999860302,11295354.890000000596046
20190313,2375327.319999999832362,2459193.020000000018626,2219340.000000000000000,2249650.640000000130385,2086482.149999999674037,11389993.130000000819564
20190314,2379775.330000000074506,2466207.169999999925494,2222410.759999999776483,2250665.479999999981374,2096975.799999999813735,11416034.539999999105930
20190315,2404557.100000000093132,2487717.229999999981374,2246976.839999999850988,2269609.160000000149012,2112897.199999999720603,11521757.529999999329448
20190318,2405192.529999999795109,2502213.139999999664724,2226578.220000000204891,2282463.800000000279397,2101318.000000000000000,11517765.690000001341105
20190319,2386553.250000000000000,2492860.939999999944121,2235132.479999999981374,2248466.660000000149012,2080692.549999999813735,11443705.879999998956919
20190320,2346309.350000000093132,2490522.889999999664724,2231184.359999999869615,2221404.260000000242144,2086843.999999999767169,11376264.859999999403954
20190321,2368549.399999999906868,2522320.369999999646097,2248073.539999999571592,2272822.820000000298023,2109278.699999999720603,11521044.829999998211861
20190322,2318562.239999999757856,2466207.169999999925494,2229868.319999999832362,2281787.240000000223517,2162470.649999999906868,11458895.620000001043081
20190325,2309666.220000000204891,2465739.559999999590218,2236448.519999999552965,2282632.939999999944121,2174049.849999999627471,11468537.089999997988343
20190326,2319409.479999999981374,2489120.059999999590218,2259698.559999999590218,2283140.359999999869615,2193951.600000000093132,11545320.059999998658895
20190327,2308395.359999999869615,2484911.569999999832362,2257066.479999999981374,2306312.540000000037253,2202997.850000000093132,11559683.799999998882413
20190328,2312207.939999999944121,2495198.989999999757856,2271323.579999999608845,2315615.240000000223517,2137864.849999999627471,11532210.599999999627471
20190329,2315173.279999999795109,2524658.419999999925494,2282290.579999999608845,2320012.879999999888241,2139674.100000000093132,11581809.259999999776483
20190401,2366007.680000000167638,2570951.809999999590218,2273297.640000000130385,2334558.920000000391155,2138226.699999999720603,11683042.750000000000000
20190402,2351180.979999999981374,2585447.719999999739230,2275710.379999999888241,2314092.979999999981374,2117963.099999999627471,11644395.159999998286366
20190403,2341861.339999999850988,2601346.459999999962747,2274394.339999999850988,2310541.040000000037253,2130265.999999999534339,11658409.179999999701977
