訓練日期,20150723 - 20151022
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11423544.919999998062849
真實報酬,1423544.919999998062849

夏普值報酬,0.133654492000000
夏普值風險,0.041294473821591
夏普值,3.236619325322810

預期報酬,10485.347148668113732
風險,328361.981324041553307
趨勢值,0.031932281278084
找到最佳解世代,2249
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),INTC[11](2),
Stock#,HD[9](1),INTC[11](2),
張數,43516,174764,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,11.599999999627471,1.959999999962747,
20150723,4986510.040000000037253,4998252.360000000335276,9984762.400000000372529
20150724,4942994.040000000037253,4903879.799999999813735,9846873.839999999850988
20150727,4920365.719999999739230,4954561.360000000335276,9874927.080000000074506
20150728,4997389.040000000037253,5061167.400000000372529,10058556.440000001341105
20150729,5063968.519999999552965,5069905.600000000558794,10133874.120000001043081
20150730,5067884.959999999031425,5052429.200000000186265,10120314.160000000149012
20150731,5092689.080000000074506,5059419.759999999776483,10152108.839999999850988
20150803,5086596.839999999850988,5076896.160000000149012,10163493.000000000000000
20150804,5114447.080000000074506,5090877.279999999329448,10205324.359999999403954
20150805,5134899.599999999627471,5089129.640000000596046,10224029.240000000223517
20150806,5072236.559999999590218,5069905.600000000558794,10142142.160000000149012
20150807,5088337.479999999515712,5047186.279999999329448,10135523.759999997913837
20150810,5117493.199999999254942,5180006.919999999925494,10297500.119999999180436
20150811,5121409.639999999664724,5062915.040000000037253,10184324.679999999701977
20150812,5121409.639999999664724,5148549.400000000372529,10269959.039999999105930
20150813,5179285.919999998994172,5045438.640000000596046,10224724.559999998658895
20150814,5211052.599999999627471,5071653.240000000223517,10282705.839999999850988
20150817,5208876.799999999813735,5082139.080000000074506,10291015.879999998956919
20150818,5343776.399999999441206,5052429.200000000186265,10396205.599999999627471
20150819,5342035.759999999776483,4956309.000000000000000,10298344.759999999776483
20150820,5245430.240000000223517,4811254.879999999888241,10056685.120000001043081
20150821,5054830.159999999217689,4641733.799999999813735,9696563.959999999031425
20150824,4897302.240000000223517,4587556.959999999962747,9484859.199999999254942
20150825,4828982.119999999180436,4521146.640000000596046,9350128.759999999776483
20150826,5044821.479999999515712,4771059.160000000149012,9815880.640000000596046
20150827,5120104.159999999217689,4844460.040000000037253,9964564.199999999254942
20150828,5114011.919999998994172,4966794.839999999850988,10080806.759999997913837
20150831,5067884.959999999031425,4987766.519999999552965,10055651.479999998584390
20150901,4920365.719999999739230,4861936.440000000409782,9782302.160000000149012
20150902,5068755.280000000260770,4998252.360000000335276,10067007.640000000596046
20150903,5073977.199999999254942,5082139.080000000074506,10156116.279999999329448
20150904,4979112.319999999366701,4984271.240000000223517,9963383.559999998658895
20150908,5066579.479999999515712,5155539.959999999962747,10222119.439999999478459
20150909,4959530.119999999180436,5110101.319999999366701,10069631.439999997615814
20150910,4982158.439999999478459,5115344.240000000223517,10097502.679999999701977
20150911,5023498.639999999664724,5150297.040000000037253,10173795.679999999701977
20150914,4992602.280000000260770,5136315.919999999925494,10128918.199999999254942
20150915,5055700.479999999515712,5195735.679999999701977,10251436.160000000149012
20150916,5127066.719999999739230,5202726.240000000223517,10329792.960000000894070
20150917,5130983.159999999217689,5192240.400000000372529,10323223.559999998658895
20150918,5009573.519999999552965,5071653.240000000223517,10081226.759999999776483
20150921,5073106.879999999888241,5096120.200000000186265,10169227.080000000074506
20150922,5039164.399999999441206,5010485.839999999850988,10049650.239999998360872
20150923,5055265.319999999366701,5022719.319999999366701,10077984.639999998733401
20150924,5062663.040000000037253,4977280.679999999701977,10039943.719999998807907
20150925,5080069.439999999478459,5034952.799999999813735,10115022.239999998360872
20150928,4965187.199999999254942,5026214.600000000558794,9991401.800000000745058
20150929,4913403.159999999217689,5110101.319999999366701,10023504.479999998584390
20150930,5025674.439999999478459,5267388.919999999925494,10293063.359999999403954
20151001,5092689.080000000074506,5242921.959999999962747,10335611.039999999105930
20151002,5126631.559999999590218,5332051.600000000558794,10458683.160000000149012
20151005,5187118.799999999813735,5454386.400000000372529,10641505.199999999254942
20151006,5164490.479999999515712,5547011.319999999366701,10711501.799999998882413
20151007,5206701.000000000000000,5648374.440000000409782,10855075.440000001341105
20151008,5268058.559999999590218,5683327.240000000223517,10951385.800000000745058
20151009,5279807.879999999888241,5616916.919999999925494,10896724.800000000745058
20151012,5304612.000000000000000,5629150.400000000372529,10933762.400000000372529
20151013,5291992.359999999403954,5599440.519999999552965,10891432.879999998956919
20151014,5233680.919999998994172,5732261.159999999217689,10965942.079999998211861
20151015,5300695.559999999590218,5723522.959999999962747,11024218.519999999552965
20151016,5341165.439999999478459,5774204.519999999552965,11115369.959999999031425
20151019,5356831.199999999254942,5870324.720000000670552,11227155.919999999925494
20151020,5345952.199999999254942,5844110.119999999180436,11190062.319999998435378
20151021,5365534.399999999441206,5831876.639999999664724,11197411.039999999105930
20151022,5411661.359999999403954,6011883.559999999590218,11423544.919999998062849
