訓練日期,20170308 - 20170608
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10640827.440000001341105
真實報酬,640827.440000001341105

夏普值報酬,0.055382744000000
夏普值風險,0.022693871157580
夏普值,2.440427356595010

預期報酬,11662.120182779048264
風險,49533.953764041340037
趨勢值,0.235436893213339
找到最佳解世代,2588
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](5),DIS[6](17),KO[14](3),WMT[28](1),
Stock#,AAPL[0](5),DIS[6](17),KO[14](3),WMT[28](1),
張數,17918,22550,59537,35780,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,80.639999999664724,107.000000000000000,41.370000000111759,51.399999999906868,
20170308,2490682.639999999664724,2499549.000000000000000,2500000.000000000000000,2497495.399999999906868,9987727.039999999105930
20170309,2484948.879999999888241,2503833.500000000000000,2502381.479999999981374,2499642.199999999720603,9990806.059999998658895
20170310,2493191.159999999217689,2501353.000000000000000,2517861.100000000093132,2508229.399999999906868,10020634.660000000149012
20170313,2494266.239999999292195,2514883.000000000000000,2502381.479999999981374,2502862.399999999906868,10014393.119999999180436
20170314,2490503.459999999962747,2532697.500000000000000,2498809.260000000242144,2530413.000000000000000,10052423.220000000670552
20170315,2516842.919999999925494,2522775.500000000000000,2507739.810000000055879,2525403.799999999813735,10072762.030000001192093
20170316,2520964.059999999590218,2519167.500000000000000,2515479.620000000111759,2520394.599999999627471,10076005.779999999329448
20170317,2508421.459999999962747,2520295.000000000000000,2502381.479999999981374,2500715.600000000093132,10031813.539999999105930
20170320,2534760.919999999925494,2541717.500000000000000,2511312.030000000260770,2503935.800000000279397,10091726.250000000000000
20170321,2505733.759999999776483,2520069.500000000000000,2530363.870000000111759,2501073.399999999906868,10057240.529999999329448
20170322,2534044.199999999254942,2527511.000000000000000,2523219.430000000167638,2513596.399999999906868,10098371.029999999329448
20170323,2525085.199999999254942,2531119.000000000000000,2510716.660000000149012,2499642.199999999720603,10066563.059999998658895
20170324,2520068.159999999217689,2528864.000000000000000,2507739.810000000055879,2490697.199999999720603,10047369.169999998062849
20170327,2524368.479999999515712,2534276.000000000000000,2519647.209999999962747,2492486.199999999720603,10070777.889999998733401
20170328,2576689.040000000037253,2549384.500000000000000,2526196.280000000260770,2516100.999999999534339,10168370.820000000298023
20170329,2582422.799999999813735,2537658.500000000000000,2525600.910000000149012,2531128.599999999627471,10176810.809999998658895
20170330,2579018.379999999888241,2552316.000000000000000,2536317.570000000298023,2561541.600000000093132,10229193.550000000745058
20170331,2574180.519999999552965,2557051.500000000000000,2526791.649999999906868,2579073.799999999813735,10237097.469999998807907
20170403,2574897.239999999292195,2552767.000000000000000,2525005.540000000037253,2570128.799999999813735,10222798.579999998211861
20170404,2594069.500000000000000,2549159.000000000000000,2541080.530000000260770,2576569.200000000186265,10260878.230000000447035
20170405,2580631.000000000000000,2548257.000000000000000,2534531.459999999962747,2563688.399999999906868,10227107.859999999403954
20170406,2574180.519999999552965,2549384.500000000000000,2540485.160000000149012,2555816.800000000279397,10219866.980000000447035
20170407,2568446.759999999776483,2538786.000000000000000,2536912.939999999944121,2608413.399999999906868,10252559.099999999627471
20170410,2565400.699999999254942,2535403.500000000000000,2541675.899999999906868,2614138.200000000186265,10256618.300000000745058
20170411,2537806.979999999515712,2549835.500000000000000,2539889.790000000037253,2627376.800000000279397,10254909.070000000298023
20170412,2540853.040000000037253,2549159.000000000000000,2556560.149999999906868,2627734.599999999627471,10274306.789999999105930
20170413,2527414.540000000037253,2552767.000000000000000,2547629.600000000093132,2617358.399999999906868,10245169.540000000968575
20170417,2541390.580000000074506,2565846.000000000000000,2564299.959999999962747,2629523.599999999627471,10301060.140000000596046
20170418,2530102.239999999292195,2575091.500000000000000,2588710.129999999888241,2643835.600000000093132,10337739.469999998807907
20170419,2520784.879999999888241,2564718.500000000000000,2573825.879999999888241,2650275.999999999534339,10309605.259999999776483
20170420,2552320.559999999590218,2588621.500000000000000,2565490.700000000186265,2676395.399999999906868,10382828.160000000149012
20170421,2549274.500000000000000,2580729.000000000000000,2564299.959999999962747,2681404.599999999627471,10375708.059999998658895
20170424,2573822.159999999217689,2564042.000000000000000,2576802.729999999981374,2675679.799999999813735,10390346.689999997615814
20170425,2589769.179999999701977,2597416.000000000000000,2566681.439999999944121,2685340.399999999906868,10439207.019999999552965
20170426,2574538.879999999888241,2606436.000000000000000,2574421.250000000000000,2698936.800000000279397,10454332.929999999701977
20170427,2576509.859999999403954,2612299.000000000000000,2560727.740000000223517,2699294.599999999627471,10448831.199999999254942
20170428,2574001.339999999850988,2606887.000000000000000,2569062.919999999925494,2689991.800000000279397,10439943.060000000521541
20170501,2626501.080000000074506,2587268.500000000000000,2573230.510000000242144,2691780.800000000279397,10478780.890000000596046
20170502,2643164.819999999366701,2579150.500000000000000,2583351.800000000279397,2702156.999999999534339,10507824.119999999180436
20170503,2635101.719999999739230,2517138.000000000000000,2579184.209999999962747,2710744.200000000186265,10442168.129999998956919
20170504,2625605.179999999701977,2506990.500000000000000,2599426.790000000037253,2731496.600000000093132,10463519.070000000298023
20170505,2669145.919999999925494,2525481.500000000000000,2601212.899999999906868,2737221.399999999906868,10533061.720000000670552
20170508,2741713.819999999366701,2512628.000000000000000,2613120.300000000279397,2723625.000000000000000,10591087.119999999180436
20170509,2759273.459999999962747,2527285.500000000000000,2590496.240000000223517,2745093.000000000000000,10622148.199999999254942
20170510,2746193.319999999366701,2472940.000000000000000,2594068.459999999962747,2744377.399999999906868,10557579.179999999701977
20170511,2758556.739999999292195,2471136.000000000000000,2600022.160000000149012,2723982.799999999813735,10553697.699999999254942
20170512,2797080.439999999478459,2473616.500000000000000,2595259.200000000186265,2708955.199999999720603,10574911.339999999850988
20170515,2789913.239999999292195,2460988.500000000000000,2603594.379999999888241,2729707.600000000093132,10584203.719999998807907
20170516,2785792.099999999627471,2435056.000000000000000,2610738.820000000298023,2687487.199999999720603,10519074.119999999180436
20170517,2692260.139999999664724,2397397.500000000000000,2615501.780000000260770,2687845.000000000000000,10393004.419999999925494
20170518,2733292.359999999403954,2405741.000000000000000,2607761.969999999739230,2774432.600000000093132,10521227.929999999701977
20170519,2742609.719999999739230,2424683.000000000000000,2613715.669999999925494,2818441.999999999534339,10599450.389999998733401
20170522,2759273.459999999962747,2427163.500000000000000,2630386.030000000260770,2810570.399999999906868,10627393.390000000596046
20170523,2755869.040000000037253,2413408.000000000000000,2642888.800000000279397,2808423.599999999627471,10620589.439999999478459
20170524,2747626.759999999776483,2428967.500000000000000,2680992.479999999981374,2796258.399999999906868,10653845.140000000596046
20170525,2757123.299999999813735,2419045.500000000000000,2703616.540000000037253,2801983.200000000186265,10681768.539999999105930
20170526,2752464.620000000111759,2444752.500000000000000,2702425.800000000279397,2795542.799999999813735,10695185.719999998807907
20170530,2753539.699999999254942,2443174.000000000000000,2704807.280000000260770,2796258.399999999906868,10697779.379999998956919
20170531,2737234.319999999366701,2434154.000000000000000,2707188.760000000242144,2812359.399999999906868,10690936.480000000447035
20170601,2744759.879999999888241,2440242.500000000000000,2726240.600000000093132,2855653.200000000186265,10766896.179999999701977
20170602,2785433.739999999292195,2417016.000000000000000,2732194.300000000279397,2848855.000000000000000,10783499.039999999105930
20170605,2758198.379999999888241,2402133.000000000000000,2738148.000000000000000,2871754.200000000186265,10770233.580000000074506
20170606,2767515.739999999292195,2379132.000000000000000,2737552.629999999888241,2824166.800000000279397,10708367.169999999925494
20170607,2784000.299999999813735,2388603.000000000000000,2709570.240000000223517,2832038.399999999906868,10714211.939999999478459
20170608,2777191.459999999962747,2352523.000000000000000,2686946.180000000167638,2824166.800000000279397,10640827.440000001341105
