代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11255900.869999999180436
真實報酬,1255900.869999999180436

夏普值報酬,0.116890087000000
夏普值風險,0.036785199271224
夏普值,3.177639086257185

預期報酬,20288.672716793371364
風險,105803.197990181331988
趨勢值,0.191758596169051
找到最佳解世代,1972
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](5),INTC[11](1),PG[21](18),
Stock#,DIS[6](5),INTC[11](1),PG[21](18),
張數,39677,122010,41259,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,68.229999999981374,19.799999999813735,18.389999999664724,
20140602,3343649.020000000018626,3326012.399999999906868,3315591.629999999422580,9985254.049999998882413
20140603,3328174.989999999757856,3374816.399999999906868,3297850.259999999776483,10000842.649999998509884
20140604,3342458.709999999962747,3367495.799999999813735,3294962.129999999422580,10004917.639999998733401
20140605,3363884.290000000037253,3374816.399999999906868,3305276.879999999422580,10043978.569999998435378
20140606,3357139.200000000186265,3437041.500000000000000,3301976.159999999683350,10096157.859999999403954
20140609,3391658.189999999944121,3405318.899999999906868,3304451.699999999720603,10101429.789999999105930
20140610,3362693.979999999981374,3445582.199999999720603,3306927.239999999757856,10115204.419999999925494
20140611,3345236.100000000093132,3407759.099999999627471,3303213.929999999701977,10056210.129999998956919
20140612,3285323.830000000074506,3411419.399999999906868,3290836.229999999981374,9987580.460000000894070
20140613,3285323.830000000074506,3644458.500000000000000,3285885.149999999906868,10215668.480000000447035
20140616,3305162.330000000074506,3661539.899999999906868,3287948.099999999627471,10254651.330000000074506
20140617,3299607.549999999813735,3654219.299999999813735,3283409.609999999403954,10237237.459999999031425
20140618,3316271.890000000130385,3651779.099999999627471,3292074.000000000000000,10260125.990000000223517
20140619,3323810.520000000018626,3671300.699999999720603,3310640.549999999348074,10305752.769999999552965
20140620,3286117.369999999646097,3684721.799999999813735,3297850.259999999776483,10268690.429999999701977
20140623,3283736.750000000000000,3688382.100000000093132,3280934.069999999366701,10253053.919999998062849
20140624,3280562.590000000316650,3721324.799999999813735,3259891.979999999981374,10261780.370000001043081
20140625,3328968.530000000260770,3767688.599999999627471,3272682.269999999552965,10369340.399999998509884
20140626,3350790.879999999888241,3755487.600000000093132,3243800.969999999739230,10350080.449999999254942
20140627,3384516.330000000074506,3773789.099999999627471,3260304.569999999366701,10418611.000000000000000
20140630,3401974.209999999962747,3770128.799999999813735,3242563.199999999720603,10414667.209999999031425
20140701,3430938.419999999925494,3779889.600000000093132,3271031.909999999683350,10481860.929999999701977
20140702,3429748.109999999869615,3779889.600000000093132,3282584.429999999701977,10492223.140000000596046
20140703,3445618.910000000149012,3799411.199999999720603,3299913.209999999962747,10544944.320000000298023
20140707,3435699.660000000149012,3785990.100000000093132,3308577.599999999627471,10530268.359999999403954
20140708,3406735.450000000186265,3756707.699999999720603,3323843.429999999701977,10487287.580000000074506
20140709,3460696.169999999925494,3768908.699999999720603,3369640.919999999925494,10599246.789999999105930
20140710,3446412.450000000186265,3814052.399999999906868,3367165.379999999422580,10627631.229999998584390
20140711,3447602.759999999776483,3812832.299999999813735,3348598.829999999608845,10609034.889999998733401
20140714,3442444.750000000000000,3842114.699999999720603,3355200.269999999552965,10639760.719999998807907
20140715,3418241.780000000260770,3868956.899999999906868,3352724.729999999981374,10639924.410000000149012
20140716,3386500.179999999701977,4227666.299999999813735,3339521.849999999627471,10953689.329999998211861
20140717,3373803.540000000037253,4111756.800000000279397,3317241.989999999757856,10802803.330000000074506
20140718,3404751.600000000093132,4111756.800000000279397,3323430.839999999385327,10839940.240000000223517
20140721,3401974.209999999962747,4155680.399999999906868,3312290.909999999683350,10869946.519999999552965
20140722,3420622.399999999906868,4244747.699999999254942,3304864.289999999571592,10970235.389999998733401
20140723,3413877.310000000055879,4209364.799999999813735,3300325.799999999348074,10923568.909999998286366
20140724,3444031.830000000074506,4178862.299999999813735,3311465.729999999981374,10934360.859999999403954
20140725,3421415.939999999944121,4178862.299999999813735,3282584.429999999701977,10882863.669999999925494
20140728,3457918.780000000260770,4176422.099999999627471,3270206.729999999981374,10904548.609999999403954
20140729,3420225.629999999888241,4171541.699999999720603,3245038.739999999757856,10836807.070000000298023
20140730,3460299.399999999906868,4191063.299999999813735,3224821.829999999608845,10876185.529999999329448
20140731,3407528.989999999757856,4134938.699999999720603,3190164.269999999552965,10732632.959999999031425
20140801,3387690.489999999757856,4116637.200000000186265,3286297.739999999757856,10790626.429999999701977
20140804,3461489.709999999962747,4154460.299999999348074,3268556.369999999646097,10884507.379999998956919
20140805,3442047.979999999981374,4004388.000000000000000,3276395.579999999608845,10722832.560000000521541
20140806,3435699.660000000149012,4008048.299999999813735,3345710.699999999720603,10789459.660000000149012
20140807,3392848.500000000000000,3987306.599999999627471,3306514.649999999906868,10686670.750000000000000
20140808,3446015.679999999701977,3977545.799999999813735,3339934.439999999944121,10763496.919999999925494
20140811,3471805.729999999981374,4028790.000000000000000,3361801.709999999962747,10862398.440000001341105
20140812,3460299.399999999906868,4042211.100000000093132,3359326.169999999925494,10861837.669999999925494
20140813,3475773.429999999701977,4160560.799999999813735,3361801.709999999962747,10998136.939999999478459
20140814,3515847.200000000186265,4141039.199999999720603,3381193.439999999944121,11038080.839999999850988
20140815,3542430.790000000037253,4169101.500000000000000,3374179.409999999683350,11085712.699999999254942
20140818,3569807.919999999925494,4198383.899999999441206,3401410.349999999627471,11169603.169999998062849
20140819,3574569.160000000149012,4189843.200000000186265,3411725.099999999627471,11176138.460000000894070
20140820,3564649.910000000149012,4209364.799999999813735,3416676.179999999701977,11190691.890000000596046
20140821,3586075.489999999757856,4288671.299999999813735,3436067.909999999683350,11310815.699999999254942
20140822,3590439.959999999962747,4263049.199999999254942,3440606.399999999906868,11294096.559999998658895
20140825,3586075.489999999757856,4247187.900000000372529,3446795.250000000000000,11280059.640000000596046
20140826,3571791.770000000018626,4245967.799999999813735,3440193.809999999590218,11257954.379999998956919
20140827,3585678.720000000204891,4244747.699999999254942,3437305.679999999701977,11267733.099999999627471
20140828,3580123.939999999944121,4227666.299999999813735,3425753.159999999683350,11233544.400000000372529
20140829,3566236.989999999757856,4260609.000000000000000,3429053.879999999422580,11255900.869999999180436
