代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11043561.730000000447035
真實報酬,1043561.730000000447035

夏普值報酬,0.095656173000000
夏普值風險,0.033473532740050
夏普值,2.857665898094805

預期報酬,24300.169774869424145
風險,180985.042954046599334
趨勢值,0.134266176796938
找到最佳解世代,2238
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
IBM[10](7),NKE[19](1),WBA[27](2),
Stock#,IBM[10](7),NKE[19](1),WBA[27](2),
張數,21742,72259,45197,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,66.979999999981374,25.329999999608845,54.250000000000000,
20150202,3362684.699999999720603,3321048.969999999739230,3384857.580000000074506,10068592.250000000000000
20150203,3445521.719999999739230,3373075.449999999720603,3380337.880000000353903,10198936.050000000745058
20150204,3412691.300000000279397,3343449.259999999776483,3374914.240000000223517,10131055.800000000745058
20150205,3433346.199999999720603,3372352.859999999869615,3380337.880000000353903,10186037.939999999478459
20150206,3407473.219999999739230,3316713.429999999701977,3441805.800000000279397,10165993.449999999254942
20150209,3386383.479999999981374,3294313.139999999664724,3453105.050000000279397,10133802.669999999925494
20150210,3447478.500000000000000,3351397.750000000000000,3466212.179999999701977,10265089.429999999701977
20150211,3439651.379999999888241,3299371.269999999552965,3594571.660000000149012,10333595.309999998658895
20150212,3446608.820000000298023,3323939.329999999608845,3614006.369999999646097,10384555.519999999552965
20150213,3487483.780000000260770,3325384.509999999776483,3558414.060000000055879,10371283.349999999627471
20150217,3499659.300000000279397,3318881.199999999720603,3525420.250000000000000,10343961.750000000000000
20150218,3526401.959999999962747,3382469.119999999646097,3515928.880000000353903,10424800.960000000894070
20150219,3563363.359999999869615,3385359.479999999515712,3484742.949999999720603,10433466.789999999105930
20150220,3558145.280000000260770,3430160.059999999590218,3486098.859999999869615,10474405.199999999254942
20150223,3542056.199999999720603,3433050.419999999459833,3552086.479999999981374,10527194.099999999627471
20150224,3583800.840000000316650,3447502.219999999739230,3633441.080000000074506,10664745.140000000596046
20150225,3539882.000000000000000,3498083.519999999552965,3616266.220000000204891,10654232.740000000223517
20150226,3497702.520000000018626,3504586.829999999608845,3690389.300000000279397,10692679.650000000372529
20150227,3520966.459999999962747,3508922.369999999646097,3755021.009999999776483,10784910.839999999850988
20150302,3489223.139999999664724,3568174.750000000000000,3779427.390000000130385,10836826.279999999329448
20150303,3501181.240000000223517,3539993.739999999757856,3760896.619999999646097,10802072.599999999627471
20150304,3466176.619999999646097,3523374.169999999459833,3752309.189999999944121,10741860.979999998584390
20150305,3504442.540000000037253,3557335.899999999441206,3760444.649999999906868,10822224.089999999850988
20150306,3446173.979999999981374,3501696.469999999739230,3722027.199999999720603,10669898.649999998509884
20150309,3495528.320000000298023,3520483.809999999590218,3774003.750000000000000,10790016.879999998956919
20150310,3431172.000000000000000,3487244.669999999459833,3738750.089999999850988,10657167.759999999776483
20150311,3409212.580000000074506,3444611.859999999869615,3729258.720000000204891,10583084.160000000149012
20150312,3434868.139999999664724,3506032.009999999776483,3807901.500000000000000,10748802.649999998509884
20150313,3354422.740000000223517,3461954.019999999552965,3783947.089999999850988,10600324.849999999627471
20150316,3415300.340000000316650,3484354.309999999590218,3921797.939999999944121,10821453.589999999850988
20150317,3412691.300000000279397,3487967.259999999776483,3898747.470000000204891,10799407.030000001192093
20150318,3474656.000000000000000,3523374.169999999459833,3940328.710000000428408,10938359.880000000819564
20150319,3474656.000000000000000,3552277.769999999552965,3948464.169999999925494,10975398.939999999478459
20150320,3541403.939999999944121,3684511.739999999757856,3987785.560000000055879,11213702.240000000223517
20150323,3579452.439999999944121,3665724.399999999441206,3973774.490000000223517,11218952.330000000074506
20150324,3544012.979999999981374,3636820.799999999348074,3977390.250000000000000,11158225.029999999329448
20150325,3461393.379999999888241,3576845.829999999608845,3881572.609999999869615,10919812.819999998435378
20150326,3491614.760000000242144,3589129.859999999869615,3816488.929999999701977,10897234.550000000745058
20150327,3487483.780000000260770,3608639.789999999571592,3854906.380000000353903,10951030.950000001117587
20150330,3536838.119999999646097,3645491.879999999888241,3886544.279999999795109,11068875.279999999329448
20150331,3489657.979999999981374,3625259.359999999869615,3827336.210000000428408,10942254.550000000745058
20150401,3460958.540000000037253,3597078.349999999627471,3808353.470000000204891,10866391.359999999403954
20150402,3488570.879999999888241,3600691.299999999348074,3885640.339999999850988,10974903.519999999552965
20150406,3523140.659999999683350,3603581.659999999217689,3977842.220000000204891,11104565.539999999105930
20150407,3523792.919999999925494,3599246.119999999646097,3944848.410000000149012,11067888.449999999254942
20150408,3519009.679999999701977,3643324.109999999869615,3962927.210000000428408,11125262.000000000000000
20150409,3529663.260000000242144,3638988.569999999366701,4186200.390000000130385,11354853.220000000670552
20150410,3540969.100000000093132,3612252.739999999757856,4159082.189999999944121,11312305.029999999329448
20150413,3530532.939999999944121,3586962.089999999850988,4145071.119999999646097,11262567.149999998509884
20150414,3528793.580000000074506,3596355.759999999776483,4157274.310000000055879,11282424.650000000372529
20150415,3568581.439999999944121,3607194.609999999869615,4137387.630000000353903,11313164.679999999701977
20150416,3546839.439999999944121,3609362.379999999888241,4046089.689999999944121,11202292.509999999776483
20150417,3493354.119999999646097,3560948.849999999627471,3930385.369999999646097,10984689.339999997988343
20150420,3612717.699999999720603,3612975.329999999608845,3937616.890000000130385,11163310.919999999925494
20150421,3571407.899999999906868,3623814.179999999701977,3936260.979999999981374,11131484.060000000521541
20150422,3595324.100000000093132,3618756.049999999348074,3933097.189999999944121,11147178.339999999850988
20150423,3701425.060000000055879,3653440.369999999646097,3918182.179999999701977,11273048.609999999403954
20150424,3691423.740000000223517,3647659.649999999441206,3886092.310000000055879,11225176.699999999254942
20150427,3712078.639999999664724,3646937.059999999590218,3892419.890000000130385,11251436.589999999850988
20150428,3781435.619999999646097,3607917.199999999720603,3890612.009999999776483,11279965.829999998211861
20150429,3791871.780000000260770,3619478.639999999664724,3822364.539999999571592,11233715.959999999031425
20150430,3724254.159999999683350,3571065.109999999869615,3748241.460000000428408,11043561.730000000447035
