代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11615816.289999999105930
真實報酬,1615816.289999999105930

夏普值報酬,0.152881629000000
夏普值風險,0.043253561998185
夏普值,3.534544253405407

預期報酬,25658.713540260581794
風險,95409.771772307489300
趨勢值,0.268931714892834
找到最佳解世代,4326
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MSFT[18](10),NKE[19](8),
Stock#,AAPL[0](1),MSFT[18](10),NKE[19](8),
張數,15968,24179,39447,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,172.679999999701977,16.059999999590218,61.500000000000000,
20190903,3284790.279999999329448,3289327.219999999273568,3340038.990000000223517,9914157.489999998360872
20190904,3340518.599999999627471,3327771.829999999608845,3406309.949999999720603,10074601.379999998956919
20190905,3405827.719999999739230,3386285.009999999776483,3487965.240000000223517,10280078.969999998807907
20190906,3405508.359999999403954,3363314.959999999497086,3498615.929999999701977,10267440.249999998137355
20190909,3420039.239999999292195,3325112.139999999664724,3497826.990000000223517,10242979.369999999180436
20190910,3460438.279999999329448,3290294.379999999888241,3425244.509999999776483,10175978.169999998062849
20190911,3570457.799999999813735,3291261.539999999571592,3422088.750000000000000,10283809.089999999850988
20190912,3562473.799999999813735,3325112.139999999664724,3458379.990000000223517,10345966.929999999701977
20190913,3493172.679999999701977,3320276.339999999385327,3444573.539999999571592,10258023.559999998658895
20190916,3511535.879999999888241,3296339.129999999888241,3442601.189999999944121,10250477.199999999254942
20190917,3524310.279999999329448,3321968.869999999180436,3455224.229999999981374,10301504.379999998956919
20190918,3557364.040000000037253,3349291.139999999664724,3474553.259999999776483,10381209.439999999478459
20190919,3528461.959999999962747,3410947.589999999385327,3459563.399999999906868,10398973.949999999254942
20190920,3476885.319999999366701,3371535.819999999366701,3419327.460000000428408,10267749.599999999627471
20190923,3492693.639999999664724,3364282.119999999180436,3459168.929999999701977,10316145.689999997615814
20190924,3476086.919999999925494,3321727.079999999608845,3439050.960000000428408,10236865.960000000894070
20190925,3529579.719999999739230,3369601.500000000000000,3582243.570000000298023,10481425.789999999105930
20190926,3511376.199999999254942,3373953.719999999273568,3635891.490000000223517,10521222.409999998286366
20190927,3494290.439999999478459,3330189.729999999515712,3641414.070000000298023,10465895.239999998360872
20190930,3576525.639999999664724,3361622.429999999701977,3704923.740000000223517,10643072.809999998658895
20191001,3586425.799999999813735,3314231.589999999385327,3640230.660000000149012,10540889.049999998882413
20191002,3496525.959999999962747,3255718.409999999683350,3609067.529999999795109,10361312.899999998509884
20191003,3526226.439999999478459,3295130.179999999701977,3637863.839999999850988,10459221.459999999031425
20191004,3625068.359999999403954,3339619.539999999571592,3671393.789999999571592,10636082.689999997615814
20191007,3625866.759999999776483,3315440.539999999571592,3675338.490000000223517,10616646.789999999105930
