代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11987527.120000001043081
真實報酬,1987527.120000001043081

夏普值報酬,0.190052712000000
夏普值風險,0.057272151409406
夏普值,3.318414051559248

預期報酬,34857.783306909652310
風險,70467.211581578594632
趨勢值,0.494666704195545
找到最佳解世代,2242
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](1),HD[9](5),INTC[11](8),MSFT[18](9),UNH[23](10),WBA[27](7),
Stock#,BA[2](1),HD[9](5),INTC[11](8),MSFT[18](9),UNH[23](10),WBA[27](7),
張數,21673,24330,79821,59952,31181,40709,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,12.299999999813735,61.000000000000000,3.520000000018626,0.399999999906868,41.549999999813735,39.540000000037253,
20130301,1674901.739999999757856,1679560.900000000139698,1678639.150000000139698,1675658.799999999813735,1668848.669999999925494,1682135.420000000158325,10059748.679999999701977
20130304,1670783.869999999878928,1710216.700000000186265,1697796.189999999944121,1687649.199999999720603,1662612.469999999739230,1700454.470000000204891,10129516.900000000372529
20130305,1704810.479999999748543,1714596.099999999860302,1716953.230000000214204,1699639.600000000093132,1668225.049999999813735,1657710.020000000018626,10161938.480000000447035
20130306,1713913.139999999664724,1714839.400000000139698,1736110.270000000018626,1684052.079999999841675,1671654.959999999729916,1626771.180000000167638,10147345.029999999329448
20130307,1756608.949999999720603,1709243.500000000000000,1747285.209999999962747,1687049.679999999934807,1677579.349999999627471,1633691.710000000195578,10211462.400000000372529
20130308,1760510.089999999850988,1736493.100000000093132,1722540.699999999953434,1678656.399999999906868,1677891.159999999916181,1654453.300000000046566,10230548.750000000000000
20130311,1797570.919999999692664,1735276.599999999860302,1731321.010000000009313,1670862.639999999897555,1690363.559999999823049,1680507.060000000055879,10305905.789999999105930
20130312,1824011.979999999748543,1721408.500000000000000,1727329.959999999962747,1673260.719999999972060,1709695.779999999795109,1670736.899999999906868,10326447.839999999850988
20130313,1836799.049999999813735,1721651.800000000046566,1728926.380000000121072,1673860.239999999990687,1698782.429999999701977,1741570.560000000055879,10401594.459999999031425
20130314,1833981.559999999823049,1709000.199999999953434,1728128.169999999925494,1687049.679999999934807,1706577.679999999701977,1739128.020000000018626,10403869.309999998658895
20130315,1873209.689999999944121,1680047.500000000000000,1706576.500000000000000,1681054.479999999748543,1706577.679999999701977,1733428.760000000009313,10380898.609999997541308
20130318,1846118.439999999944121,1687346.499999999767169,1696997.980000000214204,1684651.600000000093132,1714996.549999999813735,1727322.409999999916181,10357437.480000000447035
20130319,1853270.530000000027940,1673721.700000000186265,1687419.459999999962747,1689447.759999999776483,1720297.319999999832362,1821360.200000000186265,10445520.969999998807907
20130320,1850236.309999999823049,1675911.399999999906868,1690612.300000000046566,1697841.040000000037253,1711254.829999999841675,1873467.720000000204891,10499327.599999999627471
20130321,1827696.389999999664724,1677614.500000000000000,1679437.359999999869615,1685251.119999999878928,1716867.409999999916181,1864918.830000000074506,10451789.609999999403954
20130322,1838316.159999999683350,1692455.800000000046566,1702585.449999999953434,1693644.399999999906868,1698158.809999999823049,1892600.950000000186265,10517765.570000000298023
20130325,1838966.349999999627471,1690266.099999999860302,1688217.669999999925494,1688248.719999999972060,1710631.209999999729916,1880388.250000000000000,10496722.299999998882413
20130326,1877327.559999999823049,1704377.500000000000000,1737706.689999999944121,1688248.719999999972060,1735264.199999999720603,1936566.670000000158325,10679495.339999999850988
20130327,1868224.899999999906868,1694645.500000000232831,1742495.949999999953434,1700838.639999999897555,1765509.769999999785796,1923132.700000000186265,10694851.460000000894070
20130328,1860639.349999999627471,1697808.400000000139698,1743294.159999999916181,1715227.119999999878928,1783906.559999999823049,1941044.659999999916181,10741924.250000000000000
20130401,1847635.549999999813735,1695132.100000000093132,1710567.550000000046566,1715227.119999999878928,1838785.119999999878928,1912141.270000000018626,10719492.709999999031425
20130402,1822494.869999999878928,1727977.599999999860302,1712962.180000000167638,1726618.000000000000000,1925156.489999999990687,1926389.420000000158325,10841602.560000000521541
20130403,1828346.579999999841675,1711919.800000000046566,1680235.570000000065193,1712229.519999999785796,1922973.819999999832362,1884866.239999999990687,10740575.529999999329448
20130404,1841133.649999999906868,1719948.699999999953434,1687419.459999999962747,1714627.600000000093132,1934198.979999999748543,1896671.850000000093132,10794004.240000000223517
20130405,1867574.709999999962747,1704620.800000000046566,1671455.260000000009313,1720622.799999999813735,1936381.649999999906868,1913769.629999999888241,10814428.849999997764826
20130408,1880145.049999999813735,1732843.599999999860302,1683428.409999999916181,1714028.079999999841675,1929833.639999999897555,1940230.479999999981374,10880513.259999999776483
20130409,1890114.629999999655411,1732357.000000000000000,1736110.270000000018626,1775179.119999999878928,1938876.129999999888241,1966691.330000000074506,11039332.480000000447035
20130410,1903335.159999999683350,1744278.699999999953434,1776818.980000000214204,1815346.959999999962747,1946047.759999999776483,1958549.530000000027940,11144381.089999997988343
20130411,1918722.989999999757856,1749388.000000000232831,1742495.949999999953434,1735011.280000000027940,1963820.929999999701977,1981346.570000000065193,11090789.720000000670552
20130412,1926525.269999999785796,1791235.600000000093132,1730522.800000000046566,1726018.479999999748543,1965379.979999999748543,1985417.470000000204891,11125103.599999999627471
20130415,1880578.509999999776483,1757416.900000000139698,1706576.500000000000000,1720023.280000000027940,1920479.339999999850988,1979311.119999999878928,10964389.650000000372529
20130416,1883179.269999999785796,1763012.799999999813735,1749679.840000000083819,1736809.839999999850988,1958520.159999999916181,1997223.080000000074506,11088428.989999998360872
20130417,1878844.669999999692664,1771285.000000000000000,1750478.050000000046566,1728416.559999999823049,1934198.979999999748543,1976461.489999999990687,11039688.750000000000000
20130418,1866491.059999999823049,1763499.400000000139698,1775222.559999999823049,1726018.479999999748543,1861235.439999999711290,1982974.930000000167638,10975445.869999999180436
20130419,1906369.379999999655411,1800481.000000000000000,1791186.760000000009313,1784771.439999999944121,1872148.789999999804422,2009028.690000000176951,11163990.059999998658895
20130422,1884262.919999999692664,1797074.800000000046566,1826308.000000000000000,1848320.559999999823049,1846580.369999999878928,2024091.020000000018626,11226641.669999998062849
