代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10984993.939999999478459
真實報酬,984993.939999999478459

夏普值報酬,0.089799394000000
夏普值風險,0.028412497813978
夏普值,3.160559644841265

預期報酬,17480.555198607973580
風險,80265.442347505362704
趨勢值,0.217784325200959
找到最佳解世代,2512
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](3),GS[8](2),JPM[13](1),NKE[19](8),
Stock#,DIS[6](3),GS[8](2),JPM[13](1),NKE[19](8),
張數,23834,13299,41267,49830,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,51.739999999757856,186.970000000204891,45.140000000130385,28.899999999906868,
20150401,2513108.699999999720603,2556653.740000000223517,2474001.790000000037253,2480566.299999999813735,10024330.529999999329448
20150402,2526455.739999999757856,2547610.420000000391155,2497523.980000000447035,2483057.799999999813735,10054647.940000001341105
20150406,2517637.159999999683350,2554259.920000000391155,2495460.629999999888241,2485051.000000000000000,10052408.710000000894070
20150407,2512870.359999999869615,2558781.580000000074506,2511142.090000000316650,2482061.200000000186265,10064855.230000000447035
20150408,2535035.979999999515712,2561042.410000000149012,2519395.490000000223517,2512457.500000000000000,10127931.379999998956919
20150409,2544807.919999999459833,2592029.080000000074506,2536727.629999999888241,2509467.699999999720603,10183032.330000000074506
20150410,2549098.040000000037253,2602003.330000000074506,2546219.040000000037253,2491030.600000000093132,10188351.009999999776483
20150413,2538611.080000000074506,2601205.390000000596046,2561487.830000000074506,2473590.100000000093132,10174894.400000000372529
20150414,2542186.179999999701977,2629665.250000000000000,2601516.820000000298023,2480068.000000000000000,10253436.250000000000000
20150415,2549813.060000000055879,2674615.870000000111759,2649799.209999999962747,2487542.500000000000000,10361770.640000000596046
20150416,2576507.139999999664724,2662779.760000000242144,2633292.410000000149012,2489037.399999999906868,10361616.710000000894070
20150417,2542901.199999999720603,2624744.620000000111759,2593263.420000000391155,2455651.299999999813735,10216560.539999999105930
20150420,2579367.219999999739230,2634718.870000000111759,2609770.220000000204891,2491528.899999999906868,10315385.210000000894070
20150421,2566496.859999999869615,2617962.130000000353903,2571391.910000000149012,2499003.399999999906868,10254854.300000000745058
20150422,2572693.699999999720603,2637644.649999999906868,2597390.120000000111759,2495515.299999999813735,10303243.769999999552965
20150423,2597957.739999999757856,2650810.660000000149012,2591612.740000000223517,2519433.700000000186265,10359814.839999999850988
20150424,2610589.759999999776483,2633255.980000000447035,2583359.340000000316650,2515447.299999999813735,10342652.379999998956919
20150427,2625605.179999999701977,2613706.450000000186265,2572629.920000000391155,2514949.000000000000000,10326890.550000000745058
20150428,2619885.020000000018626,2626606.480000000447035,2589962.060000000055879,2488040.799999999813735,10324494.359999999403954
20150429,2617263.279999999795109,2640836.410000000149012,2624626.340000000316650,2496013.600000000093132,10378739.629999998956919
20150430,2591284.219999999739230,2612376.549999999813735,2610595.560000000055879,2462627.500000000000000,10276883.830000000074506
20150501,2634185.419999999459833,2627138.440000000409782,2625039.010000000242144,2510962.600000000093132,10397325.469999998807907
20150504,2646340.759999999776483,2650677.670000000391155,2670845.379999999888241,2512457.500000000000000,10480321.309999998658895
20150505,2641097.279999999795109,2623946.680000000167638,2657639.940000000409782,2501993.199999999720603,10424677.099999999627471
20150506,2615118.219999999739230,2610115.720000000204891,2637831.780000000260770,2497010.199999999720603,10360075.919999999925494
20150507,2604154.580000000074506,2625276.580000000074506,2661766.640000000130385,2527904.799999999813735,10419102.600000001490116
20150508,2624413.479999999515712,2666636.470000000204891,2702620.969999999739230,2552321.500000000000000,10545992.419999998062849
20150511,2588424.139999999664724,2682994.240000000223517,2700970.290000000037253,2561290.899999999906868,10533679.570000000298023
20150512,2603677.899999999441206,2667035.440000000409782,2697256.260000000242144,2550826.599999999627471,10518796.199999999254942
20150513,2602486.199999999720603,2679004.540000000502914,2703858.979999999981374,2545345.299999999813735,10530695.019999999552965
20150514,2620123.359999999869615,2694830.350000000093132,2725730.490000000223517,2577236.500000000000000,10617920.699999999254942
20150515,2628941.939999999478459,2699485.000000000000000,2718715.100000000093132,2615605.600000000093132,10662747.639999998733401
20150518,2629656.959999999497086,2721960.310000000055879,2740999.280000000260770,2610124.299999999813735,10702740.849999999627471
20150519,2635138.779999999795109,2731801.570000000298023,2765346.810000000521541,2607134.500000000000000,10739421.660000000149012
20150520,2626558.540000000037253,2727545.890000000596046,2743475.300000000279397,2606636.200000000186265,10704215.929999999701977
20150521,2631087.000000000000000,2725817.020000000018626,2750490.690000000409782,2601154.899999999906868,10708549.609999999403954
20150522,2627988.580000000074506,2763719.170000000391155,2743062.629999999888241,2602151.500000000000000,10736921.879999998956919
20150526,2608444.699999999720603,2744834.590000000316650,2712525.050000000279397,2576738.199999999720603,10642542.539999999105930
20150527,2630610.319999999832362,2780475.910000000149012,2743062.629999999888241,2562287.500000000000000,10716436.359999999403954
20150528,2634423.759999999776483,2772762.490000000223517,2731920.540000000037253,2548833.399999999906868,10687940.189999999478459
20150529,2630610.319999999832362,2742307.780000000260770,2714588.400000000372529,2533386.100000000093132,10620892.599999999627471
20150601,2644672.379999999422580,2763852.160000000149012,2726968.500000000000000,2535379.299999999813735,10670872.339999999850988
20150602,2639667.239999999757856,2745499.540000000502914,2724492.479999999981374,2544348.700000000186265,10654007.960000000894070
20150603,2649677.520000000018626,2770235.680000000167638,2752554.040000000037253,2554314.699999999720603,10726781.939999999478459
20150604,2628941.939999999478459,2777949.100000000093132,2737285.250000000000000,2540362.299999999813735,10684538.589999999850988
20150605,2628941.939999999478459,2798961.520000000018626,2782266.280000000260770,2542355.500000000000000,10752525.239999998360872
20150608,2604869.600000000093132,2790184.180000000167638,2760394.770000000018626,2527406.500000000000000,10682855.050000000745058
20150609,2586517.419999999459833,2779943.950000000186265,2772362.200000000186265,2525413.299999999813735,10664236.869999999180436
20150610,2621791.739999999757856,2834602.840000000316650,2816930.560000000521541,2574745.000000000000000,10848070.140000000596046
20150611,2636568.819999999832362,2845375.030000000260770,2827659.979999999981374,2588199.099999999627471,10897802.929999999701977
20150612,2620600.040000000037253,2833671.910000000149012,2816517.890000000130385,2585707.600000000093132,10856497.439999999478459
20150615,2626081.859999999869615,2816383.209999999962747,2805788.469999999739230,2575243.299999999813735,10823496.839999999850988
20150616,2647055.779999999795109,2840321.410000000149012,2821469.930000000167638,2605141.299999999813735,10913988.419999998062849
20150617,2657304.399999999441206,2831943.040000000502914,2811978.520000000018626,2610124.299999999813735,10911350.259999997913837
20150618,2698537.219999999739230,2854152.370000000111759,2838389.400000000372529,2641018.899999999906868,11032097.890000000596046
20150619,2684236.819999999832362,2835400.780000000260770,2809502.500000000000000,2654473.000000000000000,10983613.099999999627471
20150622,2705925.759999999776483,2879553.459999999962747,2845817.459999999962747,2660950.899999999906868,11092247.580000000074506
20150623,2726899.679999999701977,2904688.570000000298023,2878418.390000000130385,2670916.899999999906868,11180923.540000000968575
20150624,2711645.919999999459833,2851891.540000000502914,2848293.479999999981374,2646500.199999999720603,11058331.139999998733401
20150625,2727853.040000000037253,2830480.149999999906868,2833024.690000000409782,2621585.199999999720603,11012943.079999998211861
20150626,2740723.399999999441206,2835134.799999999813735,2845404.790000000037253,2733702.699999999720603,11154965.689999997615814
20150629,2694485.439999999478459,2761724.320000000298023,2773187.540000000037253,2682876.100000000093132,10912273.400000000372529
20150630,2720464.500000000000000,2776885.180000000167638,2796297.060000000521541,2691347.199999999720603,10984993.939999999478459
