代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12009964.089999999850988
真實報酬,2009964.089999999850988

夏普值報酬,0.192296409000000
夏普值風險,0.053156554799245
夏普值,3.617548385636384

預期報酬,32011.635847467456188
風險,75033.898588496682351
趨勢值,0.426628983028414
找到最佳解世代,2168
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](5),BA[2](7),MSFT[18](3),PFE[20](19),
Stock#,AAPL[0](5),BA[2](7),MSFT[18](3),PFE[20](19),
張數,45787,36395,97732,124564,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,29.799999999813735,27.450000000186265,15.439999999944121,0.520000000018626,
20111201,2537545.339999999850988,2583344.550000000279397,2470680.399999999906868,2495017.439999999944121,10086587.730000000447035
20111202,2548992.089999999850988,2594990.950000000186265,2464816.479999999981374,2477578.479999999981374,10086378.000000000000000
20111205,2570511.979999999981374,2587348.000000000465661,2511727.839999999850988,2471350.279999999795109,10140938.099999999627471
20111206,2557233.750000000000000,2579341.100000000558794,2507818.560000000055879,2519930.240000000223517,10164323.650000000372529
20111207,2544871.259999999776483,2569514.450000000186265,2501954.640000000130385,2549825.600000000093132,10166165.949999999254942
20111208,2555402.270000000018626,2553864.600000000093132,2482408.239999999757856,2514947.680000000167638,10106622.789999999105930
20111209,2574632.809999999590218,2617919.800000000279397,2511727.839999999850988,2561036.359999999869615,10265316.809999998658895
20111212,2563186.059999999590218,2580432.950000000186265,2493158.760000000242144,2539860.479999999981374,10176638.250000000000000
20111213,2543039.779999999795109,2580432.950000000186265,2517591.760000000242144,2585949.160000000149012,10227013.650000000372529
20111214,2486721.770000000018626,2545493.750000000000000,2500977.319999999832362,2598405.560000000055879,10131598.400000000372529
20111215,2478480.109999999869615,2569878.400000000372529,2498045.359999999869615,2633283.479999999981374,10179687.349999999627471
20111216,2492216.209999999962747,2584436.400000000372529,2541047.439999999944121,2619581.439999999944121,10237281.490000000223517
20111219,2500000.000000000000000,2553500.649999999906868,2495113.399999999906868,2633283.479999999981374,10181897.530000001192093
20111220,2589742.520000000018626,2636481.250000000000000,2543979.399999999906868,2673143.959999999962747,10443347.129999998956919
20111221,2593405.479999999981374,2678335.500000000465661,2517591.760000000242144,2700548.040000000037253,10489880.780000001192093
20111222,2607141.579999999608845,2703812.000000000465661,2522478.359999999869615,2694319.839999999850988,10527751.779999999329448
20111223,2638276.739999999757856,2692165.600000000093132,2543979.399999999906868,2719232.639999999664724,10593654.379999998956919
20111227,2659338.759999999776483,2703084.100000000093132,2544956.719999999739230,2711758.799999999813735,10619138.379999998956919
20111228,2633698.040000000037253,2666325.150000000372529,2523455.680000000167638,2681863.439999999944121,10505342.310000000521541
20111229,2649723.489999999757856,2697260.900000000372529,2543002.080000000074506,2704284.959999999962747,10594271.429999999701977
20111230,2649265.619999999646097,2669600.700000000186265,2537138.160000000149012,2695565.479999999981374,10551569.960000000894070
20120103,2690016.049999999813735,2701264.350000000093132,2616301.080000000074506,2736671.600000000093132,10744253.080000000074506
20120104,2704210.020000000018626,2705267.800000000279397,2677872.239999999757856,2711758.799999999813735,10799108.859999999403954
20120105,2734429.439999999944121,2676151.800000000279397,2705237.199999999720603,2690582.920000000391155,10806401.359999999403954
20120106,2762817.379999999888241,2692529.550000000279397,2747261.959999999962747,2686846.000000000000000,10889454.890000000596046
20120109,2758696.549999999813735,2712546.800000000279397,2711101.119999999646097,2717987.000000000000000,10900331.469999998807907
20120110,2768311.819999999832362,2729652.450000000186265,2720874.319999999832362,2732934.680000000167638,10951773.269999999552965
20120111,2763733.119999999646097,2720189.750000000000000,2709146.479999999981374,2727952.119999999646097,10921021.469999998807907
20120112,2756407.199999999720603,2748213.900000000372529,2736511.439999999944121,2739162.879999999888241,10980295.419999998062849
20120113,2745876.189999999944121,2715094.450000000186265,2760944.439999999944121,2720478.279999999795109,10942393.359999999403954
20120117,2777927.089999999850988,2738387.250000000000000,2761921.760000000242144,2732934.680000000167638,11011170.779999999329448
20120118,2806772.899999999906868,2731836.150000000372529,2758989.799999999813735,2736671.600000000093132,11034270.450000001117587
20120119,2798073.369999999646097,2750033.650000000372529,2748239.280000000260770,2720478.279999999795109,11016824.580000000074506
20120120,2749081.279999999795109,2748577.850000000093132,2903633.160000000149012,2727952.119999999646097,11129244.409999998286366
20120123,2795784.020000000018626,2748213.900000000372529,2905587.799999999813735,2704284.959999999962747,11153870.679999999701977
20120124,2749997.020000000018626,2742754.650000000372529,2867472.319999999832362,2698056.760000000242144,11058280.750000000000000
20120125,2921698.270000000018626,2759496.350000000093132,2888973.359999999869615,2705530.600000000093132,11275698.580000000074506
20120126,2908420.040000000037253,2740934.900000000372529,2883109.439999999944121,2694319.839999999850988,11226784.220000000670552
20120127,2925819.099999999627471,2713274.700000000186265,2856721.799999999813735,2675635.240000000223517,11171450.839999999850988
20120130,2963364.439999999944121,2699080.649999999906868,2893859.959999999962747,2688091.639999999664724,11244396.690000001341105
20120131,2985800.069999999366701,2699808.550000000279397,2886041.399999999906868,2665670.119999999646097,11237320.139999998733401
20120201,2983968.589999999850988,2743118.600000000558794,2921224.919999999925494,2654459.359999999869615,11302771.469999998807907
20120202,2977100.539999999571592,2737659.350000000093132,2927088.839999999850988,2629546.560000000055879,11271395.290000000968575
20120203,3006862.089999999850988,2778421.750000000465661,2955431.119999999646097,2640757.319999999832362,11381472.279999999329448
20120206,3034792.159999999683350,2746394.149999999906868,2951521.839999999850988,2609616.319999999832362,11342324.469999998807907
20120207,3066843.060000000055879,2736931.450000000186265,2966181.640000000130385,2622072.720000000204891,11392028.870000001043081
20120208,3118124.499999999534339,2746394.149999999906868,2996478.560000000055879,2617090.160000000149012,11478087.369999999180436
20120209,3225723.949999999720603,2762407.950000000186265,3007229.080000000074506,2633283.479999999981374,11628644.460000000894070
20120210,3227555.429999999701977,2727832.700000000186265,2980841.439999999944121,2622072.720000000204891,11558302.290000000968575
