代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11450558.550000000745058
真實報酬,1450558.550000000745058

夏普值報酬,0.136355855000000
夏普值風險,0.038567447408239
夏普值,3.535516715863127

預期報酬,23598.876860822099843
風險,94409.705305026160204
趨勢值,0.249962403595870
找到最佳解世代,1818
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](2),DIS[6](10),IBM[10](16),KO[14](15),WBA[27](3),XOM[29](1),
Stock#,CAT[3](2),DIS[6](10),IBM[10](16),KO[14](15),WBA[27](3),XOM[29](1),
張數,21204,46129,11606,54359,49193,25066,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,31.600000000093132,25.229999999981374,44.400000000139698,19.060000000055879,7.159999999916181,27.660000000149012,
20101101,1680872.679999999934807,1662053.100000000093132,1663416.320000000065193,1677537.800000000046566,1675028.809999999823049,1678196.360000000335276,10037109.070000000298023
20101102,1691050.600000000093132,1665743.419999999925494,1669451.440000000176951,1681342.929999999934807,1696673.729999999981374,1700505.100000000325963,10104771.219999998807907
20101103,1693807.120000000111759,1674046.639999999897555,1673281.419999999925494,1684060.880000000121072,1730616.899999999906868,1703763.680000000167638,10159580.639999998733401
20101104,1763780.320000000298023,1708182.100000000093132,1703689.140000000130385,1697650.630000000121072,1768495.510000000009313,1739106.739999999990687,10380908.440000001341105
20101105,1771413.760000000242144,1716024.030000000027940,1705197.919999999925494,1700912.169999999925494,1728649.179999999934807,1754647.660000000149012,10376848.720000000670552
20101108,1762508.080000000074506,1709565.969999999972060,1699859.160000000149012,1697650.630000000121072,1726189.530000000027940,1762668.780000000027940,10358446.149999998509884
20101109,1736851.239999999990687,1700340.169999999925494,1696145.239999999990687,1702542.940000000176951,1733568.479999999981374,1770439.239999999990687,10339891.310000000521541
20101110,1748513.439999999944121,1706336.940000000176951,1700903.700000000186265,1700368.580000000074506,1727173.389999999897555,1782972.239999999990687,10366272.290000000968575
20101111,1748089.360000000102445,1657440.199999999953434,1687904.980000000214204,1706891.659999999916181,1732092.689999999944121,1800518.440000000176951,10332941.330000000074506
20101112,1718403.760000000242144,1741394.979999999981374,1668290.840000000316650,1710153.200000000186265,1713399.349999999860302,1779463.000000000000000,10331109.130000000819564
20101115,1734942.879999999888241,1718330.479999999981374,1667130.239999999990687,1711240.380000000121072,1697657.589999999850988,1766679.340000000316650,10295984.910000000149012
20101116,1704197.080000000074506,1703107.910000000149012,1650881.840000000316650,1687322.419999999925494,1673061.089999999850988,1728077.700000000186265,10146652.039999999105930
20101117,1721160.280000000027940,1716946.609999999869615,1647516.100000000093132,1699281.400000000139698,1673061.089999999850988,1729832.320000000298023,10187801.800000000745058
20101118,1762296.040000000037253,1733553.049999999813735,1675486.560000000288710,1735158.340000000083819,1693230.219999999972060,1762418.120000000111759,10362146.330000001937151
20101119,1780531.479999999981374,1707259.519999999785796,1683494.700000000186265,1748204.499999999767169,1709955.839999999850988,1768183.300000000279397,10397633.339999999850988
20101122,1781167.600000000093132,1704491.780000000027940,1687440.739999999990687,1747117.320000000065193,1716350.929999999934807,1759410.200000000186265,10395982.570000000298023
20101123,1752118.120000000111759,1666204.709999999962747,1661791.480000000214204,1729178.850000000093132,1671585.299999999813735,1729080.340000000316650,10209962.800000000745058
