代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12071516.050000000745058
真實報酬,2071516.050000000745058

夏普值報酬,0.198451605000000
夏普值風險,0.056938517088749
夏普值,3.485366587448679

預期報酬,35802.668960737333691
風險,76770.985890550204203
趨勢值,0.466356769363103
找到最佳解世代,2621
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,8
AAPL[0](2),GS[8](8),HD[9](1),IBM[10](7),KO[14](25),MSFT[18](9),PG[21](28),V[25](11),
Stock#,AAPL[0](2),GS[8](8),HD[9](1),IBM[10](7),KO[14](25),MSFT[18](9),PG[21](28),V[25](11),
張數,21603,13822,29733,6797,35724,48151,18737,49251,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,50.419999999925494,76.539999999804422,24.679999999934807,167.640000000130385,17.239999999990687,0.040000000037253,54.730000000214204,9.620000000111759,
20120103,1269226.669999999925494,1318142.459999999729916,1252973.300000000046566,1266448.740000000223517,1252857.919999999925494,1289002.310000000055879,1252248.440000000176951,1268222.870000000111759,10169122.710000000894070
20120104,1275923.599999999860302,1309572.819999999832362,1270813.100000000093132,1261283.020000000018626,1244998.640000000130385,1319337.439999999944121,1251686.330000000074506,1245567.410000000149012,10179182.359999999403954
20120105,1290181.579999999841675,1307361.299999999813735,1281219.650000000139698,1255301.660000000149012,1239282.799999999813735,1332819.719999999972060,1246439.970000000204891,1254925.100000000093132,10207531.779999999329448
20120106,1303575.439999999944121,1291327.779999999795109,1284490.280000000027940,1240892.020000000018626,1231423.520000000018626,1353524.649999999906868,1243442.050000000279397,1240149.800000000046566,10188825.540000000968575
20120109,1301631.169999999925494,1308881.719999999739230,1285382.269999999785796,1234434.870000000111759,1231423.520000000018626,1335708.780000000027940,1248688.410000000149012,1230299.600000000093132,10176450.339999997988343
20120110,1306167.800000000046566,1359193.799999999813735,1294302.169999999925494,1232531.710000000195578,1238568.320000000065193,1340523.880000000121072,1242879.940000000176951,1228822.070000000065193,10242989.689999999478459
20120111,1304007.500000000000000,1378959.259999999776483,1292220.859999999869615,1239396.680000000167638,1215704.959999999962747,1334745.760000000009313,1230700.890000000363216,1220449.400000000139698,10216185.310000000521541
20120112,1300551.020000000018626,1399001.159999999683350,1290139.550000000046566,1227365.990000000223517,1206773.959999999962747,1348228.040000000037253,1233136.700000000186265,1248029.960000000195578,10253226.380000000819564
20120113,1295582.329999999841675,1367901.659999999683350,1293707.509999999776483,1217918.160000000149012,1196414.000000000000000,1360265.790000000037253,1233136.700000000186265,1240642.310000000288710,10205568.459999999031425
20120117,1310704.429999999934807,1350209.500000000000000,1300546.100000000093132,1223627.640000000130385,1202844.320000000065193,1360747.300000000046566,1241568.350000000325963,1262312.750000000000000,10252560.390000000596046
20120118,1324314.319999999832362,1441849.359999999869615,1334441.719999999972060,1230900.430000000167638,1207488.439999999944121,1359302.770000000018626,1237258.840000000316650,1278073.070000000065193,10413628.949999999254942
20120119,1320209.750000000000000,1488429.500000000000000,1350200.209999999729916,1227162.080000000307336,1204987.759999999776483,1354006.160000000149012,1238195.690000000176951,1260342.710000000195578,10443533.860000001266599
20120120,1297094.539999999804422,1503080.819999999832362,1323440.509999999776483,1281538.080000000307336,1216419.439999999944121,1430566.250000000000000,1241006.240000000223517,1238672.270000000018626,10531818.149999998509884
20120123,1319129.599999999860302,1495478.719999999739230,1334441.719999999972060,1291461.699999999953434,1224278.720000000204891,1431529.270000000018626,1217959.730000000214204,1226359.520000000018626,10540638.979999998584390
20120124,1297526.599999999860302,1504877.679999999934807,1336820.359999999869615,1304715.850000000093132,1212847.040000000037253,1412750.380000000121072,1208591.230000000214204,1243597.370000000111759,10521726.510000001639128
20120125,1378537.849999999860302,1496584.479999999748543,1345740.259999999776483,1303356.449999999953434,1222492.520000000018626,1423343.599999999860302,1217584.990000000223517,1238179.760000000242144,10625819.910000000149012
20120126,1372272.979999999981374,1500592.859999999869615,1336523.030000000027940,1298258.699999999953434,1214990.479999999981374,1420454.540000000037253,1214212.330000000074506,1242119.840000000083819,10599424.760000001639128
20120127,1380482.119999999878928,1544961.479999999748543,1334144.389999999897555,1294724.260000000242144,1204630.520000000018626,1407453.770000000018626,1204843.830000000074506,1244089.880000000121072,10615330.250000000000000
20120130,1398196.579999999841675,1516764.599999999860302,1331171.090000000083819,1308590.140000000130385,1204987.759999999776483,1425751.149999999906868,1184420.500000000232831,1229807.090000000083819,10599688.910000000149012
20120131,1408782.049999999813735,1540814.879999999888241,1319872.550000000046566,1309269.840000000083819,1206416.720000000204891,1421899.070000000065193,1181235.210000000195578,1239164.780000000027940,10627455.099999999627471
20120201,1407917.929999999934807,1568182.439999999944121,1322251.189999999944121,1309405.780000000260770,1211775.320000000065193,1439233.430000000167638,1184420.500000000232831,1262312.750000000000000,10705499.340000001713634
20120202,1404677.479999999748543,1567353.119999999878928,1321953.859999999869615,1301997.050000000046566,1211775.320000000065193,1442122.489999999990687,1186481.570000000298023,1306146.140000000130385,10742507.030000001192093
20120203,1418719.429999999934807,1624576.199999999720603,1343064.290000000037253,1316338.719999999972060,1216062.199999999953434,1456086.280000000027940,1176176.220000000204891,1317966.380000000121072,10868989.720000000670552
20120206,1431897.260000000009313,1622641.119999999878928,1343956.280000000027940,1310765.180000000167638,1215347.720000000204891,1454160.239999999990687,1190041.600000000093132,1321906.460000000195578,10890715.860000001266599
20120207,1447019.360000000102445,1603152.099999999860302,1351686.859999999869615,1314367.590000000083819,1224635.959999999962747,1461382.890000000130385,1193601.630000000353903,1317473.870000000111759,10913320.260000001639128
20120208,1471214.719999999739230,1605501.839999999850988,1343064.290000000037253,1311648.790000000037253,1220706.320000000065193,1476309.699999999953434,1192477.410000000149012,1334219.210000000195578,10955142.280000001192093
