代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11497112.270000001415610
真實報酬,1497112.270000001415610

夏普值報酬,0.141011227000000
夏普值風險,0.041605831714403
夏普值,3.389217837728908

預期報酬,25314.108239804922050
風險,91113.582753860595403
趨勢值,0.277830236444438
找到最佳解世代,2545
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),AXP[1](1),DIS[6](6),V[25](3),
Stock#,AAPL[0](2),AXP[1](1),DIS[6](6),V[25](3),
張數,22620,34702,25221,32333,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,37.600000000093132,67.919999999925494,94.479999999981374,12.440000000409782,
20161201,2476701.399999999906868,2517003.979999999981374,2495460.219999999739230,2438890.630000000819564,9928056.230000000447035
20161202,2485975.600000000093132,2493753.640000000130385,2484362.979999999981374,2448267.200000000186265,9912359.420000001788139
20161205,2468105.800000000279397,2499652.979999999981374,2521185.639999999664724,2499676.670000000391155,9988621.089999999850988
20161206,2487106.600000000093132,2509369.540000000037253,2538840.339999999850988,2493210.070000000298023,10028526.550000000745058
20161207,2511536.200000000186265,2578079.500000000000000,2572384.270000000018626,2564342.670000000391155,10226342.640000000596046
20161208,2536192.000000000000000,2599594.739999999757856,2607441.459999999962747,2563372.680000000633299,10306600.880000000819564
20161209,2577586.600000000093132,2594736.459999999962747,2644768.540000000037253,2558846.060000000521541,10375937.660000000149012
20161212,2562883.600000000093132,2553441.080000000074506,2624591.740000000223517,2538152.940000000409782,10279069.359999999403954
20161213,2605635.399999999906868,2562463.600000000093132,2619295.329999999608845,2560786.040000000502914,10348180.370000001043081
20161214,2605635.399999999906868,2570445.059999999590218,2624339.529999999795109,2558522.730000000447035,10358942.719999998807907
20161215,2619886.000000000000000,2600635.799999999813735,2632914.669999999925494,2570485.940000000409782,10423922.410000000149012
20161216,2623279.000000000000000,2602717.919999999925494,2620808.589999999850988,2533302.990000000223517,10380108.500000000000000
20161219,2638434.399999999906868,2587102.020000000018626,2655865.779999999795109,2525219.740000000223517,10406621.939999999478459
20161220,2645446.600000000093132,2604800.040000000037253,2659901.139999999664724,2533626.320000000298023,10443774.100000001490116
20161221,2647934.800000000279397,2613822.559999999590218,2662423.240000000223517,2526513.060000000521541,10450693.660000000149012
20161222,2630517.400000000372529,2588143.080000000074506,2658892.299999999813735,2518753.140000000596046,10396305.920000001788139
20161223,2635720.000000000000000,2601676.859999999869615,2652082.630000000353903,2526836.390000000596046,10416315.880000000819564
20161227,2652458.800000000279397,2602023.879999999888241,2652587.049999999813735,2533302.990000000223517,10440372.719999998807907
20161228,2641148.800000000279397,2580855.660000000149012,2630644.779999999795109,2531686.340000000316650,10384335.580000000074506
20161229,2640470.200000000186265,2565239.759999999776483,2637202.240000000223517,2532656.330000000540167,10375568.530000001192093
20161230,2619886.000000000000000,2570792.080000000074506,2628627.100000000093132,2522633.100000000093132,10341938.279999999329448
20170103,2627350.600000000093132,2614863.619999999646097,2675538.160000000149012,2570485.940000000409782,10488238.320000000298023
20170104,2624410.000000000000000,2646442.439999999944121,2709838.719999999739230,2591502.390000000596046,10572193.550000000745058
20170105,2637755.800000000279397,2613822.559999999590218,2708325.459999999962747,2621895.410000000614673,10581799.230000000447035
20170106,2667161.799999999813735,2619027.859999999869615,2748679.060000000055879,2658108.370000000111759,10692977.089999999850988
20170109,2691591.399999999906868,2632561.640000000130385,2733042.040000000037253,2643235.190000000409782,10700430.269999999552965
20170110,2694305.800000000279397,2659976.220000000204891,2733546.459999999962747,2629008.670000000391155,10716837.150000000372529
20170111,2708782.600000000093132,2668998.739999999757856,2760280.719999999739230,2644851.840000000316650,10782913.900000000372529
20170112,2697472.600000000093132,2667957.679999999701977,2712108.609999999869615,2630948.650000000372529,10708487.539999999105930
20170113,2692722.400000000372529,2658935.160000000149012,2725475.740000000223517,2624482.050000000279397,10701615.350000001490116
20170117,2714437.600000000093132,2658241.119999999646097,2723205.850000000093132,2627392.020000000484288,10723276.589999999850988
20170118,2714211.399999999906868,2689125.899999999906868,2727997.839999999850988,2638061.910000000614673,10769397.050000000745058
20170119,2709461.200000000186265,2661364.299999999813735,2705803.359999999869615,2642588.530000000726432,10719217.390000000596046
20170120,2714437.600000000093132,2644360.319999999832362,2715387.339999999850988,2646145.160000000614673,10720330.419999999925494
