代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10899994.839999999850988
真實報酬,899994.839999999850988

夏普值報酬,0.081299484000000
夏普值風險,0.026849699415753
夏普值,3.027947640721050

預期報酬,14914.639649688519057
風險,59090.260024138107838
趨勢值,0.252404366533435
找到最佳解世代,2226
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CVX[5](5),JNJ[12](1),KO[14](17),MCD[15](7),PG[21](2),UNH[23](15),
Stock#,CVX[5](5),JNJ[12](1),KO[14](17),MCD[15](7),PG[21](2),UNH[23](15),
張數,14930,18838,44068,17698,21752,23058,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,30.100000000093132,68.140000000130385,14.239999999990687,45.340000000083819,27.760000000009313,33.760000000009313,
20140203,1659350.300000000046566,1634829.780000000260770,1639343.840000000083819,1646313.300000000046566,1646654.160000000149012,1631156.679999999934807,9857652.060000000521541
20140204,1654722.000000000000000,1631815.700000000186265,1651682.879999999888241,1647552.160000000149012,1655137.440000000176951,1625853.340000000083819,9866767.520000001415610
20140205,1635163.699999999953434,1644248.780000000260770,1657411.719999999972060,1656224.180000000167638,1662968.160000000149012,1633001.319999999832362,9889021.860000001266599
20140206,1661291.199999999953434,1671940.640000000130385,1675920.280000000027940,1680293.459999999962747,1672756.560000000055879,1634154.220000000204891,9996360.360000001266599
20140207,1672936.600000000093132,1696241.660000000149012,1672394.840000000083819,1697637.500000000000000,1681674.880000000121072,1645452.639999999897555,10066342.120000001043081
20140210,1667561.800000000046566,1715644.800000000046566,1699717.000000000000000,1678877.620000000111759,1697336.320000000065193,1608098.679999999934807,10067240.219999998807907
20140211,1695779.500000000000000,1751437.000000000000000,1702801.760000000009313,1687372.660000000149012,1714955.440000000176951,1628389.720000000204891,10180740.080000000074506
20140212,1672638.000000000000000,1741076.100000000093132,1697072.919999999925494,1679408.560000000055879,1685590.239999999990687,1619627.679999999934807,10095417.500000000000000
20140213,1679804.400000000139698,1743713.420000000158325,1703242.439999999944121,1689496.419999999925494,1692333.359999999869615,1641993.939999999944121,10150587.979999998584390
20140214,1694286.500000000232831,1747481.020000000251457,1715581.479999999981374,1695159.780000000027940,1727136.560000000055879,1695257.919999999925494,10274907.259999999776483
20140218,1682790.399999999906868,1736366.600000000093132,1651242.199999999953434,1699407.300000000046566,1696031.199999999953434,1702405.899999999906868,10168247.599999999627471
20140219,1696078.100000000093132,1726382.460000000195578,1634937.040000000037253,1691089.239999999990687,1699729.040000000037253,1695949.659999999916181,10144169.540000000968575
20140220,1711008.100000000093132,1740322.580000000074506,1643750.639999999897555,1694628.840000000083819,1694943.600000000093132,1694335.600000000093132,10178993.359999999403954
20140221,1682342.500000000232831,1724121.900000000139698,1638462.479999999981374,1707017.440000000176951,1696031.199999999953434,1701944.739999999990687,10149924.260000001639128
20140224,1704289.600000000093132,1716398.320000000065193,1652564.239999999990687,1707902.340000000083819,1693638.479999999981374,1752672.340000000083819,10227469.320000000298023
20140225,1716532.200000000186265,1716398.320000000065193,1664462.600000000093132,1710026.100000000093132,1699294.000000000000000,1736762.319999999832362,10243479.540000000968575
20140226,1724594.400000000139698,1716398.320000000065193,1668869.399999999906868,1697106.560000000055879,1693638.479999999981374,1753825.239999999990687,10254436.400000000372529
20140227,1727281.800000000046566,1721107.820000000065193,1677683.000000000000000,1682771.180000000167638,1700816.639999999897555,1752902.919999999925494,10262567.360000001266599
20140228,1721907.000000000000000,1735424.700000000186265,1683411.840000000083819,1684010.040000000270084,1711040.079999999841675,1781725.419999999925494,10317523.080000000074506
20140303,1714591.300000000046566,1724875.420000000158325,1679886.399999999906868,1669320.699999999953434,1685372.720000000204891,1777805.559999999823049,10251856.100000001490116
20140304,1721757.699999999953434,1758407.060000000288710,1688259.320000000065193,1681001.380000000121072,1706472.160000000149012,1801555.299999999813735,10357456.920000001788139
20140305,1708470.000000000232831,1744278.560000000288710,1690022.040000000037253,1681709.300000000046566,1692768.399999999906868,1798327.179999999934807,10315579.480000000447035
20140306,1714740.600000000093132,1749929.960000000195578,1695310.199999999953434,1691620.180000000167638,1697988.880000000121072,1790256.880000000121072,10339850.700000002980232
20140307,1718174.500000000000000,1758030.300000000046566,1698835.639999999897555,1690204.340000000083819,1704949.520000000018626,1784722.960000000195578,10354921.259999999776483
20140310,1729521.300000000046566,1760479.240000000223517,1703242.439999999944121,1684894.940000000176951,1708212.320000000065193,1795790.799999999813735,10382145.039999999105930
20140311,1709664.400000000139698,1761232.760000000009313,1709852.639999999897555,1748253.780000000027940,1717348.160000000149012,1793485.000000000000000,10439840.740000000223517
20140312,1726684.600000000093132,1763304.939999999944121,1695310.199999999953434,1747014.919999999925494,1723656.239999999990687,1789334.559999999823049,10445309.460000000894070
20140313,1708768.600000000093132,1752002.140000000130385,1673276.199999999953434,1723299.600000000093132,1722568.639999999897555,1775730.340000000083819,10355649.520000001415610
20140314,1703543.100000000093132,1748422.920000000158325,1682089.800000000046566,1727016.180000000167638,1718000.720000000204891,1745524.360000000102445,10324601.080000000074506
20140317,1718025.199999999953434,1769521.480000000214204,1686496.600000000093132,1727370.139999999897555,1736707.440000000176951,1769965.840000000083819,10408090.699999999254942
20140318,1735493.300000000046566,1769709.860000000102445,1692225.439999999944121,1722237.720000000204891,1735184.799999999813735,1798557.760000000009313,10453412.880000000819564
20140319,1719966.100000000093132,1763116.560000000288710,1680767.760000000009313,1700823.139999999897555,1713650.320000000065193,1843751.439999999944121,10422079.319999998435378
20140320,1724594.400000000139698,1773100.700000000186265,1694428.840000000083819,1709672.139999999897555,1703644.399999999906868,1879952.500000000000000,10485396.980000000447035
20140321,1726386.000000000000000,1807197.480000000214204,1693988.159999999916181,1689673.400000000139698,1694073.520000000018626,1875571.479999999981374,10486894.040000000968575
20140324,1729670.600000000093132,1793445.740000000223517,1692225.439999999944121,1702238.980000000214204,1724961.359999999869615,1874188.000000000000000,10516734.120000001043081
20140325,1748183.800000000046566,1834512.580000000074506,1701920.399999999906868,1697460.520000000018626,1736054.880000000121072,1870037.559999999823049,10588173.740000000223517
20140326,1757440.399999999906868,1828296.040000000037253,1701479.719999999972060,1696221.660000000149012,1729311.760000000009313,1880183.080000000074506,10592936.660000000149012
20140327,1756843.200000000186265,1832628.780000000260770,1710734.000000000000000,1701885.020000000018626,1732574.560000000055879,1868192.919999999925494,10602862.480000000447035
20140328,1769235.100000000093132,1835642.860000000102445,1716462.840000000083819,1720998.860000000102445,1734967.280000000027940,1882027.720000000204891,10659338.660000000149012
20140331,1775356.400000000139698,1850524.880000000121072,1703683.119999999878928,1734980.280000000027940,1753238.959999999962747,1890559.179999999934807,10708346.820000000298023
20140401,1776700.100000000093132,1845061.860000000102445,1692666.119999999878928,1732679.540000000270084,1747583.440000000176951,1887100.479999999981374,10681795.540000000968575
20140402,1781925.600000000093132,1850524.880000000121072,1689140.679999999934807,1727193.160000000149012,1743015.520000000018626,1881797.139999999897555,10673600.980000000447035
20140403,1777297.300000000279397,1851090.020000000251457,1677683.000000000000000,1728432.020000000018626,1742362.959999999962747,1896554.260000000009313,10673423.560000000521541
