代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12193809.689999999478459
真實報酬,2193809.689999999478459

夏普值報酬,0.210680969000000
夏普值風險,0.053396771749947
夏普值,3.945575024396694

預期報酬,36541.594706117539317
風險,100556.605008622282185
趨勢值,0.363393281853383
找到最佳解世代,3316
找到最佳解實驗#,1
找到最佳解次數,29

stock[index](rank)
投資組合檔數,5
CVX[5](3),DIS[6](11),IBM[10](8),WBA[27](5),XOM[29](1),
Stock#,CVX[5](3),DIS[6](11),IBM[10](8),WBA[27](5),XOM[29](1),
張數,24700,54779,14138,57388,28752,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,41.000000000000000,18.710000000195578,38.519999999785796,28.199999999953434,10.879999999888241,
20101201,2042731.000000000000000,2033415.189999999944121,2041707.099999999627471,2047058.160000000149012,2050891.039999999804422,10215802.489999998360872
20101202,2087191.000000000000000,2045466.570000000298023,2052593.359999999869615,2072308.879999999888241,2055203.840000000083819,10312763.650000000372529
20101203,2096824.000000000000000,2059161.320000000298023,2055420.959999999729916,2115349.879999999888241,2046865.759999999776483,10373621.919999999925494
20101206,2098306.000000000000000,2057517.950000000419095,2049907.139999999897555,2086082.000000000000000,2050316.000000000000000,10342129.089999999850988
20101207,2131651.000000000000000,2044918.780000000027940,2036193.280000000027940,2078621.559999999823049,2054628.799999999813735,10346013.419999999925494
20101208,2127699.000000000000000,2025198.340000000083819,2049765.759999999543652,2092968.559999999823049,2065842.079999999608845,10361473.739999998360872
20101209,2140296.000000000000000,2012599.170000000391155,2040151.919999999925494,2087229.759999999776483,2070154.879999999888241,10350431.730000000447035
20101210,2149682.000000000000000,2008216.850000000093132,2047503.679999999701977,2090673.040000000037253,2075330.239999999990687,10371405.809999998658895
20101213,2182780.000000000000000,2033962.980000000447035,2039869.159999999916181,2091246.919999999925494,2080505.599999999860302,10428364.660000000149012
20101214,2183027.000000000000000,2039988.670000000391155,2061641.679999999701977,2109037.200000000186265,2075330.239999999990687,10469024.790000000968575
20101215,2173888.000000000000000,2024102.760000000242144,2046089.879999999655411,2130844.639999999664724,2065842.079999999608845,10440767.359999999403954
20101216,2199823.000000000000000,2027389.500000000000000,2043686.419999999925494,2164703.559999999590218,2076480.319999999832362,10512082.800000000745058
20101217,2185744.000000000000000,2029580.660000000149012,2050048.519999999785796,2156669.240000000223517,2075042.719999999972060,10497085.140000000596046
