代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10927177.699999999254942
真實報酬,927177.699999999254942

夏普值報酬,0.084017770000000
夏普值風險,0.021646951738631
夏普值,3.881274879458523

預期報酬,12487.516245243821686
風險,285465.823404192691669
趨勢值,0.043744347734274
找到最佳解世代,2136
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CAT[3](2),PG[21](1),
Stock#,CAT[3](2),PG[21](1),
張數,41213,56382,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,38.839999999850988,44.239999999292195,
20181101,5139299.940000000409782,5051307.619999999180436,10190607.559999998658895
20181102,5184222.110000000335276,5063711.659999999217689,10247933.769999999552965
20181105,5209774.169999999925494,5142082.639999999664724,10351856.809999998658895
20181106,5330116.130000000819564,5159561.059999999590218,10489677.190000001341105
20181107,5567915.139999999664724,5147157.019999999552965,10715072.160000000149012
20181108,5415014.909999999217689,5151103.759999998845160,10566118.669999998062849
20181109,5230380.669999999925494,5210304.859999999403954,10440685.529999999329448
20181112,5151663.839999999850988,5226655.639999999664724,10378319.480000000447035
20181113,5191228.319999999366701,5270069.779999999329448,10461298.099999997764826
20181114,5155785.139999999664724,5271197.419999998994172,10426982.559999998658895
20181115,5333825.299999998882413,5290367.299999998882413,10624192.599999997764826
20181116,5356080.320000000298023,5289803.479999998584390,10645883.799999998882413
20181119,5192052.580000000074506,5259921.019999999552965,10451973.599999999627471
20181120,5039152.349999999627471,5192826.439999998547137,10231978.789999999105930
20181121,5105093.150000000372529,5153922.859999999403954,10259016.009999999776483
20181123,5041213.000000000000000,5161252.519999999552965,10202465.519999999552965
20181126,5143421.239999999292195,5183805.319999999366701,10327226.559999998658895
20181127,5135178.639999999664724,5227783.279999999329448,10362961.919999998062849
20181128,5389462.850000000558794,5244134.059999999590218,10633596.910000000149012
20181129,5367207.829999999143183,5233421.479999998584390,10600629.309999998658895
20181130,5591406.549999998882413,5328707.059999999590218,10920113.609999999403954
20181203,5726585.189999999478459,5261612.479999998584390,10988197.669999998062849
20181204,5329704.000000000000000,5261048.659999999217689,10590752.660000000149012
20181206,5290551.650000000372529,5274580.339999998919666,10565131.989999998360872
20181207,5091904.989999999292195,5212560.139999999664724,10304465.129999998956919
20181210,5085310.910000000149012,5245261.699999999254942,10330572.609999999403954
20181211,5079128.959999999962747,5294877.859999999403954,10374006.820000000298023
20181212,5166912.650000000372529,5301643.699999999254942,10468556.349999999627471
20181213,5188755.540000000037253,5440343.419999998994172,10629098.959999999031425
20181214,5224610.849999999627471,5448800.719999999739230,10673411.570000000298023
20181217,5129820.950000000186265,5230602.379999998956919,10360423.329999998211861
20181218,5121578.349999999627471,5214815.419999998994172,10336393.769999999552965
20181219,5041625.129999999888241,5173656.559999999590218,10215281.689999999478459
20181220,5009478.989999999292195,5129678.599999999627471,10139157.589999999850988
20181221,4948483.750000000000000,5129114.779999999329448,10077598.529999999329448
20181224,4819899.190000000409782,4925575.759999998845160,9745474.949999999254942
20181226,5141772.719999999739230,5079498.619999999180436,10221271.339999999850988
20181227,5220489.549999999813735,5188315.879999998956919,10408805.429999999701977
20181228,5176803.769999999552965,5140955.000000000000000,10317758.769999999552965
20181231,5236974.750000000000000,5182677.679999999701977,10419652.429999999701977
20190102,5208537.779999999329448,5146593.199999999254942,10355130.979999998584390
20190103,5007830.469999999739230,5110508.719999999739230,10118339.189999999478459
20190104,5281484.790000000037253,5214815.419999998994172,10496300.209999999031425
20190107,5284781.829999999143183,5193954.079999999143183,10478735.909999998286366
20190108,5348249.850000000558794,5213123.959999999031425,10561373.809999998658895
20190109,5368856.350000000558794,5127987.139999999664724,10496843.490000000223517
20190110,5479719.320000000298023,5140391.179999999701977,10620110.500000000000000
20190111,5444276.139999999664724,5174220.379999998956919,10618496.519999999552965
20190114,5431912.240000000223517,5139263.540000000037253,10571175.780000001192093
20190115,5386165.809999999590218,5187752.059999999590218,10573917.869999999180436
20190116,5426142.419999999925494,5151667.579999999143183,10577810.000000000000000
20190117,5544835.859999999403954,5110508.719999999739230,10655344.579999998211861
20190118,5629734.639999999664724,5154486.679999999701977,10784221.320000000298023
20190122,5450045.959999999962747,5099232.319999999366701,10549278.279999999329448
20190123,5432736.500000000000000,5347313.119999999180436,10780049.619999999180436
20190124,5470240.329999999143183,5316866.839999998919666,10787107.169999998062849
20190125,5640450.020000000484288,5277399.439999998547137,10917849.459999999031425
20190128,5125699.650000000372529,5272888.879999998956919,10398588.529999999329448
20190129,5214719.729999999515712,5274016.519999999552965,10488736.250000000000000
20190130,5362262.270000000484288,5329270.879999998956919,10691533.149999998509884
20190131,5487961.919999999925494,5439215.779999999329448,10927177.699999999254942
