代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11401686.220000000670552
真實報酬,1401686.220000000670552

夏普值報酬,0.131468622000000
夏普值風險,0.039028078252021
夏普值,3.368565091805240

預期報酬,22838.971902845234581
風險,82734.701230532125919
趨勢值,0.276050696541548
找到最佳解世代,1331
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](7),PFE[20](10),PG[21](2),V[25](8),VZ[26](1),WMT[28](6),
Stock#,DIS[6](7),PFE[20](10),PG[21](2),V[25](8),VZ[26](1),WMT[28](6),
張數,16755,46386,22777,12749,34962,20192,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,46.149999999906868,17.020000000018626,72.909999999916181,116.719999999972060,27.459999999962747,18.319999999832362,
20180601,1664822.949999999953434,1681509.520000000018626,1673043.560000000055879,1668323.369999999878928,1671560.679999999934807,1675752.399999999674037,10035016.479999998584390
20180604,1679567.349999999860302,1690786.720000000204891,1689670.770000000018626,1696626.149999999906868,1671910.300000000046566,1724818.959999999962747,10153384.250000000000000
20180605,1674540.849999999860302,1690322.859999999869615,1684887.599999999860302,1702873.159999999916181,1677154.599999999860302,1708665.359999999869615,10138448.429999999701977
20180606,1707548.199999999953434,1687539.700000000186265,1693542.859999999869615,1737550.439999999944121,1692537.879999999888241,1707453.839999999850988,10226176.919999998062849
20180607,1716931.000000000000000,1692642.160000000149012,1725658.429999999934807,1706442.880000000121072,1713515.079999999841675,1715328.719999999972060,10270522.269999999552965
20180608,1742231.050000000046566,1700991.640000000130385,1758001.770000000018626,1717916.979999999981374,1719458.619999999878928,1703415.439999999711290,10342019.500000000000000
20180611,1748430.399999999906868,1683828.819999999832362,1765973.719999999972060,1707335.309999999823049,1723654.059999999823049,1702203.919999999692664,10331430.229999998584390
20180612,1748095.299999999813735,1683828.819999999832362,1759368.389999999897555,1719446.860000000102445,1706522.679999999934807,1698165.519999999785796,10315431.570000000298023
20180613,1781270.199999999953434,1680117.939999999944121,1741830.099999999860302,1713582.320000000065193,1657226.260000000009313,1697963.599999999860302,10271994.419999999925494
20180614,1822152.399999999906868,1677334.779999999795109,1730897.139999999897555,1721231.719999999972060,1671910.300000000046566,1691906.000000000000000,10315436.339999999850988
20180615,1823827.899999999906868,1686611.979999999981374,1762557.169999999925494,1722506.619999999878928,1680301.179999999934807,1690088.719999999972060,10365897.570000000298023
20180618,1793836.449999999953434,1677334.779999999795109,1727480.590000000083819,1736530.519999999785796,1659323.979999999981374,1675954.319999999832362,10270464.639999998733401
20180619,1777751.649999999906868,1680117.939999999944121,1738641.319999999832362,1722634.110000000102445,1695684.459999999962747,1688271.439999999711290,10303104.919999999925494
