代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12016631.460000000894070
真實報酬,2016631.460000000894070

夏普值報酬,0.192963146000000
夏普值風險,0.055458233043897
夏普值,3.479431914955955

預期報酬,33243.653333855108940
風險,104271.614379244929296
趨勢值,0.318817863632043
找到最佳解世代,1823
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
DIS[6](2),WMT[28](1),
Stock#,DIS[6](2),WMT[28](1),
張數,115982,84875,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,15.980000000447035,13.750000000000000,
20120501,5078867.760000000707805,5013580.000000000000000,10092447.760000001639128
20120502,5049872.260000000707805,5008487.500000000000000,10058359.760000001639128
20120503,5081187.400000000372529,5006790.000000000000000,10087977.400000000372529
20120504,4979123.240000000223517,4982176.250000000000000,9961299.490000000223517
20120507,5082347.220000000670552,5023765.000000000000000,10106112.220000000670552
20120508,5138018.580000000074506,5011882.500000000000000,10149901.080000000074506
20120509,5221525.620000001043081,5010185.000000000000000,10231710.620000001043081
20120510,5251680.940000000409782,5023765.000000000000000,10275445.940000001341105
20120511,5284155.900000000372529,5043286.250000000000000,10327442.150000000372529
20120514,5238922.920000000856817,5013580.000000000000000,10252502.920000001788139
20120515,5220365.799999999813735,5037345.000000000000000,10257710.800000000745058
20120516,5228484.540000000037253,5023765.000000000000000,10252249.539999999105930
20120517,5141498.040000000037253,5235103.750000000000000,10376601.789999999105930
20120518,5081187.400000000372529,5298760.000000000000000,10379947.400000000372529
20120521,5148456.960000000894070,5350533.750000000000000,10498990.710000000894070
20120522,5148456.960000000894070,5409097.500000000000000,10557554.460000000894070
20120523,5148456.960000000894070,5409097.500000000000000,10557554.460000000894070
20120524,5154256.060000000521541,5522829.999999999068677,10677086.059999998658895
20120525,5161214.980000000447035,5543200.000000000000000,10704414.980000000447035
20120529,5274877.339999999850988,5574603.750000000931323,10849481.089999999850988
20120530,5242402.380000000819564,5554233.750000000000000,10796636.130000000819564
20120531,5301553.200000000186265,5586486.249999999068677,10888039.449999999254942
20120601,5149616.780000000260770,5563570.000000000000000,10713186.780000001192093
20120604,5150776.599999999627471,5600915.000000000000000,10751691.599999999627471
20120605,5200648.860000001266599,5559326.250000000000000,10759975.110000001266599
20120606,5280676.440000000409782,5595822.500000000931323,10876498.940000001341105
20120607,5292274.640000000596046,5590730.000000000000000,10883004.640000000596046
20120608,5363023.660000001080334,5790186.250000000000000,11153209.910000000149012
20120611,5311991.580000000074506,5731622.500000000000000,11043614.080000000074506
20120612,5379261.140000000596046,5747748.750000000000000,11127009.890000000596046
20120613,5361863.839999999850988,5692579.999999999068677,11054443.839999999850988
20120614,5472046.740000000223517,5740110.000000000000000,11212156.740000000223517
20120615,5461608.360000001266599,5750295.000000000000000,11211903.360000001266599
20120618,5462768.180000000633299,5781698.750000000000000,11244466.929999999701977
20120619,5510320.799999999813735,5755387.500000000000000,11265708.300000000745058
20120620,5535836.839999999850988,5815648.750000000000000,11351485.589999999850988
20120621,5497562.780000000260770,5746051.250000000000000,11243614.030000001192093
20120622,5505681.520000000484288,5712101.250000000000000,11217782.769999999552965
20120625,5416375.380000000819564,5786791.250000000931323,11203166.630000002682209
20120626,5485964.580000000074506,5820741.250000000000000,11306705.830000000074506
20120627,5552074.320000000298023,5821590.000000000000000,11373664.320000000298023
20120628,5546275.220000000670552,5796976.250000000000000,11343251.470000000670552
20120629,5625142.980000000447035,5917498.750000000000000,11542641.730000000447035
20120702,5650659.020000000484288,5886094.999999999068677,11536754.019999999552965
20120703,5635581.360000001266599,6004920.000000000000000,11640501.360000001266599
20120705,5579910.000000000000000,6032928.750000000000000,11612838.750000000000000
20120706,5571791.260000000707805,6056693.750000000000000,11628485.010000001639128
20120709,5567151.980000000447035,6090643.750000000000000,11657795.730000000447035
20120710,5492923.500000000000000,6120350.000000000000000,11613273.500000000000000
20120711,5482485.120000001043081,6133081.250000000000000,11615566.370000001043081
20120712,5498722.599999999627471,6137325.000000000000000,11636047.599999999627471
20120713,5589188.560000000521541,6211166.250000000931323,11800354.810000002384186
20120716,5550914.500000000000000,6194191.250000000000000,11745105.750000000000000
20120717,5723727.680000000633299,6204376.249999999068677,11928103.929999999701977
20120718,5723727.680000000633299,6183157.499999999068677,11906885.179999999701977
20120719,5681974.160000001080334,6071122.500000000000000,11753096.660000000149012
20120720,5635581.360000001266599,6132232.500000000000000,11767813.860000001266599
20120723,5564832.339999999850988,6098282.499999999068677,11663114.839999999850988
20120724,5585709.099999999627471,6122896.250000000000000,11708605.349999999627471
20120725,5601946.580000000074506,6117803.750000000000000,11719750.330000000074506
20120726,5765481.200000000186265,6252755.000000000000000,12018236.199999999254942
20120727,5792157.060000000521541,6324898.750000000000000,12117055.810000000521541
20120730,5775919.580000000074506,6363941.250000000000000,12139860.830000000074506
20120731,5699371.460000000894070,6317260.000000000931323,12016631.460000000894070
