代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11826731.219999998807907
真實報酬,1826731.219999998807907

夏普值報酬,0.173973122000000
夏普值風險,0.047110279830088
夏普值,3.692890864318045

預期報酬,28678.949467576028837
風險,167595.319818369636778
趨勢值,0.171120228766869
找到最佳解世代,2192
找到最佳解實驗#,3
找到最佳解次數,24

stock[index](rank)
投資組合檔數,2
BA[2](1),UNH[23](2),
Stock#,BA[2](1),UNH[23](2),
張數,54698,83430,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,55.820000000298023,40.099999999627471,
20130501,4987419.460000000894070,4982479.699999999254942,9969899.160000000149012
20130502,5043758.400000000372529,4962456.499999999068677,10006214.899999998509884
20130503,5127446.339999999850988,4915735.700000000186265,10043182.039999999105930
20130506,5152060.440000000409782,5022526.099999999627471,10174586.539999999105930
20130507,5184879.240000000223517,5047555.099999999627471,10232434.339999999850988
20130508,5143855.740000000223517,5215249.399999999441206,10359105.140000000596046
20130509,5175033.600000000558794,5173534.399999999441206,10348568.000000000000000
20130510,5154795.339999999850988,5248621.399999999441206,10403416.739999998360872
20130513,5183238.300000000745058,5205237.799999999813735,10388476.100000001490116
20130514,5257080.600000000558794,5150173.999999999068677,10407254.599999999627471
20130515,5306855.780000000260770,5140162.399999999441206,10447018.179999999701977
20130516,5282788.660000000149012,5184380.299999999813735,10467168.960000000894070
20130517,5410781.980000000447035,5242781.299999999813735,10653563.280000001192093
20130520,5399842.379999999888241,5219420.899999999441206,10619263.279999999329448
20130521,5401483.320000000298023,5245284.199999999254942,10646767.519999999552965
20130522,5356630.960000000894070,5196060.500000000000000,10552691.460000000894070
20130523,5456181.320000000298023,5202734.899999999441206,10658916.219999998807907
20130524,5469855.820000000298023,5177705.899999999441206,10647561.719999998807907
20130528,5475872.600000000558794,5284496.299999999813735,10760368.900000000372529
20130529,5420080.640000000596046,5285330.599999999627471,10705411.240000000223517
20130530,5499392.740000000223517,5394623.899999999441206,10894016.640000000596046
20130531,5416251.780000000260770,5225261.000000000000000,10641512.780000001192093
20130603,5510332.339999999850988,5239444.099999999627471,10749776.439999999478459
20130604,5448523.600000000558794,5202734.899999999441206,10651258.500000000000000
20130605,5387261.839999999850988,5151842.599999999627471,10539104.439999999478459
20130606,5456728.300000000745058,5166025.700000000186265,10622754.000000000000000
20130607,5606053.839999999850988,5220255.199999999254942,10826309.039999999105930
20130610,5592379.339999999850988,5312862.500000000000000,10905241.839999999850988
20130611,5565577.320000000298023,5333720.000000000000000,10899297.320000000298023
20130612,5517990.059999999590218,5325376.999999999068677,10843367.059999998658895
20130613,5588003.500000000000000,5352074.600000000558794,10940078.100000001490116
20130614,5569953.160000000149012,5322874.099999999627471,10892827.259999999776483
20130617,5635590.760000000707805,5370429.200000000186265,11006019.960000000894070
20130618,5693023.660000000149012,5479722.500000000000000,11172746.160000000149012
20130619,5592926.320000000298023,5444681.900000000372529,11037608.220000000670552
20130620,5450164.540000000037253,5322874.099999999627471,10773038.640000000596046
20130621,5468761.860000000335276,5331217.099999999627471,10799978.960000000894070
20130624,5352255.120000000111759,5393789.600000000558794,10746044.720000000670552
20130625,5397107.480000000447035,5317033.999999999068677,10714141.480000000447035
20130626,5510879.320000000298023,5404635.500000000000000,10915514.820000000298023
20130627,5642154.520000000484288,5513928.799999999813735,11156083.320000000298023
20130628,5603318.940000000409782,5463036.500000000000000,11066355.440000001341105
20130701,5647077.339999999850988,5475550.999999999068677,11122628.339999999850988
20130702,5550261.879999999888241,5445516.199999999254942,10995778.079999998211861
20130703,5627933.040000000037253,5468042.299999999813735,11095975.339999999850988
20130705,5699587.420000000856817,5520603.200000000186265,11220190.620000001043081
20130708,5708886.080000001005828,5636570.899999999441206,11345456.980000000447035
20130709,5725842.460000000894070,5670777.199999999254942,11396619.660000000149012
20130710,5770694.820000000298023,5647416.799999999813735,11418111.620000001043081
20130711,5846178.059999999590218,5703314.899999999441206,11549492.959999999031425
20130712,5572141.080000001005828,5673280.099999999627471,11245421.179999999701977
20130715,5779446.500000000000000,5641576.700000000186265,11421023.199999999254942
20130716,5701228.360000000335276,5582341.399999999441206,11283569.759999999776483
20130717,5731859.240000000223517,5525609.000000000000000,11257468.240000000223517
20130718,5887201.559999999590218,5886026.599999999627471,11773228.160000000149012
20130719,5850553.900000000372529,5961113.599999999627471,11811667.500000000000000
20130722,5845084.100000000558794,6022017.500000000000000,11867101.600000001490116
20130723,5895953.240000000223517,6064566.799999999813735,11960520.039999999105930
20130724,5850006.920000000856817,6051218.000000000000000,11901224.920000001788139
20130725,5836332.420000000856817,6058726.700000000186265,11895059.120000001043081
20130726,5776164.620000000111759,6024520.399999999441206,11800685.019999999552965
20130729,5732953.200000000186265,6072909.799999999813735,11805863.000000000000000
20130730,5783275.360000000335276,6029526.199999999254942,11812801.559999998658895
20130731,5748815.620000000111759,6077915.599999998696148,11826731.219999998807907
