代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10781502.939999999478459
真實報酬,781502.939999999478459

夏普值報酬,0.069450294000000
夏普值風險,0.029355991829357
夏普值,2.365796202823160

預期報酬,15705.236895460637243
風險,79670.450883562662057
趨勢值,0.197127501115986
找到最佳解世代,3593
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
KO[14](1),MCD[15](4),PG[21](6),TRV[22](5),V[25](2),
Stock#,KO[14](1),MCD[15](4),PG[21](6),TRV[22](5),V[25](2),
張數,44111,10879,20294,15047,13502,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,7.259999999776483,4.639999999897555,26.300000000046566,103.229999999981374,83.760000000009313,
20190301,2001764.439999999944121,2013163.590000000083819,1997767.659999999916181,2001805.639999999897555,2018227.699999999953434,10032729.029999999329448
20190304,2013674.409999999683350,1964643.250000000000000,2006494.080000000074506,1988564.280000000027940,1997839.680000000167638,9971215.700000001117587
20190305,2011468.859999999869615,1972911.289999999804422,2010958.760000000009313,1996689.659999999916181,1997704.659999999916181,9989733.229999998584390
20190306,2004852.209999999962747,1980309.010000000009313,2007711.720000000204891,1983297.830000000074506,1995814.380000000121072,9971985.150000000372529
20190307,1997353.339999999850988,1963881.719999999972060,2000000.000000000000000,1978633.260000000009313,1982582.420000000158325,9922450.740000000223517
20190308,1977944.500000000000000,1952785.139999999897555,1997158.840000000083819,1971561.170000000158325,1989603.459999999962747,9889053.109999999403954
20190311,2037053.239999999757856,1969973.959999999962747,2020902.820000000065193,1984351.120000000111759,2034430.099999999860302,10046711.240000000223517
20190312,2031318.809999999590218,1978133.209999999962747,2030441.000000000000000,1997141.070000000065193,2048742.219999999972060,10085776.310000000521541
20190313,2038817.679999999701977,1980635.379999999888241,2053373.220000000204891,2001354.229999999981374,2058733.699999999953434,10132914.209999999031425
20190314,2015879.959999999962747,1988033.100000000093132,2056214.379999999888241,2002257.050000000046566,2082092.159999999916181,10144476.649999998509884
20190315,1998235.559999999590218,2016209.709999999962747,2078943.659999999916181,2019109.690000000176951,2099104.679999999701977,10211603.300000000745058
20190318,2003087.769999999552965,2001196.689999999711290,2060070.240000000223517,2030545.409999999916181,2092353.680000000167638,10187253.789999999105930
20190319,2009704.419999999925494,1992058.330000000074506,2067984.900000000139698,2000300.940000000176951,2087357.939999999944121,10157406.530000001192093
20190320,2008381.089999999850988,2012293.269999999785796,2064331.979999999981374,1976225.740000000223517,2076016.260000000009313,10137248.339999999850988
20190321,2007498.869999999646097,2027523.869999999878928,2079958.359999999869615,2021968.620000000111759,2103695.360000000335276,10240645.080000000074506
