代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11689397.359999999403954
真實報酬,1689397.359999999403954

夏普值報酬,0.160239736000000
夏普值風險,0.043160760929838
夏普值,3.712625369614892

預期報酬,26626.910441658976197
風險,115474.824899004495819
趨勢值,0.230586281165156
找到最佳解世代,2400
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CVX[5](2),PFE[20](1),
Stock#,CVX[5](2),PFE[20](1),
張數,54794,285551,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,47.500000000000000,1.989999999292195,
20110103,5037807.860000000335276,5048543.669999998994172,10086351.529999999329448
20110104,5019177.899999999441206,5137064.479999998584390,10156242.379999998956919
20110105,5010410.860000000335276,5171330.599999998696148,10181741.459999999031425
20110106,4969315.360000000335276,5191319.169999998994172,10160634.529999999329448
20110107,4996712.360000000335276,5237007.329999999143183,10233719.689999999478459
20110110,4953973.040000000037253,5214163.250000000000000,10168136.289999999105930
20110111,5031780.519999999552965,5202741.209999999031425,10234521.729999998584390
20110112,5065752.799999999813735,5245573.859999999403954,10311326.660000000149012
20110113,5050958.419999999925494,5202741.209999999031425,10253699.629999998956919
20110114,5086574.519999999552965,5237007.329999999143183,10323581.849999997764826
20110118,5115067.399999999441206,5248429.369999999180436,10363496.769999999552965
20110119,5094245.679999999701977,5231296.309999999590218,10325541.989999998360872
20110120,5079999.239999999292195,5208452.229999998584390,10288451.469999998807907
20110121,5138628.820000000298023,5242718.349999998696148,10381347.169999998062849
20110124,5156162.899999999441206,5268417.939999999478459,10424580.839999999850988
20110125,5155067.019999999552965,5274128.959999999031425,10429195.979999998584390
20110126,5185751.660000000149012,5242718.349999998696148,10428470.009999997913837
20110127,5191779.000000000000000,5276984.469999999739230,10468763.469999998807907
20110128,5116163.280000000260770,5182752.639999998733401,10298915.919999998062849
20110131,5201641.919999999925494,5202741.209999999031425,10404383.129999998956919
20110201,5272326.179999999701977,5488292.209999999031425,10760618.389999998733401
20110202,5286572.620000000111759,5414048.949999999254942,10700621.570000000298023
20110203,5332051.639999999664724,5474014.660000000149012,10806066.300000000745058
20110204,5321092.839999999850988,5511136.289999999105930,10832229.129999998956919
20110207,5351229.540000000037253,5436893.029999999329448,10788122.570000000298023
20110208,5355613.059999999590218,5471159.149999999441206,10826772.209999999031425
20110209,5273422.059999999590218,5439748.539999999105930,10713170.599999997764826
20110210,5298627.299999999813735,5434037.519999999552965,10732664.820000000298023
20110211,5284928.799999999813735,5376927.319999998435378,10661856.119999997317791
20110214,5312325.799999999813735,5439748.539999999105930,10752074.339999999850988
20110215,5278901.459999999962747,5439748.539999999105930,10718650.000000000000000
20110216,5296435.540000000037253,5505425.269999999552965,10801860.809999998658895
20110217,5324380.480000000447035,5531124.859999999403954,10855505.339999999850988
20110218,5409311.179999999701977,5479725.679999999701977,10889036.859999999403954
20110222,5496981.580000000074506,5394060.379999999888241,10891041.960000000894070
20110223,5603829.879999999888241,5356938.750000000000000,10960768.629999998956919
20110224,5590679.320000000298023,5396915.889999998733401,10987595.209999999031425
20110225,5594514.899999999441206,5385493.849999998696148,10980008.749999998137355
20110228,5684925.000000000000000,5494003.229999998584390,11178928.229999998584390
20110301,5638350.100000000558794,5465448.129999999888241,11103798.230000000447035
20110302,5669582.679999999701977,5479725.679999999701977,11149308.359999999403954
20110303,5709034.360000000335276,5645345.259999998845160,11354379.619999999180436
20110304,5684925.000000000000000,5613934.649999999441206,11298859.649999998509884
20110307,5644377.440000000409782,5599657.099999998696148,11244034.539999999105930
20110308,5686020.879999999888241,5619645.669999998994172,11305666.549999998882413
20110309,5596706.660000000149012,5613934.649999999441206,11210641.309999998658895
20110310,5429037.019999999552965,5528269.349999998696148,10957306.369999997317791
20110311,5475611.919999999925494,5559679.959999999031425,11035291.879999998956919
20110314,5523282.700000000186265,5656767.299999998882413,11180050.000000000000000
20110315,5546844.120000000111759,5642489.750000000000000,11189333.870000001043081
20110316,5452598.440000000409782,5511136.289999999105930,10963734.730000000447035
20110317,5602186.059999999590218,5676755.869999999180436,11278941.929999999701977
20110318,5632870.700000000186265,5762421.169999998994172,11395291.869999999180436
20110321,5763828.360000000335276,5705310.969999999739230,11469139.330000000074506
20110322,5766020.120000000111759,5693888.929999999701977,11459909.050000000745058
20110323,5779718.620000000111759,5688177.910000000149012,11467896.530000001192093
20110324,5774239.219999999739230,5796687.289999999105930,11570926.509999997913837
20110325,5850950.820000000298023,5810964.839999999850988,11661915.660000000149012
20110328,5810403.260000000707805,5788120.759999998845160,11598524.019999999552965
20110329,5883279.280000000260770,5819531.369999999180436,11702810.649999998509884
20110330,5918347.440000000409782,5808109.329999999143183,11726456.769999999552965
20110331,5889854.559999999590218,5799542.799999998882413,11689397.359999999403954
