代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11495822.460000000894070
真實報酬,1495822.460000000894070

夏普值報酬,0.140882246000000
夏普值風險,0.039466105414426
夏普值,3.569702267822566

預期報酬,21394.107445214667678
風險,113868.893555044414825
趨勢值,0.187883686029431
找到最佳解世代,1857
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AXP[1](1),PFE[20](2),
Stock#,AXP[1](1),PFE[20](2),
張數,114757,259875,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,37.509999999776483,5.000000000000000,
20110301,4951802.059999999590218,4974012.500000000000000,9925814.559999998658895
20110302,4936883.650000000372529,4987006.250000000000000,9923889.900000000372529
20110303,5083772.609999999403954,5137733.750000000000000,10221506.359999999403954
20110304,5017213.549999999813735,5109147.500000000000000,10126361.050000000745058
20110307,5016065.979999999515712,5096153.750000000000000,10112219.730000000447035
20110308,5191644.190000000409782,5114345.000000000000000,10305989.190000001341105
20110309,5169840.359999999403954,5109147.500000000000000,10278987.859999999403954
20110310,5051640.650000000372529,5031185.000000000000000,10082825.650000000372529
20110311,5081477.469999999739230,5059771.250000000000000,10141248.719999998807907
20110314,5039017.379999998956919,5148128.750000000000000,10187146.129999998956919
20110315,5008032.990000000223517,5135135.000000000000000,10143167.990000000223517
20110316,4861144.029999999329448,5015592.500000000000000,9876736.529999999329448
20110317,4982786.450000000186265,5166320.000000000000000,10149106.449999999254942
20110318,5068854.200000000186265,5244282.500000000000000,10313136.699999999254942
20110321,5086067.750000000000000,5192307.500000000000000,10278375.250000000000000
20110322,5135413.259999999776483,5181912.500000000000000,10317325.759999999776483
20110323,5166397.650000000372529,5176715.000000000000000,10343112.650000000372529
20110324,5231809.140000000596046,5275467.500000000000000,10507276.640000000596046
20110325,5231809.140000000596046,5288461.250000000000000,10520270.390000000596046
20110328,5246727.549999999813735,5267671.250000000000000,10514398.800000000745058
20110329,5238694.559999999590218,5296257.500000000000000,10534952.059999998658895
20110330,5268531.379999998956919,5285862.500000000000000,10554393.879999998956919
20110331,5187053.910000000149012,5278066.250000000000000,10465120.160000000149012
20110401,5205415.029999999329448,5296257.500000000000000,10501672.529999999329448
20110404,5212300.450000000186265,5337837.500000000000000,10550137.949999999254942
20110405,5212300.450000000186265,5314448.750000000000000,10526749.199999999254942
20110406,5310991.469999999739230,5272868.750000000000000,10583860.219999998807907
20110407,5297220.629999998956919,5283263.750000000000000,10580484.379999998956919
20110408,5310991.469999999739230,5317047.500000000000000,10628038.969999998807907
20110411,5322467.169999999925494,5371621.250000000000000,10694088.419999999925494
20110412,5281154.650000000372529,5317047.500000000000000,10598202.150000000372529
20110413,5290335.209999999962747,5317047.500000000000000,10607382.710000000894070
20110414,5265088.669999999925494,5324843.750000000000000,10589932.419999999925494
20110415,5307548.759999999776483,5335238.750000000000000,10642787.509999999776483
20110418,5285744.929999999701977,5301455.000000000000000,10587199.929999999701977
20110419,5352303.990000000223517,5335238.750000000000000,10687542.740000000223517
20110420,5393616.509999999776483,5298856.250000000000000,10692472.759999999776483
20110421,5406239.779999999329448,5142931.250000000000000,10549171.029999999329448
20110425,5399354.359999999403954,5233887.500000000000000,10633241.859999999403954
20110426,5405092.209999999962747,5246881.250000000000000,10651973.460000000894070
20110427,5464765.849999999627471,5361226.250000000000000,10825992.099999999627471
20110428,5568047.150000000372529,5413201.250000000000000,10981248.400000000372529
20110429,5632311.069999999366701,5449583.750000000000000,11081894.820000000298023
20110502,5697722.559999999590218,5462577.500000000000000,11160300.059999998658895
20110503,5726411.809999999590218,5311850.000000000000000,11038261.809999998658895
20110504,5703460.410000000149012,5363825.000000000000000,11067285.410000000149012
20110505,5682804.150000000372529,5298856.250000000000000,10981660.400000000372529
20110506,5760838.910000000149012,5340436.250000000000000,11101275.160000000149012
20110509,5759691.339999999850988,5353430.000000000000000,11113121.339999999850988
20110510,5757396.200000000186265,5420997.500000000000000,11178393.699999999254942
20110511,5718378.819999999366701,5356028.750000000000000,11074407.570000000298023
20110512,5685099.290000000037253,5428793.750000000000000,11113893.039999999105930
20110513,5679361.440000000409782,5436590.000000000000000,11115951.440000001341105
20110516,5745920.500000000000000,5452182.500000000000000,11198103.000000000000000
20110517,5825102.829999999143183,5493762.500000000000000,11318865.329999998211861
20110518,5859529.929999999701977,5504157.500000000000000,11363687.429999999701977
20110519,5946745.250000000000000,5465176.250000000000000,11411921.500000000000000
20110520,5874448.339999999850988,5376818.750000000000000,11251267.089999999850988
20110523,5866415.349999999627471,5350831.250000000000000,11217246.599999999627471
20110524,5802151.429999999701977,5332640.000000000000000,11134791.429999999701977
20110525,5784937.879999998956919,5400207.500000000000000,11185145.379999998956919
20110526,5815922.269999999552965,5431392.500000000000000,11247314.769999999552965
20110527,5867562.919999999925494,5439188.750000000000000,11306751.669999999925494
20110531,5921498.709999999962747,5574323.750000000000000,11495822.460000000894070
