代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11070755.800000000745058
真實報酬,1070755.800000000745058

夏普值報酬,0.098375580000000
夏普值風險,0.031519690570509
夏普值,3.121083304416789

預期報酬,20532.350019218119996
風險,103087.026131737380638
趨勢值,0.199174918412908
找到最佳解世代,1998
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](11),PFE[20](3),UTX[24](2),WBA[27](1),
Stock#,BA[2](11),PFE[20](3),UTX[24](2),WBA[27](1),
張數,20014,83472,23364,38928,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,51.260000000242144,13.600000000093132,52.000000000000000,43.839999999850988,
20141103,2522415.680000000167638,2520033.280000000260770,2483645.199999999720603,2529585.279999999795109,10055679.439999999478459
20141104,2518613.020000000484288,2527545.760000000242144,2497196.319999999832362,2539706.559999999590218,10083061.660000000149012
20141105,2486190.340000000316650,2507512.479999999981374,2521728.520000000018626,2556056.319999999832362,10071487.660000000149012
20141106,2493395.380000000353903,2507512.479999999981374,2536915.120000000111759,2594595.040000000037253,10132418.019999999552965
20141107,2490793.560000000521541,2497495.840000000316650,2548597.120000000111759,2605105.600000000093132,10141992.120000001043081
20141110,2494596.220000000204891,2520868.000000000000000,2546728.000000000000000,2638583.679999999701977,10200775.900000000372529
20141111,2509006.300000000279397,2530884.640000000130385,2529438.640000000130385,2627683.839999999850988,10197013.419999999925494
20141112,2519213.440000000409782,2539231.840000000316650,2526634.959999999962747,2625348.159999999683350,10210428.400000000372529
20141113,2572450.680000000167638,2539231.840000000316650,2526634.959999999962747,2606662.719999999739230,10244980.199999999254942
20141114,2579055.300000000745058,2532554.080000000074506,2510513.800000000279397,2605494.879999999888241,10227618.060000002384186
20141117,2570249.140000000130385,2530884.640000000130385,2508644.680000000167638,2590702.239999999757856,10200480.700000001117587
20141118,2615080.500000000000000,2553422.080000000074506,2542055.199999999720603,2649483.520000000018626,10360041.299999998882413
20141119,2634093.800000000745058,2540901.280000000260770,2538784.239999999757856,2638972.959999999962747,10352752.280000001192093
20141120,2635895.060000000055879,2540901.280000000260770,2542522.479999999981374,2621455.359999999869615,10340774.179999999701977
20141121,2657510.180000000167638,2541736.000000000000000,2577101.199999999720603,2631187.359999999869615,10407534.739999998360872
20141124,2694135.800000000745058,2522537.439999999944121,2541821.560000000055879,2636637.279999999795109,10395132.080000000074506
20141125,2698138.600000000093132,2543405.439999999944121,2610044.439999999944121,2639751.520000000018626,10491340.000000000000000
20141126,2697538.180000000167638,2595992.800000000279397,2573830.239999999757856,2665444.000000000000000,10532805.220000000670552
20141128,2689132.300000000745058,2600166.399999999906868,2571961.120000000111759,2670893.919999999925494,10532153.740000002086163
20141201,2649704.719999999739230,2609348.320000000298023,2562849.160000000149012,2638194.399999999906868,10460096.599999999627471
20141202,2647503.180000000167638,2635224.640000000130385,2562615.520000000018626,2598487.839999999850988,10443831.179999999701977
20141203,2641298.840000000316650,2650249.600000000093132,2593222.359999999869615,2623012.479999999515712,10507783.280000001192093
20141204,2628289.740000000223517,2643571.840000000316650,2598362.439999999944121,2643255.040000000037253,10513479.059999998658895
20141205,2646102.200000000186265,2670282.879999999888241,2600231.560000000055879,2670504.639999999664724,10587121.280000001192093
20141208,2607475.180000000167638,2668613.439999999944121,2641352.199999999720603,2636637.279999999795109,10554078.099999999627471
20141209,2595066.500000000000000,2666944.000000000000000,2686678.359999999869615,2670115.359999999869615,10618804.219999998807907
20141210,2494596.220000000204891,2659431.520000000018626,2651866.000000000000000,2652987.040000000037253,10458880.780000001192093
20141211,2469178.440000000409782,2641902.399999999906868,2664482.560000000055879,2842177.120000000111759,10617740.519999999552965
20141212,2417142.040000000037253,2583472.000000000000000,2620324.600000000093132,2900179.839999999850988,10521118.480000000447035
20141215,2443360.380000000353903,2575959.520000000018626,2614717.239999999757856,2858916.159999999683350,10492953.300000000745058
20141216,2486790.760000000242144,2560099.840000000316650,2645557.720000000204891,2818041.759999999776483,10510490.080000000074506
20141217,2503002.100000000093132,2597662.240000000223517,2661211.600000000093132,2802470.559999999590218,10564346.500000000000000
20141218,2515210.640000000130385,2668613.439999999944121,2732705.439999999944121,2895508.479999999515712,10812038.000000000000000
20141219,2526418.480000000447035,2666109.280000000260770,2700696.760000000242144,2850741.279999999795109,10743965.800000000745058
20141222,2566246.340000000316650,2678630.080000000540167,2736910.959999999962747,2891226.399999999906868,10873013.780000001192093
20141223,2602471.680000000167638,2625208.000000000000000,2738546.439999999944121,2978425.120000000111759,10944651.239999998360872
20141224,2626688.620000000577420,2622703.840000000316650,2731537.239999999757856,2984653.600000000093132,10965583.300000000745058
20141226,2634494.080000000074506,2641902.399999999906868,2739247.359999999869615,2976478.719999999739230,10992122.559999998658895
