代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10766976.300000000745058
真實報酬,766976.300000000745058

夏普值報酬,0.067997630000000
夏普值風險,0.022605670932061
夏普值,3.007989906796439

預期報酬,12636.852960840826199
風險,49595.548441068734974
趨勢值,0.254798129228400
找到最佳解世代,2495
找到最佳解實驗#,2
找到最佳解次數,38

stock[index](rank)
投資組合檔數,5
JNJ[12](1),KO[14](3),MCD[15](2),TRV[22](7),UNH[23](18),
Stock#,JNJ[12](1),KO[14](3),MCD[15](2),TRV[22](7),UNH[23](18),
張數,21710,52356,21019,23854,25883,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,74.799999999813735,0.799999999813735,42.149999999906868,80.639999999897555,20.590000000083819,
20140303,1987842.399999999906868,1995811.519999999785796,1982554.229999999748543,1984256.360000000102445,1995599.889999999897555,9946064.400000000372529
20140304,2026486.199999999953434,2005759.159999999916181,1996426.770000000018626,2006440.579999999841675,2022259.379999999888241,10057372.089999999850988
20140305,2010203.699999999953434,2007853.399999999906868,1997267.529999999795109,2012642.620000000111759,2018635.760000000009313,10046603.009999999776483
20140306,2016716.699999999720603,2014136.119999999646097,2009038.169999999925494,2013358.239999999990687,2009576.710000000195578,10062825.939999999478459
20140307,2026051.999999999767169,2018324.599999999627471,2007356.649999999906868,2002146.860000000102445,2003364.790000000270084,10057244.900000000372529
20140310,2028874.299999999813735,2023560.199999999720603,2001050.949999999953434,1998568.760000000009313,2015788.629999999888241,10067842.839999999850988
20140311,2029742.699999999720603,2031413.599999999627471,2076298.969999999972060,1993797.959999999962747,2013200.330000000074506,10144453.559999998658895
20140312,2032130.799999999580905,2014136.119999999646097,2074827.639999999664724,1990219.860000000102445,2008541.389999999897555,10119855.809999998658895
20140313,2019104.799999999813735,1987958.119999999646097,2046662.179999999934807,1970182.500000000000000,1993270.420000000158325,10017178.019999999552965
20140314,2014979.899999999906868,1998429.319999999832362,2051076.169999999925494,1971852.279999999795109,1959363.690000000176951,9995701.359999999403954
20140317,2039295.099999999860302,2003664.919999999925494,2051496.549999999813735,1992843.800000000046566,1986799.670000000158325,10074100.039999999105930
20140318,2039512.199999999720603,2010471.199999999720603,2045401.040000000037253,2002623.939999999944121,2018894.590000000083819,10116902.969999998807907
20140319,2031913.699999999953434,1996858.639999999897555,2019968.049999999813735,1984733.439999999944121,2069625.270000000018626,10103099.099999999627471
20140320,2043420.000000000000000,2013089.000000000000000,2030477.549999999813735,1985449.060000000055879,2110261.580000000074506,10182697.189999999478459
20140321,2082715.099999999860302,2012565.439999999711290,2006726.079999999841675,1998568.760000000009313,2105343.810000000521541,10205919.189999999478459
20140324,2066866.799999999813735,2010471.199999999720603,2021649.570000000065193,2000477.079999999841675,2103790.830000000074506,10203255.480000000447035
20140325,2114194.599999999627471,2021989.519999999785796,2015974.439999999944121,2004532.260000000009313,2099131.889999999664724,10255822.709999997168779
20140326,2107030.299999999813735,2021465.959999999729916,2014503.109999999869615,1990219.860000000102445,2110520.410000000149012,10243739.640000000596046
20140327,2112023.599999999627471,2032460.719999999739230,2021229.189999999944121,1991651.099999999860302,2097061.250000000000000,10254425.859999999403954
20140328,2115497.199999999720603,2039267.000000000000000,2043929.709999999729916,2003578.099999999860302,2112591.049999999813735,10314863.059999998658895
20140331,2132648.100000000093132,2024083.759999999543652,2060534.719999999972060,2030056.039999999804422,2122167.759999999776483,10369490.379999998956919
20140401,2126352.199999999720603,2010994.759999999543652,2057802.250000000000000,2013119.699999999953434,2118285.310000000521541,10326554.219999998807907
20140402,2132648.100000000093132,2006806.279999999795109,2051286.359999999869615,2019321.739999999990687,2112332.219999999739230,10322394.699999999254942
20140403,2133299.399999999906868,1993193.719999999739230,2052757.689999999944121,2027193.560000000055879,2128897.339999999850988,10335341.709999999031425
