代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11767251.949999999254942
真實報酬,1767251.949999999254942

夏普值報酬,0.168025195000000
夏普值風險,0.051820014360733
夏普值,3.242476812729770

預期報酬,31441.736595883270638
風險,121824.976075853744987
趨勢值,0.258089413260432
找到最佳解世代,2024
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](2),MMM[16](3),NKE[19](1),
Stock#,CSCO[4](2),MMM[16](3),NKE[19](1),
張數,194363,38051,145878,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,7.550000000279397,65.400000000372529,20.699999999720603,
20121101,3403303.680000000633299,3396117.150000000372529,3477752.219999999739230,10277174.050000000745058
20121102,3372205.600000000558794,3385462.870000000111759,3448576.619999999646097,10206246.089999999850988
20121105,3381923.750000000000000,3409435.000000000000000,3474834.659999999683350,10266194.410000000149012
20121106,3397472.790000000502914,3457379.260000000242144,3505469.040000000037253,10360322.089999999850988
20121107,3344994.780000000260770,3401063.780000000260770,3451494.179999999701977,10197553.740000000223517
20121108,3271136.839999999850988,3369481.450000000186265,3350838.359999999403954,9991457.649999998509884
20121109,3269193.210000000428408,3379374.710000000428408,3366884.939999999478459,10015453.859999999403954
20121112,3276967.729999999981374,3393453.580000000540167,3365426.159999999683350,10035848.470000000670552
20121113,3275024.100000000558794,3389648.480000000447035,3336250.560000000055879,10000924.140000000596046
20121114,3432458.130000000353903,3322298.210000000428408,3304157.399999999441206,10058914.740000000223517
20121115,3486879.770000000484288,3349314.420000000391155,3312910.080000000074506,10149105.270000001415610
20121116,3496597.919999999925494,3367578.900000000372529,3377096.399999999441206,10241274.219999998807907
20121119,3556850.450000000186265,3408293.470000000204891,3512762.939999999478459,10477907.859999999403954
20121120,3564624.970000000204891,3387365.420000000391155,3486504.899999999441206,10438496.289999999105930
20121121,3591835.790000000502914,3384321.340000000316650,3486504.899999999441206,10462663.030000001192093
20121123,3661806.470000000204891,3435309.680000000633299,3528809.520000000018626,10625926.669999999925494
20121126,3704566.330000000074506,3428079.990000000689179,3562361.459999999962747,10695008.780000001192093
20121127,3685130.030000000260770,3436451.210000000428408,3537562.199999999720603,10659144.439999999478459
20121128,3659862.839999999850988,3460042.830000000540167,3614877.540000000037253,10734784.210000000894070
