代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11562160.190000001341105
真實報酬,1562160.190000001341105

夏普值報酬,0.147516019000000
夏普值風險,0.040419598703350
夏普值,3.649616120205954

預期報酬,22750.827146818704932
風險,149114.502412891248241
趨勢值,0.152572867016132
找到最佳解世代,2263
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](3),UNH[23](2),UTX[24](1),WBA[27](4),
Stock#,HD[9](3),UNH[23](2),UTX[24](1),WBA[27](4),
張數,25150,25347,22710,36437,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,90.000000000000000,25.390000000130385,83.200000000186265,57.430000000167638,
20141201,2486922.000000000000000,2510899.209999999962747,2491143.100000000093132,2469392.919999999925494,9958357.230000000447035
20141202,2468814.000000000000000,2530416.399999999906868,2490916.000000000465661,2432227.180000000167638,9922373.580000000074506
20141203,2479628.500000000000000,2555002.990000000223517,2520666.100000000093132,2455182.490000000223517,10010480.080000000074506
20141204,2488682.500000000000000,2526360.880000000353903,2525662.299999999813735,2474129.730000000447035,10014835.410000000149012
20141205,2506036.000000000000000,2543089.899999999906868,2527479.100000000558794,2499635.629999999888241,10076240.630000000819564
20141208,2525904.500000000000000,2532697.630000000353903,2567448.700000000186265,2467935.440000000409782,10093986.270000001415610
20141209,2506036.000000000000000,2560579.330000000074506,2611506.100000000093132,2499271.260000000242144,10177392.689999999478459
20141210,2488431.000000000000000,2511659.620000000111759,2577668.200000000186265,2483238.980000000447035,10060997.800000000745058
20141211,2521880.500000000000000,2527881.700000000186265,2589931.600000000558794,2660322.800000000279397,10300016.600000001490116
20141212,2509557.000000000000000,2503295.110000000335276,2547009.700000000186265,2714613.930000000167638,10274475.740000000223517
20141215,2516347.500000000000000,2490875.080000000074506,2541559.300000000279397,2675990.709999999962747,10224772.589999999850988
20141216,2441149.000000000000000,2429535.339999999850988,2571536.500000000465661,2637731.860000000335276,10079952.699999999254942
20141217,2488431.000000000000000,2512926.970000000204891,2586752.200000000186265,2623157.060000000055879,10211267.230000000447035
20141218,2531940.500000000000000,2591502.669999999925494,2656244.799999999813735,2710241.490000000223517,10489929.460000000894070
