代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11631445.469999998807907
真實報酬,1631445.469999998807907

夏普值報酬,0.154444547000000
夏普值風險,0.041699254149909
夏普值,3.703772409088463

預期報酬,24330.196530277455167
風險,41924.331739049644966
趨勢值,0.580335941469892
找到最佳解世代,2598
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,7
CSCO[4](10),CVX[5](17),DIS[6](25),HD[9](8),INTC[11](3),TRV[22](11),WMT[28](7),
Stock#,CSCO[4](10),CVX[5](17),DIS[6](25),HD[9](8),INTC[11](3),TRV[22](11),WMT[28](7),
張數,44351,13274,14116,9532,40734,11788,18298,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,25.290000000037253,23.119999999878928,31.800000000046566,10.159999999916181,29.619999999878928,101.159999999916181,46.140000000130385,
20170901,1432562.589999999850988,1443703.359999999869615,1432805.800000000046566,1437245.119999999878928,1429385.679999999934807,1413482.359999999869615,1434060.400000000139698,10023248.310000000521541
20170905,1402403.910000000149012,1452729.679999999934807,1434217.399999999906868,1457738.919999999925494,1426534.300000000046566,1360790.000000000000000,1460226.540000000037253,9994643.750000000000000
20170906,1413491.660000000149012,1483923.580000000074506,1432805.800000000046566,1492340.079999999841675,1456677.459999999729916,1387902.399999999906868,1465349.980000000214204,10132493.960000000894070
20170907,1408613.050000000046566,1484056.319999999832362,1370130.760000000009313,1505398.919999999925494,1447715.979999999748543,1357843.000000000000000,1466081.900000000139698,10039842.929999999701977
20170908,1396194.770000000018626,1470516.839999999850988,1370271.919999999925494,1521889.279999999795109,1433459.079999999841675,1411832.040000000037253,1443392.380000000121072,10047559.310000000521541
20170911,1427683.979999999981374,1493613.599999999860302,1370554.239999999990687,1509593.000000000000000,1457084.800000000046566,1444838.439999999944121,1447051.980000000214204,10150423.040000000968575
20170912,1437441.199999999953434,1493215.379999999888241,1381847.040000000037253,1524272.279999999795109,1470119.679999999934807,1443895.399999999906868,1456749.920000000158325,10207543.900000000372529
20170913,1427240.469999999972060,1515648.439999999944121,1394974.919999999925494,1525320.800000000046566,1479895.839999999850988,1432461.040000000037253,1461324.420000000158325,10236868.929999999701977
20170914,1427683.979999999981374,1519232.419999999925494,1381988.200000000186265,1519220.319999999832362,1486005.939999999711290,1414189.639999999897555,1458030.780000000260770,10206354.280000001192093
20170915,1438771.729999999981374,1521621.739999999757856,1390740.119999999878928,1509878.959999999962747,1507187.619999999878928,1422912.760000000009313,1470839.380000000121072,10261955.310000000521541
20170918,1442319.810000000288710,1529055.179999999934807,1384811.399999999906868,1504255.079999999841675,1507187.619999999878928,1423148.520000000018626,1463886.140000000130385,10254666.750000001862645
20170919,1440989.280000000027940,1544320.280000000027940,1389469.680000000167638,1502825.279999999795109,1516556.439999999711290,1421498.199999999953434,1464801.040000000037253,10280463.199999999254942
20170920,1445867.890000000130385,1544718.500000000000000,1400480.159999999916181,1512547.919999999925494,1510039.000000000000000,1437176.239999999990687,1473035.140000000130385,10323867.849999999627471
20170921,1450302.990000000223517,1546045.899999999906868,1395963.040000000037253,1517409.239999999990687,1515334.419999999925494,1432225.279999999795109,1464069.120000000111759,10321352.989999998360872
20170922,1480018.159999999916181,1556930.580000000074506,1391869.399999999906868,1524844.199999999953434,1514519.739999999757856,1438708.679999999934807,1455286.080000000074506,10362179.839999999850988
20170925,1495541.010000000009313,1566222.379999999888241,1405561.919999999925494,1535615.359999999869615,1513705.059999999823049,1446135.119999999878928,1448332.840000000316650,10411116.689999999478459
20170926,1497315.050000000046566,1559983.599999999860302,1392292.879999999888241,1537140.479999999748543,1526332.599999999860302,1444956.319999999832362,1452724.360000000102445,10410748.289999997243285
20170927,1484896.769999999785796,1559054.419999999925494,1400903.639999999897555,1533899.599999999860302,1529183.979999999748543,1445192.079999999841675,1450894.560000000288710,10404028.049999998882413
20170928,1479131.140000000130385,1561311.000000000000000,1384105.600000000093132,1547625.679999999934807,1540996.839999999850988,1447667.559999999823049,1444673.240000000223517,10405514.060000000521541
20170929,1491549.420000000158325,1559718.119999999878928,1391445.919999999925494,1559064.079999999841675,1551180.339999999850988,1444366.919999999925494,1429851.860000000102445,10427179.660000000149012
20171002,1496871.540000000037253,1558788.939999999944121,1409655.560000000055879,1563448.800000000046566,1590284.979999999748543,1453797.319999999832362,1435524.240000000223517,10508374.379999998956919
20171003,1501306.640000000130385,1563965.799999999813735,1422783.440000000176951,1574410.599999999860302,1604134.540000000037253,1458276.760000000009313,1449613.700000000186265,10574494.480000000447035
20171004,1483122.729999999981374,1560780.039999999804422,1419395.600000000093132,1575554.439999999944121,1602505.179999999934807,1460634.359999999869615,1447234.960000000195578,10549230.309999998658895
20171005,1489775.380000000121072,1574054.039999999804422,1413184.560000000055879,1583466.000000000000000,1610244.639999999897555,1466999.879999999888241,1453090.320000000065193,10590817.820000000298023
20171006,1496871.540000000037253,1553479.339999999850988,1412619.919999999925494,1580892.359999999869615,1614318.040000000037253,1474426.319999999832362,1445588.140000000130385,10578198.660000000149012
20171009,1497315.050000000046566,1562505.659999999683350,1405561.919999999925494,1579557.879999999888241,1623686.859999999869615,1473011.760000000009313,1473584.080000000074506,10615226.209999999031425
20171010,1488001.339999999850988,1576974.319999999832362,1405703.080000000074506,1574315.279999999795109,1615132.719999999739230,1484681.879999999888241,1539456.880000000121072,10684268.500000000000000
20171011,1489775.380000000121072,1584009.539999999804422,1391163.600000000093132,1575173.159999999916181,1600875.819999999832362,1480791.839999999850988,1568733.680000000167638,10690526.019999999552965
20171012,1475139.550000000046566,1581487.479999999981374,1368295.680000000167638,1568882.040000000037253,1596395.079999999841675,1484799.760000000009313,1575503.939999999944121,10650506.530000001192093
20171013,1484453.260000000009313,1581752.959999999729916,1374647.879999999888241,1567738.199999999953434,1615947.399999999906868,1493287.119999999878928,1585018.900000000139698,10702848.719999998807907
20171016,1487557.830000000074506,1594628.739999999757856,1385234.879999999888241,1565355.199999999953434,1619613.459999999729916,1518631.319999999832362,1568916.660000000149012,10739941.089999999850988
20171017,1490218.890000000130385,1595823.399999999906868,1388481.560000000055879,1557062.359999999869615,1620835.479999999748543,1516627.359999999869615,1573308.180000000167638,10742360.229999998584390
20171018,1488001.339999999850988,1568346.219999999972060,1386928.800000000046566,1558015.559999999823049,1639573.119999999878928,1532776.919999999925494,1577699.700000000186265,10751344.660000000149012
20171019,1496871.540000000037253,1569009.919999999925494,1397656.960000000195578,1556013.840000000083819,1633055.679999999934807,1569909.119999999878928,1580993.340000000316650,10803513.399999998509884
20171020,1519047.040000000037253,1574850.479999999981374,1403162.200000000186265,1557824.919999999925494,1646905.239999999757856,1571677.319999999832362,1600023.260000000009313,10873493.460000000894070
20171023,1523482.140000000130385,1578699.939999999944121,1393281.000000000000000,1570311.840000000083819,1663198.839999999850988,1584997.759999999776483,1622163.840000000316650,10936138.359999999403954
20171024,1533682.869999999878928,1582682.139999999897555,1387493.440000000176951,1582608.119999999878928,1668086.919999999925494,1570144.879999999888241,1609904.180000000167638,10934605.550000000745058
20171025,1521264.589999999850988,1572195.679999999934807,1380576.600000000093132,1582989.399999999906868,1661162.139999999897555,1553523.799999999813735,1619053.180000000167638,10890768.389999998733401
20171026,1519934.060000000288710,1572195.679999999934807,1391304.760000000009313,1598049.959999999962747,1684380.520000000018626,1555409.879999999888241,1621614.900000000139698,10942892.759999999776483
20171027,1527030.219999999972060,1507153.080000000074506,1387775.760000000009313,1595095.040000000037253,1808619.219999999739230,1545036.439999999944121,1613380.800000000046566,10984093.560000000521541
20171030,1509733.330000000074506,1518435.979999999981374,1383964.440000000176951,1575745.079999999841675,1807397.199999999720603,1563425.719999999972060,1591057.240000000223517,10949761.990000000223517
20171031,1514611.939999999944121,1538346.979999999981374,1380717.760000000009313,1580225.119999999878928,1853019.280000000027940,1561421.759999999776483,1597644.520000000251457,11025990.359999999403954
20171101,1535456.909999999916181,1538479.719999999972060,1397939.280000000027940,1576412.319999999832362,1902714.760000000009313,1573445.520000000018626,1609172.260000000009313,11133623.769999999552965
20171102,1517273.000000000000000,1530913.539999999804422,1388340.399999999906868,1550961.879999999888241,1918601.020000000018626,1587826.879999999888241,1624908.540000000037253,11118828.259999997913837
20171103,1528804.260000000009313,1526400.379999999888241,1392434.040000000037253,1566975.639999999897555,1887643.179999999934807,1571677.319999999832362,1641010.780000000260770,11114948.599999997764826
20171106,1526143.199999999953434,1553612.080000000074506,1420666.040000000037253,1565355.199999999953434,1902307.419999999925494,1573091.879999999888241,1623078.740000000223517,11164257.560000000521541
