代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10874222.099999999627471
真實報酬,874222.099999999627471

夏普值報酬,0.078722210000000
夏普值風險,0.032782041679180
夏普值,2.401382158268553

預期報酬,17893.726087768340221
風險,56056.360995266528334
趨勢值,0.319209555705539
找到最佳解世代,2376
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](2),CSCO[4](3),CVX[5](16),DIS[6](4),INTC[11](7),MCD[15](25),UNH[23](1),VZ[26](6),
Stock#,AAPL[0](2),CSCO[4](3),CVX[5](16),DIS[6](4),INTC[11](7),MCD[15](25),UNH[23](1),VZ[26](6),
張數,14827,54089,9958,15754,46834,12329,16657,26749,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,83.900000000139698,3.209999999962747,71.840000000083819,77.639999999897555,0.540000000037253,85.979999999981374,58.719999999972060,19.229999999981374,
20140501,1252965.400000000139698,1244591.100000000093132,1244224.360000000102445,1253465.879999999888241,1238759.840000000083819,1244821.819999999832362,1248500.870000000111759,1263107.010000000009313,9990436.279999999329448
20140502,1255189.450000000186265,1240804.870000000111759,1242033.600000000093132,1265281.379999999888241,1236886.479999999981374,1250616.449999999953434,1249833.429999999934807,1260432.109999999869615,10001077.770000001415610
20140505,1272981.850000000093132,1241886.649999999906868,1248406.719999999972060,1279617.519999999785796,1225646.320000000065193,1247041.040000000037253,1253164.830000000074506,1267654.340000000083819,10036399.269999999552965
20140506,1259192.740000000223517,1228905.289999999804422,1244523.100000000093132,1276624.260000000009313,1227051.340000000083819,1244698.530000000027940,1253664.540000000037253,1269794.260000000009313,10004454.060000000521541
20140507,1254744.640000000130385,1237018.640000000130385,1257070.180000000167638,1264966.300000000046566,1235013.120000000111759,1257150.819999999832362,1297805.589999999850988,1286646.130000000121072,10090415.420000001788139
20140508,1245551.900000000139698,1245131.989999999990687,1245718.060000000055879,1285604.039999999804422,1233608.100000000093132,1257027.530000000027940,1280815.449999999953434,1297078.239999999990687,10090535.310000000521541
20140509,1240362.450000000186265,1245131.989999999990687,1245120.580000000074506,1291117.939999999944121,1231734.739999999990687,1269109.949999999953434,1281814.870000000111759,1296810.750000000000000,10101203.270000001415610
20140512,1255782.530000000027940,1254327.120000000111759,1247211.760000000009313,1298522.319999999832362,1235013.120000000111759,1268246.919999999925494,1294973.899999999906868,1288251.069999999832362,10142328.740000000223517
20140513,1257710.040000000037253,1236477.750000000000000,1253286.140000000130385,1293165.959999999962747,1238759.840000000083819,1276507.350000000093132,1299971.000000000000000,1279958.880000000121072,10135836.960000000894070
20140514,1258006.580000000074506,1233773.299999999813735,1258962.200000000186265,1274891.319999999832362,1233139.760000000009313,1270342.850000000093132,1285479.409999999916181,1284238.719999999972060,10098834.140000000596046
20140515,1247331.140000000130385,1307875.229999999981374,1232971.820000000065193,1262760.739999999990687,1218152.880000000121072,1263808.479999999981374,1273986.080000000074506,1282901.270000000018626,10089787.640000000596046
20140516,1265716.620000000111759,1318152.140000000130385,1226698.280000000260770,1266541.699999999953434,1209254.420000000158325,1271699.040000000037253,1276817.770000000018626,1312592.659999999916181,10147472.630000000819564
20140519,1280691.890000000130385,1317070.360000000102445,1224407.940000000176951,1276939.339999999850988,1219557.899999999906868,1258753.590000000083819,1285979.120000000111759,1314732.579999999841675,10178132.720000000670552
20140520,1280988.430000000167638,1304629.890000000130385,1219926.840000000083819,1277569.500000000000000,1219557.899999999906868,1251849.350000000093132,1276984.339999999850988,1301358.079999999841675,10132864.330000000074506
20140521,1284398.640000000130385,1324101.929999999934807,1236457.120000000111759,1294898.899999999906868,1227051.340000000083819,1264548.219999999972060,1294640.760000000009313,1315267.560000000055879,10241364.470000000670552
20140522,1286326.150000000139698,1318693.029999999795109,1231179.380000000121072,1297419.539999999804422,1224709.639999999897555,1263192.030000000027940,1304968.100000000093132,1322757.280000000027940,10249245.149999998509884
20140523,1300856.610000000102445,1326265.489999999990687,1228590.300000000046566,1312700.919999999692664,1231266.399999999906868,1257643.979999999981374,1312130.609999999869615,1330514.489999999990687,10299968.800000000745058
20140527,1325321.160000000149012,1336542.399999999906868,1223312.560000000055879,1319317.599999999860302,1250936.680000000167638,1262082.419999999925494,1317793.989999999990687,1327304.609999999869615,10362611.419999999925494
20140528,1321762.680000000167638,1342492.189999999944121,1220126.000000000000000,1317112.039999999804422,1258898.459999999962747,1249013.679999999934807,1308965.780000000027940,1330514.489999999990687,10348885.320000000298023
20140529,1345930.690000000176951,1334919.729999999981374,1218134.399999999906868,1323886.260000000009313,1262645.180000000167638,1249506.840000000083819,1322124.810000000055879,1329979.510000000009313,10387127.419999999925494
20140530,1340889.510000000242144,1331674.390000000130385,1222814.660000000149012,1323571.179999999934807,1279505.420000000158325,1250616.449999999953434,1326455.629999999888241,1336399.270000000018626,10411926.509999999776483
20140602,1331696.770000000251457,1340328.630000000121072,1217039.020000000018626,1327667.219999999739230,1276695.380000000121072,1258013.850000000093132,1323790.510000000009313,1338806.679999999934807,10414038.060000000521541
20140603,1350527.060000000055879,1334919.729999999981374,1220424.739999999990687,1321523.159999999916181,1295428.979999999981374,1250863.030000000027940,1330619.879999999888241,1318477.439999999944121,10422784.019999999552965
20140604,1365947.140000000130385,1325183.709999999962747,1218433.140000000130385,1327194.599999999860302,1292618.940000000176951,1263068.739999999990687,1341113.790000000037253,1314732.579999999841675,10448292.640000000596046
20140605,1371284.860000000102445,1336001.510000000009313,1230084.000000000000000,1335701.760000000009313,1295428.979999999981374,1263192.030000000027940,1329287.319999999832362,1318209.949999999953434,10479190.409999998286366
20140606,1367429.840000000083819,1343033.079999999841675,1236755.860000000102445,1333023.579999999841675,1319314.320000000065193,1257150.819999999832362,1331452.729999999981374,1321954.810000000055879,10510115.040000000968575
20140609,1389373.800000000279397,1341410.409999999916181,1238548.300000000046566,1346729.560000000055879,1307137.479999999981374,1250000.000000000000000,1328621.040000000037253,1325967.159999999916181,10527787.750000000000000
20140610,1397528.650000000139698,1352228.209999999962747,1248207.560000000055879,1335229.139999999897555,1322592.699999999953434,1243835.500000000000000,1329453.889999999897555,1324629.709999999962747,10553705.359999999403954
20140611,1391746.120000000111759,1354391.770000000018626,1246614.280000000260770,1328297.379999999888241,1308074.159999999916181,1238164.159999999916181,1335450.409999999916181,1320617.359999999869615,10523355.640000000596046
20140612,1368467.730000000214204,1333837.949999999953434,1255875.219999999972060,1304508.839999999850988,1309479.180000000167638,1230027.020000000018626,1323290.800000000046566,1311790.189999999944121,10437276.929999999701977
20140613,1353492.460000000195578,1336001.510000000009313,1267326.920000000158325,1304508.839999999850988,1398932.120000000111759,1239027.189999999944121,1318959.979999999981374,1315535.050000000046566,10533784.070000002160668
20140616,1367133.300000000279397,1326806.380000000121072,1280073.159999999916181,1312385.839999999850988,1405488.880000000121072,1246547.879999999888241,1299304.719999999972060,1319012.420000000158325,10556752.580000000074506
20140617,1365354.060000000055879,1325183.709999999962747,1282960.980000000214204,1310180.279999999795109,1402678.840000000083819,1248643.809999999823049,1302136.409999999916181,1316337.520000000018626,10553475.609999997541308
20140618,1366836.760000000242144,1332215.279999999795109,1297400.080000000074506,1316796.959999999962747,1401742.159999999916181,1249630.129999999888241,1319459.689999999944121,1321954.810000000055879,10606035.870000001043081
20140619,1362092.120000000111759,1336542.399999999906868,1314428.260000000242144,1319790.219999999739230,1409235.600000000093132,1256534.369999999878928,1341113.790000000037253,1323292.260000000009313,10663029.019999999552965
20140620,1348006.470000000204891,1343033.079999999841675,1317913.560000000055879,1304823.919999999692664,1414387.340000000083819,1256657.659999999916181,1356105.089999999850988,1321152.340000000083819,10662079.459999999031425
20140623,1346820.310000000055879,1336001.510000000009313,1324286.679999999934807,1303878.679999999934807,1415792.360000000102445,1256534.369999999878928,1357437.649999999906868,1330247.000000000000000,10670998.560000000521541
20140624,1338665.460000000195578,1326806.380000000121072,1312237.500000000232831,1302618.360000000102445,1428437.540000000037253,1251109.609999999869615,1361601.899999999906868,1318209.949999999953434,10639686.700000001117587
20140625,1339851.620000000111759,1337083.289999999804422,1306860.179999999934807,1321838.239999999990687,1446234.459999999962747,1252835.669999999925494,1371596.100000000093132,1321687.319999999832362,10697986.880000000819564
