代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10779945.250000000000000
真實報酬,779945.250000000000000

夏普值報酬,0.069294525000000
夏普值風險,0.026842431856197
夏普值,2.581529325332045

預期報酬,14570.863224060816719
風險,92005.631283381022513
趨勢值,0.158369254368594
找到最佳解世代,4059
找到最佳解實驗#,2
找到最佳解次數,25

stock[index](rank)
投資組合檔數,4
DIS[6](6),GS[8](2),MSFT[18](1),PG[21](3),
Stock#,DIS[6](6),GS[8](2),MSFT[18](1),PG[21](3),
張數,29157,14930,59952,31810,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,78.820000000298023,120.799999999813735,1.599999999627471,52.100000000093132,
20140701,2521284.610000000335276,2490594.099999999627471,2510191.839999999385327,2521948.899999999906868,10044019.449999999254942
20140702,2520409.900000000372529,2491788.499999999534339,2511990.399999999441206,2530855.700000000186265,10055044.500000000000000
20140703,2532072.700000000186265,2530158.600000000093132,2505995.199999999254942,2544215.900000000372529,10112442.400000000372529
20140707,2524783.450000000186265,2505076.199999999720603,2517386.079999999608845,2550896.000000000000000,10098141.730000000447035
20140708,2503498.840000000316650,2462227.099999999627471,2504796.159999999683350,2562665.700000000186265,10033187.800000000745058
20140709,2543152.360000000335276,2458643.899999999441206,2498201.439999999944121,2597974.800000000279397,10097972.500000000000000
20140710,2532655.840000000316650,2439981.399999999441206,2499400.479999999515712,2596066.200000000186265,10068103.919999999925494
20140711,2533530.550000000279397,2460584.799999999813735,2523381.279999999795109,2581751.700000000186265,10099248.329999998211861
20140714,2529740.140000000596046,2493430.799999999813735,2526378.879999999888241,2586841.299999999813735,10136391.120000001043081
20140715,2511954.370000000577420,2525828.899999999441206,2544964.000000000000000,2584932.700000000186265,10167679.969999998807907
20140716,2488628.770000000018626,2545237.899999999906868,2642685.759999999310821,2574753.500000000000000,10251305.929999999701977
20140717,2479298.530000000260770,2540310.999999999534339,2669664.159999999683350,2557576.100000000093132,10246849.789999999105930
20140718,2502040.990000000223517,2560167.899999999906868,2679256.479999999515712,2562347.600000000093132,10303812.970000000670552
20140721,2500000.000000000000000,2563900.399999999906868,2688249.279999999795109,2553758.899999999906868,10305908.580000000074506
20140722,2513703.790000000037253,2613169.399999999906868,2687649.759999999310821,2548033.100000000093132,10362556.049999998882413
20140723,2508747.100000000558794,2640043.399999999906868,2690047.839999999385327,2544534.000000000000000,10383372.339999999850988
20140724,2530906.420000000391155,2631682.599999999627471,2661870.399999999441206,2553122.700000000186265,10377582.119999999180436
20140725,2514286.930000000633299,2618842.799999999813735,2667865.599999999627471,2530855.700000000186265,10331851.030000001192093
20140728,2541111.370000000577420,2627054.299999999813735,2636091.039999999571592,2521312.700000000186265,10325569.410000000149012
