代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11312156.900000000372529
真實報酬,1312156.900000000372529

夏普值報酬,0.122515690000000
夏普值風險,0.040491052991205
夏普值,3.025747194734863

預期報酬,23127.583945327151014
風險,70498.783543867219123
趨勢值,0.328056496619353
找到最佳解世代,1607
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,7
AXP[1](4),DD[7](8),KO[14](13),MMM[16](1),MRK[17](12),PFE[20](22),XOM[29](5),
Stock#,AXP[1](4),DD[7](8),KO[14](13),MMM[16](1),MRK[17](12),PFE[20](22),XOM[29](5),
張數,26702,23885,33284,9460,28193,46853,18350,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,14.000000000000000,9.149999999906868,21.719999999972060,111.000000000000000,31.689999999944121,23.030000000027940,23.500000000000000,
20160201,1460613.400000000139698,1448395.549999999813735,1431233.719999999972060,1407096.799999999813735,1430826.439999999944121,1413578.040000000037253,1399945.000000000000000,9991691.949999999254942
20160202,1432843.319999999832362,1531754.199999999720603,1412594.679999999934807,1398961.199999999953434,1421240.819999999832362,1412172.449999999953434,1368750.000000000000000,9978319.669999998062849
20160203,1444859.219999999972060,1589794.750000000000000,1421914.199999999953434,1442950.200000000186265,1411091.339999999850988,1390151.540000000037253,1440131.500000000000000,10140895.750000000000000
20160204,1452068.760000000009313,1612007.799999999813735,1415590.239999999990687,1451653.399999999906868,1369929.560000000055879,1358760.030000000027940,1464904.000000000000000,10124916.789999999105930
20160205,1441387.959999999962747,1588122.799999999813735,1412594.679999999934807,1451937.199999999953434,1392202.030000000027940,1360165.620000000111759,1469491.500000000000000,10115904.789999999105930
20160208,1399198.800000000046566,1572597.550000000046566,1419584.319999999832362,1456005.000000000000000,1376695.879999999888241,1338144.709999999962747,1489309.500000000000000,10051538.759999999776483
20160209,1405340.260000000009313,1585017.750000000000000,1441218.919999999925494,1463951.400000000139698,1385999.569999999832362,1363445.330000000074506,1469491.500000000000000,10114467.730000000447035
20160210,1396261.580000000074506,1570209.049999999813735,1416255.919999999925494,1442288.000000000000000,1396430.979999999981374,1381718.000000000000000,1456096.000000000000000,10059262.529999999329448
20160211,1364753.219999999972060,1523872.149999999906868,1411596.159999999916181,1425449.199999999953434,1377259.739999999990687,1364850.919999999925494,1460683.500000000000000,9928467.890000000596046
20160212,1406141.319999999832362,1564954.349999999860302,1434894.959999999962747,1456572.600000000093132,1382334.479999999981374,1375627.110000000102445,1486924.000000000000000,10107451.820000000298023
20160216,1420026.360000000102445,1592899.799999999813735,1443215.959999999962747,1471424.800000000046566,1403479.229999999981374,1396710.959999999962747,1490410.500000000000000,10218170.609999999403954
20160217,1431508.219999999972060,1632310.050000000046566,1447542.880000000121072,1481736.199999999953434,1426597.489999999990687,1388277.419999999925494,1504723.500000000000000,10312698.760000001639128
20160218,1445927.300000000046566,1617979.049999999813735,1451536.959999999962747,1483249.800000000046566,1418703.449999999953434,1384529.180000000167638,1512981.000000000000000,10314909.740000000223517
20160219,1460880.419999999925494,1601498.399999999906868,1456862.400000000139698,1480128.000000000000000,1413064.849999999860302,1381718.000000000000000,1513898.500000000000000,10308053.570000000298023
20160222,1485446.260000000009313,1628966.149999999906868,1462520.679999999934807,1491953.000000000000000,1431390.300000000046566,1407955.680000000167638,1511880.000000000000000,10420115.070000000298023
20160223,1471561.219999999972060,1597915.650000000139698,1454199.679999999934807,1477479.199999999953434,1424905.909999999916181,1403738.910000000149012,1490594.000000000000000,10320397.570000000298023
20160224,1459011.280000000027940,1605081.149999999906868,1461522.159999999916181,1487412.199999999953434,1425469.770000000018626,1406550.090000000083819,1495915.500000000000000,10340965.150000000372529
20160225,1479037.780000000027940,1636131.649999999906868,1469843.159999999916181,1504156.400000000139698,1437874.689999999944121,1433256.300000000046566,1504907.000000000000000,10465209.980000000447035
20160226,1478770.760000000009313,1657866.999999999767169,1435893.479999999981374,1497345.200000000186265,1427725.209999999962747,1416389.219999999972060,1500136.000000000000000,10414129.870000001043081
20160229,1484111.159999999916181,1653567.699999999953434,1435560.640000000130385,1484101.199999999953434,1415602.219999999972060,1390151.540000000037253,1470776.000000000000000,10333873.460000000894070
20160301,1516687.599999999860302,1703009.649999999906868,1454199.679999999934807,1509832.400000000139698,1459019.439999999944121,1407487.149999999906868,1491511.500000000000000,10541750.419999999925494
20160302,1525232.239999999990687,1687723.249999999767169,1456862.400000000139698,1508129.599999999860302,1473679.800000000046566,1404675.969999999972060,1517568.500000000000000,10573874.759999999776483
