代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11035930.109999999403954
真實報酬,1035930.109999999403954

夏普值報酬,0.094893011000000
夏普值風險,0.031495960296051
夏普值,3.012862922991957

預期報酬,17956.092517441858945
風險,105512.321005834775860
趨勢值,0.170180054293838
找到最佳解世代,2088
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](8),HD[9](7),NKE[19](5),PFE[20](15),UNH[23](2),V[25](1),VZ[26](16),
Stock#,AAPL[0](8),HD[9](7),NKE[19](5),PFE[20](15),UNH[23](2),V[25](1),VZ[26](16),
張數,8514,8014,21501,40252,6675,11942,29873,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,92.080000000074506,155.639999999897555,44.560000000055879,27.520000000018626,121.000000000000000,68.959999999962747,44.139999999897555,
20180402,1419205.600000000093132,1385776.239999999990687,1378688.680000000167638,1410860.119999999878928,1449931.000000000000000,1413882.340000000083819,1408854.819999999832362,9867201.800000000745058
20180403,1433764.540000000037253,1392668.279999999795109,1434161.260000000009313,1436218.880000000121072,1499192.500000000000000,1423555.360000000102445,1419011.639999999897555,10038575.460000000894070
20180404,1461179.620000000111759,1422159.799999999813735,1471142.979999999981374,1454332.280000000027940,1527294.250000000000000,1430839.979999999981374,1431857.029999999795109,10198808.939999999478459
20180405,1471311.280000000260770,1435703.459999999962747,1496299.150000000139698,1438231.479999999981374,1529163.250000000000000,1447319.939999999944121,1441117.659999999916181,10259149.220000000670552
20180406,1433679.400000000139698,1398197.939999999711290,1452437.110000000102445,1415690.360000000102445,1495054.000000000000000,1405642.360000000102445,1418414.179999999701977,10019118.349999999627471
20180409,1447897.780000000260770,1382650.779999999795109,1444481.740000000223517,1427363.439999999944121,1486843.750000000000000,1418659.140000000130385,1401685.300000000046566,10009584.930000001564622
20180410,1475142.580000000074506,1390504.500000000000000,1440611.560000000055879,1447086.920000000158325,1513944.250000000000000,1441707.199999999953434,1442013.850000000093132,10151013.859999999403954
20180411,1468246.239999999990687,1385455.679999999934807,1436956.390000000130385,1440646.600000000093132,1481303.500000000000000,1430481.719999999972060,1421401.479999999748543,10064494.610000001266599
