代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11294961.480000000447035
真實報酬,1294961.480000000447035

夏普值報酬,0.120796148000000
夏普值風險,0.034829732191608
夏普值,3.468190548680298

預期報酬,21454.524575202165579
風險,49184.851418608006497
趨勢值,0.436201878350807
找到最佳解世代,2261
找到最佳解實驗#,1
找到最佳解次數,35

stock[index](rank)
投資組合檔數,9
AAPL[0](4),CSCO[4](1),JNJ[12](13),KO[14](28),MSFT[18](2),PG[21](6),UTX[24](7),VZ[26](17),XOM[29](9),
Stock#,AAPL[0](4),CSCO[4](1),JNJ[12](13),KO[14](28),MSFT[18](2),PG[21](6),UTX[24](7),VZ[26](17),XOM[29](9),
張數,6675,23495,8349,23085,10639,11517,9410,20180,15162,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,124.000000000000000,32.449999999953434,26.079999999841675,29.949999999953434,80.229999999981374,66.010000000009313,72.300000000046566,0.199999999953434,39.639999999897555,
20190201,1111645.000000000000000,1112285.750000000000000,1120461.879999999655411,1124269.449999999953434,1093556.649999999906868,1122628.000000000000000,1119674.100000000093132,1100819.199999999953434,1151138.679999999934807,10056479.709999999031425
20190204,1143217.750000000000000,1112520.699999999953434,1109441.199999999720603,1136966.199999999953434,1125048.089999999850988,1129077.520000000018626,1121179.699999999953434,1090527.399999999906868,1134460.479999999748543,10102440.039999999105930
20190205,1162775.500000000000000,1110406.149999999906868,1109441.199999999720603,1137197.049999999813735,1140793.810000000055879,1122282.489999999990687,1136518.000000000000000,1092545.399999999906868,1146135.219999999972060,10158095.820000000298023
20190206,1163176.000000000000000,1115575.049999999813735,1110443.079999999841675,1137197.049999999813735,1128133.399999999906868,1127810.650000000139698,1142069.900000000139698,1085482.399999999906868,1141131.760000000009313,10151020.290000000968575
20190207,1141148.500000000000000,1097248.949999999953434,1102511.530000000027940,1140890.649999999906868,1120047.760000000009313,1118827.390000000130385,1136047.500000000000000,1081042.800000000046566,1132337.800000000046566,10070103.880000002682209
20190208,1137610.750000000000000,1108761.500000000000000,1105433.679999999934807,1142737.449999999953434,1124303.360000000102445,1125392.079999999841675,1152703.199999999953434,1088711.199999999953434,1121724.399999999906868,10107378.620000001043081
20190211,1131069.250000000000000,1117924.549999999813735,1102094.079999999841675,1145276.800000000046566,1119834.979999999981374,1131841.599999999860302,1154867.500000000000000,1090729.199999999953434,1123543.839999999850988,10117182.799999998882413
20190212,1140814.750000000000000,1125208.000000000000000,1120127.919999999925494,1146431.049999999813735,1137282.939999999944121,1143243.430000000167638,1166724.100000000093132,1098195.800000000046566,1143254.439999999944121,10221283.429999999701977
20190213,1136075.500000000000000,1116044.949999999953434,1122549.129999999655411,1149432.099999999860302,1136431.820000000065193,1143013.089999999850988,1170864.500000000000000,1099406.599999999860302,1156142.139999999897555,10229960.830000000074506
20190214,1140214.000000000000000,1137190.449999999953434,1121380.269999999785796,1052475.100000000093132,1137389.330000000074506,1134029.829999999841675,1168135.600000000093132,1090325.599999999860302,1156445.379999999888241,10137586.559999998658895
20190215,1137677.500000000000000,1161390.300000000046566,1138662.699999999720603,1044395.349999999976717,1151432.810000000055879,1134260.170000000158325,1202293.900000000139698,1113129.000000000000000,1178278.659999999916181,10261521.390000000596046
20190219,1141081.750000000000000,1166559.199999999953434,1132901.889999999897555,1034930.499999999883585,1150900.860000000102445,1151650.839999999850988,1210574.699999999953434,1118779.399999999906868,1186162.899999999906868,10293543.040000000968575
20190220,1148424.250000000000000,1166089.300000000046566,1138412.229999999748543,1041163.449999999953434,1140049.080000000074506,1143473.770000000018626,1208598.600000000093132,1125237.000000000000000,1190711.500000000000000,10302160.179999999701977
20190221,1141949.500000000000000,1160920.399999999906868,1130647.659999999683350,1058708.050000000046566,1164093.219999999972060,1149232.270000000018626,1188743.500000000000000,1133107.199999999953434,1179946.479999999748543,10307349.279999999329448
20190222,1154698.750000000000000,1177366.899999999906868,1140499.479999999748543,1045318.750000000000000,1180690.060000000055879,1154645.260000000009313,1202388.000000000000000,1148645.800000000046566,1189043.679999999934807,10393297.679999999701977
