代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11256525.879999998956919
真實報酬,1256525.879999998956919

夏普值報酬,0.116952588000000
夏普值風險,0.031642187556568
夏普值,3.696096794537950

預期報酬,21223.459528602150385
風險,136134.324465650337515
趨勢值,0.155900869320854
找到最佳解世代,2242
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](1),KO[14](5),PFE[20](2),
Stock#,CVX[5](1),KO[14](5),PFE[20](2),
張數,35113,106055,182949,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,55.909999999683350,24.350000000093132,2.220000000204891,
20110201,3378628.769999999552965,3343938.500000000000000,3516282.000000000000000,10238850.269999999552965
20110202,3387758.149999999906868,3333333.000000000000000,3468715.260000000242144,10189807.410000000149012
20110203,3416901.939999999944121,3318485.299999999813735,3507134.550000000745058,10242522.790000000968575
20110204,3409879.339999999850988,3317424.750000000000000,3530917.920000000391155,10258223.009999999776483
20110207,3429191.489999999757856,3315303.650000000372529,3483351.180000000167638,10227847.320000000298023
20110208,3432000.529999999329448,3334393.550000000279397,3505305.060000000055879,10271700.140000000596046
20110209,3379331.029999999329448,3349241.250000000000000,3485180.670000000391155,10213753.949999999254942
20110210,3395483.009999999776483,3369391.700000000186265,3481521.690000000409782,10246397.400000000372529
20110211,3386704.759999999776483,3371512.799999999813735,3444931.889999999664724,10203150.449999999254942
20110214,3404261.259999999776483,3348180.700000000186265,3485180.670000000391155,10237623.630000000819564
20110215,3382842.329999999608845,3351362.350000000093132,3485180.670000000391155,10219386.349999999627471
20110216,3394078.489999999757856,3361967.850000000093132,3527258.940000000409782,10283306.280000001192093
20110217,3411986.119999999646097,3423479.750000000000000,3543724.350000000558794,10379191.219999998807907
20110218,3466411.269999999552965,3423479.750000000000000,3510793.530000000260770,10400685.550000000745058
20110222,3522592.069999999366701,3381057.750000000000000,3455908.830000000540167,10359559.650000000372529
20110223,3591062.419999999459833,3389542.150000000372529,3432125.460000000428408,10412731.030000001192093
20110224,3582635.299999999813735,3387421.050000000279397,3457738.319999999832362,10427795.669999999925494
20110225,3585093.209999999497086,3410753.149999999906868,3450420.359999999869615,10446267.719999998807907
20110228,3643029.659999999683350,3389542.150000000372529,3519940.979999999981374,10552513.790000000968575
20110301,3613183.609999999869615,3442569.650000000372529,3501646.080000000540167,10557400.339999999850988
20110302,3633198.019999999552965,3417116.450000000186265,3510793.530000000260770,10561109.000000000000000
20110303,3658479.379999999422580,3476507.250000000000000,3616903.950000000186265,10751891.579999998211861
20110304,3643029.659999999683350,3457417.350000000093132,3596779.560000000055879,10697227.570000000298023
20110307,3617046.040000000037253,3458477.899999999906868,3587632.109999999869615,10663157.049999998882413
20110308,3643731.919999999459833,3480749.450000000186265,3600438.540000000037253,10724920.910000000149012
20110309,3586497.729999999515712,3479688.900000000372529,3596779.560000000055879,10662967.189999999478459
20110310,3479051.949999999720603,3462720.100000000093132,3541894.859999999869615,10483667.910000000149012
20110311,3508898.000000000000000,3437266.899999999906868,3562019.250000000000000,10508185.150000000372529
20110314,3539446.309999999590218,3390602.700000000186265,3624221.910000000149012,10554271.919999999925494
20110315,3554544.899999999906868,3342877.950000000186265,3615074.460000000428408,10512498.310000000521541
20110316,3494150.540000000037253,3266518.350000000093132,3530917.920000000391155,10291587.810000000521541
20110317,3590009.029999999329448,3302577.050000000279397,3637028.339999999850988,10529615.419999999925494
20110318,3609672.309999999590218,3324848.600000000093132,3691913.040000000037253,10626434.949999999254942
20110321,3693592.379999999422580,3371512.799999999813735,3655323.240000000223517,10720429.419999999925494
20110322,3694996.899999999906868,3368331.150000000372529,3648005.280000000260770,10711334.330000001937151
20110323,3703775.149999999906868,3408632.050000000279397,3644346.300000000745058,10756754.500000000000000
20110324,3700263.849999999627471,3430903.600000000093132,3713866.920000000391155,10845035.369999999180436
20110325,3749422.049999999813735,3458477.899999999906868,3723014.370000000577420,10930915.320000000298023
20110328,3723438.429999999701977,3448932.950000000651926,3708378.450000000186265,10880750.830000001937151
20110329,3770138.719999999739230,3484991.649999999906868,3728502.839999999850988,10983634.209999999031425
20110330,3792611.040000000037253,3501960.450000000651926,3721184.880000000353903,11015757.370000001043081
20110331,3774352.279999999329448,3517868.700000000186265,3715696.410000000149012,11007918.390000000596046
20110401,3803496.069999999366701,3564532.899999999906868,3728502.839999999850988,11096532.809999998658895
20110404,3800335.899999999906868,3587865.000000000000000,3757774.680000000167638,11145976.580000000074506
20110405,3838960.199999999720603,3578320.050000000279397,3741309.270000000018626,11158590.519999999552965
20110406,3815434.489999999757856,3586804.450000000186265,3712037.430000000167638,11114277.369999999180436
20110407,3825266.129999999422580,3576198.950000000186265,3719355.389999999664724,11120821.469999998807907
20110408,3850547.489999999757856,3567714.550000000279397,3743138.760000000242144,11161401.800000000745058
20110411,3784535.049999999813735,3574077.850000000558794,3781558.050000000745058,11140171.950000001117587
20110412,3658128.250000000000000,3547564.100000000558794,3743138.760000000242144,10948832.110000001266599
20110413,3645136.439999999944121,3567714.550000000279397,3743138.760000000242144,10955990.750000000000000
20110414,3682707.349999999627471,3622863.149999999906868,3748627.229999999981374,11054198.730000000447035
20110415,3730461.029999999329448,3606954.899999999906868,3755945.190000000409782,11093362.120000001043081
20110418,3669364.409999999683350,3569835.649999999906868,3732161.819999999832362,10971362.879999998956919
20110419,3700966.109999999869615,3557109.049999999813735,3755945.190000000409782,11014021.350000001490116
20110420,3785588.439999999944121,3597409.950000000186265,3730332.330000000540167,11113331.720000000670552
20110421,3796824.599999999627471,3599531.049999999813735,3620562.930000000167638,11016919.580000000074506
20110425,3771894.369999999646097,3592107.199999999720603,3684595.080000000540167,11048597.650000000372529
20110426,3818594.659999999683350,3549685.200000000186265,3693742.530000000260770,11062023.390000000596046
20110427,3826319.519999999552965,3552866.850000000093132,3774240.089999999850988,11153427.459999999031425
20110428,3820701.439999999944121,3575138.400000000372529,3810829.889999999664724,11206670.730000000447035
20110429,3842822.629999999422580,3577259.499999999534339,3836442.750000000000000,11256525.879999998956919
