代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11003928.650000000372529
真實報酬,1003928.650000000372529

夏普值報酬,0.091692865000000
夏普值風險,0.034657722489835
夏普值,2.645669086504251

預期報酬,16493.027536598270672
風險,135611.954507968388498
趨勢值,0.121619274616599
找到最佳解世代,2036
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DD[7](4),JNJ[12](7),MRK[17](1),
Stock#,DD[7](4),JNJ[12](7),MRK[17](1),
張數,52717,36394,66600,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,37.090000000316650,6.540000000037253,3.000000000000000,
20140102,3293268.080000000074506,3312952.359999999869615,3296037.000000000000000,9902258.439999999478459
20140103,3278507.320000000298023,3342795.439999999944121,3312021.000000000000000,9933324.759999999776483
20140106,3272708.450000000186265,3360264.560000000055879,3312687.000000000000000,9945661.009999999776483
20140107,3236333.720000000204891,3431596.800000000279397,3337329.000000000000000,10005260.519999999552965
20140108,3240023.910000000149012,3426865.580000000074506,3316017.000000000000000,9982907.490000000223517
20140109,3198377.480000000447035,3447610.160000000149012,3298035.000000000000000,9944023.640000000596046
20140110,3206285.030000000260770,3447974.099999999627471,3322011.000000000000000,9976271.129999998956919
20140113,3145133.310000000055879,3439239.540000000037253,3537795.000000000000000,10122168.849999999627471
20140114,3202067.670000000391155,3447246.220000000204891,3529803.000000000000000,10179117.890000000596046
20140115,3232116.360000000335276,3450157.739999999757856,3497835.000000000000000,10180110.099999999627471
20140116,3234752.210000000428408,3444334.700000000186265,3496503.000000000000000,10175590.910000000149012
20140117,3233697.870000000577420,3459620.180000000167638,3459873.000000000000000,10153192.050000000745058
20140121,3448256.060000000055879,3422134.359999999869615,3451881.000000000000000,10322272.419999999925494
20140122,3429277.939999999944121,3432688.619999999646097,3419913.000000000000000,10281880.559999998658895
20140123,3357582.820000000298023,3375186.099999999627471,3436563.000000000000000,10169332.919999999925494
20140124,3259002.030000000260770,3297666.879999999888241,3461871.000000000000000,10018540.910000000149012
20140127,3235806.550000000279397,3273282.899999999906868,3498501.000000000000000,10007591.449999999254942
20140128,3232643.530000000260770,3279105.939999999944121,3521145.000000000000000,10032895.470000000670552
20140129,3358109.990000000689179,3235433.140000000130385,3477189.000000000000000,10070733.130000000819564
