代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11436738.620000001043081
真實報酬,1436738.620000001043081

夏普值報酬,0.134973862000000
夏普值風險,0.044484375562178
夏普值,3.034185830288653

預期報酬,25052.223587726199185
風險,183345.333395063207718
趨勢值,0.136639548571138
找到最佳解世代,2593
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
VZ[26](1),WMT[28](2),
Stock#,VZ[26](1),WMT[28](2),
張數,108178,81566,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,12.839999999850988,4.200000000186265,
20160104,4962137.699999999254942,5013050.560000000521541,9975188.259999999776483
20160105,5030289.839999999850988,5132136.919999999925494,10162426.759999999776483
20160106,4924275.400000000372529,5183523.500000000000000,10107798.900000000372529
20160107,4897230.900000000372529,5304241.180000000633299,10201472.080000001937151
20160108,4849632.580000000074506,5182707.839999999850988,10032340.419999999925494
20160111,4877758.860000000335276,5238172.719999999739230,10115931.580000000074506
20160112,4860450.379999999888241,5189233.120000000111759,10049683.500000000000000
20160113,4776071.540000000037253,5050570.919999999925494,9826642.460000000894070
20160114,4853959.699999999254942,5143556.160000000149012,9997515.859999999403954
20160115,4806361.379999999888241,5051386.580000000074506,9857747.960000000894070
20160119,4853959.699999999254942,5102773.160000000149012,9956732.859999999403954
20160120,4805279.599999999627471,4962479.640000000596046,9767759.240000000223517
20160121,4962137.699999999254942,5047308.280000000260770,10009445.980000000447035
20160122,5088705.959999999962747,5113376.740000000223517,10202082.699999999254942
20160125,5087624.179999999701977,5175366.900000000372529,10262991.080000000074506
20160126,5219601.339999999850988,5220228.200000000186265,10439829.539999999105930
20160127,5303980.179999999701977,5216149.900000000372529,10520130.080000000074506
20160128,5301816.619999999180436,5238172.719999999739230,10539989.339999999850988
20160129,5405667.500000000000000,5412723.959999999962747,10818391.460000000894070
20160201,5491128.119999999180436,5505709.200000000186265,10996837.320000000298023
20160202,5399176.819999999366701,5453506.959999999962747,10852683.779999999329448
20160203,5475983.199999999254942,5405383.019999999552965,10881366.219999998807907
20160204,5455429.379999999888241,5417617.919999999925494,10873047.300000000745058
20160205,5513845.500000000000000,5464926.200000000186265,10978771.699999999254942
20160208,5488964.560000000521541,5456769.600000000558794,10945734.160000000149012
20160209,5425139.540000000037253,5367862.660000000149012,10793002.199999999254942
20160210,5406749.279999999329448,5366231.340000000782311,10772980.620000001043081
20160211,5342924.259999999776483,5327895.319999999366701,10670819.579999998211861
20160212,5420812.419999999925494,5398042.080000001005828,10818854.500000000000000
20160216,5434875.560000000521541,5375203.600000000558794,10810079.160000000149012
20160217,5443529.799999999813735,5392332.459999999962747,10835862.259999999776483
20160218,5510600.159999999217689,5230016.120000000111759,10740616.279999999329448
20160219,5501945.919999999925494,5274061.759999999776483,10776007.679999999701977
20160222,5524663.299999999813735,5353180.780000000260770,10877844.080000000074506
20160223,5477064.980000000447035,5422511.880000000819564,10899576.860000001266599
20160224,5497618.799999999813735,5474714.120000000111759,10972332.919999999925494
20160225,5528990.419999999925494,5549754.840000000782311,11078745.260000001639128
20160226,5519254.400000000372529,5424958.860000000335276,10944213.260000001639128
20160229,5487882.779999999329448,5411092.640000000596046,10898975.419999999925494
20160301,5566852.719999999739230,5420880.559999999590218,10987733.279999999329448
20160302,5638250.199999999254942,5400489.059999999590218,11038739.259999997913837
20160303,5613369.259999999776483,5394779.440000000409782,11008148.699999999254942
20160304,5604715.020000000484288,5446981.680000000633299,11051696.700000001117587
20160307,5647986.219999999739230,5537519.940000000409782,11185506.160000000149012
20160308,5675030.719999999739230,5549754.840000000782311,11224785.560000000521541
20160309,5662049.360000000335276,5508156.180000000633299,11170205.540000000968575
20160310,5659885.799999999813735,5498368.259999999776483,11158254.059999998658895
20160311,5682603.179999999701977,5478792.419999999925494,11161395.599999999627471
20160314,5683684.959999999962747,5494289.959999999962747,11177974.919999999925494
20160315,5697748.099999999627471,5553833.140000000596046,11251581.240000000223517
20160316,5756164.219999999739230,5545676.540000000037253,11301840.759999999776483
20160317,5801598.980000000447035,5501630.900000000372529,11303229.880000000819564
20160318,5759409.560000000521541,5460847.900000000372529,11220257.460000000894070
20160321,5781045.159999999217689,5544045.219999999739230,11325090.379999998956919
20160322,5756164.219999999739230,5535888.620000000111759,11292052.839999999850988
20160323,5723710.819999999366701,5502446.559999999590218,11226157.379999998956919
20160324,5794026.520000000484288,5546492.200000000186265,11340518.720000000670552
20160328,5776718.040000000037253,5556280.120000000111759,11332998.160000000149012
20160329,5847033.739999999292195,5548939.180000000633299,11395972.919999999925494
20160330,5845951.959999999962747,5611745.000000000000000,11457696.960000000894070
20160331,5850279.080000000074506,5586459.540000000037253,11436738.620000001043081
