代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11701329.189999999478459
真實報酬,1701329.189999999478459

夏普值報酬,0.161432919000000
夏普值風險,0.042407473419308
夏普值,3.806709194952847

預期報酬,23310.689968363338266
風險,130738.545133673804230
趨勢值,0.178300056379924
找到最佳解世代,2222
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](4),PFE[20](6),WBA[27](1),
Stock#,MCD[15](4),PFE[20](6),WBA[27](1),
張數,20546,80282,48619,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,155.420000000391155,24.359999999869615,14.359999999869615,
20180904,3322854.540000000502914,3321290.699999999720603,3287631.140000000130385,9931777.380000000819564
20180905,3354084.460000000428408,3359826.060000000055879,3317774.919999999459833,10031686.439999999478459
20180906,3364357.460000000428408,3354206.319999999832362,3307564.929999999701977,10026129.710000000894070
20180907,3367644.820000000298023,3387924.760000000242144,3315343.969999999739230,10070914.550000000745058
20180910,3391683.640000000130385,3376685.280000000260770,3345001.559999999590218,10113371.480000000447035
20180911,3382437.940000000409782,3396755.780000000260770,3342084.419999999459833,10121279.140000000596046
20180912,3384903.460000000428408,3404783.979999999515712,3421819.579999999608845,10211508.019999999552965
20180913,3336825.820000000298023,3440108.060000000055879,3426681.479999999981374,10203616.360000001266599
20180914,3304774.060000000521541,3448939.080000000074506,3416957.679999999701977,10170671.820000000298023
20180917,3249299.860000000335276,3452953.179999999701977,3425222.910000000149012,10127476.949999999254942
20180918,3241697.840000000782311,3493094.179999999701977,3446129.079999999608845,10180922.099999999627471
20180919,3270667.700000000651926,3473023.679999999701977,3465576.679999999701977,10209269.060000000521541
20180920,3303746.760000000242144,3512361.859999999869615,3543853.270000000018626,10359962.890000000596046
20180921,3396409.220000000670552,3537249.280000000260770,3549201.359999999869615,10482860.860000001266599
20180924,3355522.680000000633299,3526812.619999999646097,3510306.160000000149012,10392642.460000000894070
20180925,3419215.280000000260770,3515573.139999999664724,3510792.349999999627471,10445581.769999999552965
20180926,3405860.380000000353903,3506742.119999999646097,3547256.599999999627471,10459860.099999999627471
20180927,3421680.800000000279397,3524404.159999999683350,3588582.750000000000000,10534668.710000000894070
20180928,3437295.760000000242144,3538052.100000000093132,3544339.459999999962747,10519688.320000000298023
20181001,3424557.240000000223517,3554108.500000000000000,3522947.099999999627471,10501613.839999999850988
20181002,3393943.700000000651926,3550094.399999999906868,3573024.669999999459833,10517063.769999999552965
20181003,3383259.780000000260770,3597460.780000000260770,3588096.559999999590218,10568818.120000001043081
20181004,3406682.220000000670552,3588629.760000000242144,3565731.819999999832362,10561044.800000000745058
20181005,3422502.640000000130385,3605488.979999999515712,3525378.050000000279397,10553370.669999999925494
20181008,3447157.840000000782311,3635193.319999999832362,3605113.209999999962747,10687465.370000001043081
20181009,3489482.600000000558794,3650446.899999999906868,3576428.000000000000000,10716358.500000000000000
20181010,3459485.440000000409782,3573376.179999999701977,3515654.250000000000000,10548516.870000001043081
20181011,3348537.040000000502914,3436896.780000000260770,3447101.459999999962747,10232536.280000001192093
20181012,3366001.140000000130385,3514770.319999999832362,3573510.859999999869615,10454283.320000000298023
20181015,3362919.240000000223517,3461784.199999999720603,3632826.040000000037253,10457530.480000000447035
20181016,3371137.640000000130385,3526812.619999999646097,3708671.679999999701977,10606622.939999999478459
20181017,3426611.840000000782311,3578193.100000000093132,3742704.979999999981374,10747510.920000001788139
20181018,3427433.680000000633299,3532432.359999999869615,3723257.379999999888241,10683124.420000001788139
20181019,3441404.960000000428408,3572573.359999999869615,3760694.009999999776483,10774673.330000000074506
20181022,3423735.400000000372529,3562136.699999999720603,3775279.709999999962747,10761152.809999998658895
20181023,3639879.320000000298023,3540460.560000000055879,3756318.300000000279397,10936659.180000001564622
20181024,3643988.520000000484288,3410403.719999999739230,3607544.160000000149012,10661937.400000000372529
20181025,3602074.680000000633299,3485065.979999999515712,3682417.419999999459833,10769559.080000000074506
20181026,3561599.060000000521541,3420037.560000000055879,3706240.729999999981374,10687878.350000001490116
20181029,3559339.000000000000000,3470615.219999999739230,3734925.939999999478459,10764881.160000000149012
20181030,3667410.960000000428408,3443319.339999999850988,3831191.559999999590218,10941922.859999999403954
20181031,3634742.820000000298023,3456967.280000000260770,3878351.989999999757856,10970063.089999999850988
20181101,3593239.900000000372529,3505939.299999999813735,3884672.459999999962747,10983852.660000000149012
20181102,3631660.920000000391155,3446530.619999999646097,3855501.059999999590218,10933693.599999999627471
20181105,3706448.360000000335276,3493897.000000000000000,3888075.790000000037253,11088422.150000000372529
20181106,3754115.080000000540167,3452953.179999999701977,3918705.759999999776483,11125775.019999999552965
20181107,3785755.920000000391155,3564545.159999999683350,3982396.649999999906868,11332698.730000000447035
20181108,3811027.500000000000000,3520390.060000000055879,4008164.719999999739230,11339583.280000001192093
20181109,3820478.660000000149012,3554911.319999999832362,4005733.770000000018626,11381124.750000000000000
20181112,3788221.440000000409782,3541263.379999999888241,3977534.750000000000000,11307020.570000000298023
20181113,3780824.880000000353903,3493897.000000000000000,3982882.839999999850988,11257605.720000000670552
20181114,3777537.520000000484288,3444924.979999999515712,3963435.239999999757856,11185898.740000000223517
20181115,3771579.180000000633299,3469009.580000000074506,4000871.870000000111759,11241461.630000000819564
20181116,3854379.560000000521541,3493094.179999999701977,4012054.239999999757856,11359528.980000000447035
20181119,3836504.540000000502914,3546883.119999999646097,3982882.839999999850988,11366271.500000000000000
20181120,3774661.080000000540167,3494699.819999999832362,3879324.370000000111759,11148686.269999999552965
20181121,3754320.540000000502914,3460178.560000000055879,3877865.800000000279397,11092365.900000000372529
20181123,3738089.200000000651926,3463389.839999999850988,3928915.750000000000000,11130395.790000000968575
20181126,3778359.360000000335276,3479446.240000000223517,3972186.660000000149012,11229993.260000001639128
20181127,3793563.400000000372529,3538052.100000000093132,4060673.239999999757856,11392289.740000000223517
20181128,3859721.520000000484288,3604686.159999999683350,4115126.520000000018626,11579535.199999999254942
20181129,3888691.380000000353903,3653658.179999999701977,4125336.509999999776483,11667687.070000000298023
20181130,3873281.880000000353903,3711461.219999999739230,4116585.089999999850988,11701329.189999999478459
