代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11098255.299999998882413
真實報酬,1098255.299999998882413

夏普值報酬,0.101125530000000
夏普值風險,0.025742310472637
夏普值,3.928378150340893

預期報酬,19155.901680456154281
風險,142447.352871167153353
趨勢值,0.134477063240208
找到最佳解世代,2398
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](3),MCD[15](1),
Stock#,KO[14](3),MCD[15](1),
張數,101770,25218,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,39.899999999441206,27.139999999664724,
20190603,5086504.499999999068677,5012861.179999999701977,10099365.679999999701977
20190604,5088539.899999999441206,5034296.479999999515712,10122836.379999998956919
20190605,5167920.500000000000000,5046905.479999999515712,10214825.980000000447035
20190606,5231017.899999999441206,5120542.040000000037253,10351559.939999999478459
20190607,5240177.199999999254942,5181821.779999999329448,10421998.979999998584390
20190610,5228982.500000000000000,5076410.540000000037253,10305393.039999999105930
20190611,5223893.999999999068677,5125837.819999999366701,10349731.819999998435378
20190612,5255442.699999999254942,5167951.879999999888241,10423394.579999998211861
20190613,5203540.000000000000000,5156855.959999999962747,10360395.960000000894070
20190614,5221858.599999999627471,5177030.359999999403954,10398888.959999999031425
20190617,5177079.799999998882413,5139707.719999999739230,10316787.519999999552965
20190618,5153672.699999999254942,5157360.319999999366701,10311033.019999999552965
20190619,5202522.299999998882413,5158369.040000000037253,10360891.339999999850988
20190620,5257478.099999998696148,5172743.299999999813735,10430221.399999998509884
20190621,5246283.399999999441206,5151055.819999999366701,10397339.219999998807907
20190624,5283938.299999999813735,5142481.699999999254942,10426420.000000000000000
20190625,5267655.099999999627471,5187621.919999999925494,10455277.019999999552965
20190626,5202522.299999998882413,5158369.040000000037253,10360891.339999999850988
20190627,5198451.499999999068677,5201744.000000000000000,10400195.500000000000000
20190628,5182168.299999999813735,5236797.019999999552965,10418965.320000000298023
20190701,5251371.899999999441206,5202500.540000000037253,10453872.439999999478459
20190702,5290044.499999999068677,5285215.580000000074506,10575260.079999998211861
20190703,5302256.899999999441206,5366669.719999999739230,10668926.619999999180436
20190705,5303274.599999999627471,5327077.459999999962747,10630352.059999998658895
20190708,5292079.899999999441206,5350278.019999999552965,10642357.919999998062849
20190709,5250354.200000000186265,5348512.759999999776483,10598866.960000000894070
20190710,5273761.299999999813735,5371461.139999999664724,10645222.439999999478459
20190711,5296150.699999999254942,5363643.559999999590218,10659794.259999997913837
20190712,5304292.299999998882413,5371208.959999999962747,10675501.259999997913837
20190715,5305310.000000000000000,5401974.919999999925494,10707284.919999999925494
20190716,5306327.699999999254942,5389618.099999999627471,10695945.799999998882413
20190717,5310398.499999999068677,5389365.919999999925494,10699764.419999998062849
20190718,5295133.000000000000000,5444845.519999999552965,10739978.519999999552965
20190719,5230000.199999999254942,5393400.799999999813735,10623401.000000000000000
20190722,5212699.299999998882413,5421897.139999999664724,10634596.439999997615814
20190723,5529203.999999999068677,5404496.719999999739230,10933700.719999998807907
20190724,5473230.500000000000000,5365913.179999999701977,10839143.679999999701977
20190725,5400973.799999999813735,5407775.059999999590218,10808748.859999999403954
20190726,5512920.799999999813735,5436523.580000000074506,10949444.379999998956919
20190729,5494602.199999999254942,5421392.779999999329448,10915994.979999998584390
20190730,5467124.299999998882413,5354817.259999999776483,10821941.559999998658895
20190731,5356195.000000000000000,5313964.099999999627471,10670159.099999999627471
20190801,5295133.000000000000000,5327329.639999999664724,10622462.640000000596046
20190802,5325663.999999999068677,5408783.779999999329448,10734447.779999997466803
20190805,5256460.399999999441206,5307155.239999999292195,10563615.639999998733401
20190806,5319557.799999999813735,5398696.580000000074506,10718254.379999998956919
20190807,5412168.499999999068677,5468046.080000000074506,10880214.579999998211861
20190808,5464071.199999999254942,5497803.319999999366701,10961874.519999999552965
20190809,5436593.299999999813735,5576987.839999999850988,11013581.140000000596046
20190812,5414203.899999999441206,5476368.019999999552965,10890571.919999998062849
20190813,5444734.899999999441206,5541178.279999999329448,10985913.179999999701977
20190814,5392832.199999999254942,5459219.779999999329448,10852051.979999998584390
20190815,5482389.799999998882413,5504360.000000000000000,10986749.799999998882413
20190816,5537345.599999998696148,5509403.599999999627471,11046749.199999999254942
20190819,5565841.199999999254942,5517221.179999999701977,11083062.379999998956919
20190820,5483407.500000000000000,5509403.599999999627471,10992811.099999999627471
20190821,5505796.899999999441206,5565891.919999999925494,11071688.820000000298023
20190822,5545487.199999999254942,5535125.959999999962747,11080613.160000000149012
20190823,5469159.699999999254942,5413323.019999999552965,10882482.719999998807907
20190826,5550575.699999999254942,5470063.519999999552965,11020639.219999998807907
20190827,5568894.299999998882413,5448376.040000000037253,11017270.339999999850988
20190828,5608584.599999999627471,5499316.399999999441206,11107901.000000000000000
20190829,5602478.399999999441206,5561604.859999999403954,11164083.259999997913837
20190830,5601460.699999999254942,5496794.599999999627471,11098255.299999998882413
