代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11228122.730000000447035
真實報酬,1228122.730000000447035

夏普值報酬,0.114112273000000
夏普值風險,0.037856090102430
夏普值,3.014370282066564

預期報酬,21506.032344577572076
風險,87879.730822499041096
趨勢值,0.244721190464452
找到最佳解世代,2268
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](22),AXP[1](4),BA[2](2),DIS[6](1),NKE[19](10),
Stock#,AAPL[0](22),AXP[1](4),BA[2](2),DIS[6](1),NKE[19](10),
張數,17614,30111,14041,21577,39856,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,106.439999999944121,27.379999999888241,140.369999999878928,27.870000000111759,25.919999999925494,
20161101,1963891.299999999813735,1994881.129999999888241,1999719.179999999934807,1993526.900000000139698,1977680.639999999897555,9929699.150000000372529
20161102,1965652.699999999953434,1970792.330000000074506,1976411.119999999878928,1983169.939999999944121,1981666.239999999990687,9877692.330000000074506
20161103,1934652.059999999823049,1967179.009999999776483,1966161.189999999944121,2014672.360000000102445,1982064.799999999813735,9864729.419999999925494
20161104,1917214.199999999953434,1972598.989999999990687,1959421.509999999776483,1994821.520000000251457,1991231.679999999934807,9835287.900000000372529
20161107,1944868.179999999934807,2017464.379999999888241,2008424.599999999860302,2037543.980000000214204,2029094.879999999888241,10037396.019999999552965
20161108,1956317.280000000027940,2019572.149999999674037,1996770.569999999832362,2036465.130000000121072,2035870.399999999906868,10044995.529999999329448
20161109,1953146.759999999776483,2069857.519999999785796,2037349.059999999823049,2042075.150000000139698,2037464.639999999897555,10139893.129999998956919
20161110,1898719.500000000000000,2111109.589999999850988,2073855.659999999916181,2048979.790000000037253,2008369.760000000009313,10141034.300000000745058
20161111,1909992.459999999962747,2122852.879999999888241,2085509.689999999944121,2107669.230000000447035,2023515.040000000037253,10249539.300000000745058
20161114,1862082.379999999888241,2180666.000000000000000,2106149.959999999962747,2112847.709999999962747,2001195.679999999934807,10262941.730000000447035
20161115,1886741.979999999981374,2182171.549999999813735,2079752.880000000121072,2108100.770000000018626,1998007.199999999953434,10254774.379999998956919
20161116,1937470.299999999813735,2158383.859999999869615,2056304.409999999916181,2138740.110000000335276,2019928.000000000000000,10310826.679999999701977
20161117,1936765.739999999990687,2161394.959999999962747,2040718.900000000139698,2144134.360000000335276,2056196.959999999962747,10339210.920000001788139
20161118,1938703.280000000027940,2137908.379999999888241,2055040.719999999739230,2119752.350000000093132,2036667.520000000018626,10288072.250000000000000
20161121,1968118.659999999916181,2154168.320000000298023,2064448.189999999944121,2106590.379999999888241,2043841.599999999860302,10337167.150000000372529
20161122,1969351.639999999897555,2159588.299999999813735,2099550.690000000409782,2108316.540000000037253,2060979.679999999934807,10397786.849999999627471
20161123,1959311.659999999916181,2194517.059999999590218,2102639.709999999962747,2120183.890000000130385,2046232.959999999962747,10422885.280000001192093
20161125,1969175.500000000000000,2193914.839999999850988,2106852.009999999776483,2132267.009999999776483,2053407.040000000037253,10455616.399999998509884
20161128,1965300.419999999925494,2171933.809999999590218,2103060.940000000409782,2135503.560000000055879,2033080.479999999748543,10408879.210000000894070
20161129,1963362.879999999888241,2152662.769999999552965,2129317.609999999403954,2150607.459999999962747,2017935.199999999953434,10413885.919999998062849
20161130,1946805.719999999972060,2169223.820000000298023,2114153.330000000074506,2138740.110000000335276,1995615.839999999850988,10364538.820000000298023
20161201,1928663.299999999813735,2183978.209999999962747,2139848.359999999403954,2134856.250000000000000,2018732.319999999832362,10406078.439999999478459
20161202,1935885.040000000037253,2163803.839999999850988,2137882.620000000111759,2125362.370000000111759,2011159.679999999934807,10374093.550000000745058
20161205,1921969.979999999981374,2168922.709999999962747,2136618.929999999701977,2156864.790000000037253,2066559.520000000018626,10450935.929999999701977
20161206,1936765.739999999990687,2177353.790000000037253,2137742.209999999962747,2171968.689999999944121,2015543.839999999850988,10439374.269999999552965
20161207,1955788.859999999869615,2236973.570000000298023,2164420.109999999403954,2200666.100000000093132,2076523.520000000018626,10634372.159999998286366
20161208,1974988.120000000111759,2255642.389999999664724,2181971.359999999403954,2230658.129999999888241,2054602.719999999739230,10697862.719999998807907
20161209,2007221.739999999990687,2251426.849999999627471,2197416.459999999962747,2262592.090000000316650,2061378.239999999990687,10780035.380000000819564
20161212,1995772.639999999897555,2215594.759999999776483,2206823.929999999701977,2245330.490000000223517,2054204.159999999916181,10717725.980000000447035
20161213,2029063.099999999860302,2223423.620000000111759,2199803.429999999701977,2240799.319999999832362,2084494.719999999739230,10777584.189999997615814
20161214,2029063.099999999860302,2230349.149999999906868,2169053.639999999664724,2245114.720000000204891,2064168.159999999916181,10737748.769999999552965
20161215,2040159.919999999925494,2256545.719999999739230,2159224.940000000409782,2252450.899999999906868,2044240.159999999916181,10752621.640000000596046
20161216,2042802.020000000018626,2258352.379999999888241,2169474.870000000111759,2242093.939999999944121,2029493.439999999944121,10742216.650000000372529
20161219,2054603.399999999906868,2244802.429999999701977,2193063.750000000000000,2272085.970000000204891,2026703.520000000018626,10791259.070000000298023
20161220,2060063.739999999990687,2260159.040000000037253,2196012.359999999403954,2275538.290000000037253,2064168.159999999916181,10855941.589999999850988
20161221,2062001.280000000027940,2267987.899999999906868,2211317.049999999813735,2277695.990000000223517,2084494.719999999739230,10903496.939999997615814
20161222,2048438.500000000000000,2245705.759999999776483,2211036.230000000447035,2274675.209999999962747,2078117.760000000009313,10857973.459999999031425
20161223,2052489.719999999972060,2257449.049999999813735,2215950.580000000074506,2268849.420000000391155,2068950.879999999888241,10863689.649999998509884
20161227,2065524.080000000074506,2257750.160000000149012,2211317.049999999813735,2269280.959999999962747,2044240.159999999916181,10848112.410000000149012
20161228,2056717.080000000074506,2239382.450000000186265,2191940.469999999739230,2250508.970000000204891,2033479.040000000037253,10772028.010000001639128
20161229,2056188.659999999916181,2225832.500000000000000,2186183.660000000149012,2256118.990000000223517,2035073.280000000027940,10759397.089999999850988
20161230,2040159.919999999925494,2230650.259999999776483,2186043.250000000000000,2248782.810000000055879,2025906.399999999906868,10731542.640000000596046
20170103,2045972.540000000037253,2268891.229999999515712,2204156.139999999664724,2288916.030000000260770,2071740.799999999813735,10879676.739999998360872
20170104,2043682.719999999972060,2296292.240000000223517,2227323.790000000037253,2318260.750000000000000,2115183.839999999850988,11000743.339999999850988
20170105,2054074.979999999981374,2267987.899999999906868,2228587.480000000447035,2316966.129999999888241,2114785.279999999795109,10982401.769999999552965
20170106,2076973.179999999934807,2272504.549999999813735,2234063.469999999739230,2351489.330000000074506,2148662.879999999888241,11083693.410000000149012
20170109,2095996.299999999813735,2284247.839999999850988,2223111.490000000223517,2338111.590000000316650,2127539.200000000186265,11069006.420000001788139
20170110,2098109.979999999981374,2308035.530000000260770,2233642.240000000223517,2338543.129999999888241,2116778.080000000074506,11095108.959999999031425
20170111,2109382.939999999944121,2315864.389999999664724,2238275.769999999552965,2361414.750000000000000,2100038.560000000055879,11124976.410000000149012
20170112,2100575.939999999944121,2314961.059999999590218,2222690.259999999776483,2320202.680000000167638,2088480.319999999832362,11046910.259999999776483
20170113,2096877.000000000000000,2307132.200000000186265,2230272.400000000372529,2331638.490000000223517,2109205.439999999944121,11075125.529999999329448
20170117,2113786.439999999944121,2306529.979999999515712,2213984.839999999850988,2329696.560000000055879,2138300.319999999832362,11102298.140000000596046
20170118,2113610.299999999813735,2333328.769999999552965,2223111.490000000223517,2333796.189999999944121,2123155.040000000037253,11127001.789999999105930
20170119,2109911.359999999869615,2309239.969999999739230,2232659.370000000111759,2314808.430000000167638,2109604.000000000000000,11076223.130000000819564
20170120,2113786.439999999944121,2294485.580000000074506,2240101.099999999627471,2323007.689999999944121,2120365.120000000111759,11091745.929999999701977
20170123,2115195.560000000055879,2287560.049999999813735,2216371.809999999590218,2311356.110000000335276,2121959.359999999869615,11052442.889999998733401
20170124,2113258.020000000018626,2331522.109999999869615,2254422.919999999925494,2328186.170000000391155,2130329.120000000111759,11157718.339999999850988
20170125,2146900.759999999776483,2315262.169999999925494,2350042.129999999888241,2331206.950000000186265,2146670.080000000074506,11290082.089999999850988
20170126,2147957.600000000093132,2316466.609999999869615,2374754.290000000037253,2331638.490000000223517,2138300.319999999832362,11309117.310000000521541
20170127,2148133.740000000223517,2314057.729999999515712,2354816.069999999366701,2358393.970000000204891,2119966.560000000055879,11295368.070000000298023
20170130,2142497.259999999776483,2327005.459999999962747,2324908.740000000223517,2393780.250000000000000,2115582.399999999906868,11303774.110000001266599
20170131,2137565.339999999850988,2299905.559999999590218,2294720.589999999850988,2387522.920000000391155,2108408.319999999832362,11228122.730000000447035
