代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10655220.809999998658895
真實報酬,655220.809999998658895

夏普值報酬,0.056822081000000
夏普值風險,0.027249286463693
夏普值,2.085268584030966

預期報酬,13412.801753466017544
風險,89502.335335502240923
趨勢值,0.149859796430872
找到最佳解世代,2116
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](4),MCD[15](1),MRK[17](9),UNH[23](3),
Stock#,KO[14](4),MCD[15](1),MRK[17](9),UNH[23](3),
張數,50958,12653,31762,10726,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.520000000018626,146.790000000037253,12.979999999981374,91.180000000167638,
20190501,2476049.740000000223517,2456979.799999999813735,2500317.620000000111759,2487986.879999999888241,9921334.039999999105930
20190502,2465858.140000000130385,2462547.120000000111759,2525727.219999999739230,2493349.879999999888241,9947482.359999999403954
20190503,2482674.279999999795109,2499367.350000000093132,2540972.979999999981374,2487986.879999999888241,10011001.489999998360872
20190506,2469934.779999999795109,2516828.490000000223517,2524456.740000000223517,2579694.180000000167638,10090914.189999999478459
20190507,2445984.520000000018626,2505946.910000000149012,2474272.780000000260770,2553415.480000000447035,9979619.690000001341105
20190508,2438340.820000000298023,2505820.379999999888241,2483166.140000000130385,2565214.080000000074506,9992541.419999999925494
20190509,2415409.719999999739230,2502024.479999999981374,2487930.439999999944121,2552557.400000000372529,9957922.039999999105930
20190510,2455666.540000000037253,2530620.260000000242144,2483483.759999999776483,2580659.520000000018626,10050430.080000000074506
20190513,2448532.419999999925494,2518473.379999999888241,2451086.520000000018626,2569504.480000000447035,9987596.800000000745058
20190514,2481145.540000000037253,2505567.319999999832362,2459027.020000000018626,2536039.360000000335276,9981779.239999998360872
20190515,2506114.959999999962747,2518979.500000000000000,2463156.080000000074506,2532285.260000000242144,10020535.800000000745058
20190516,2526498.160000000149012,2530620.260000000242144,2513340.040000000037253,2539900.720000000204891,10110359.179999999701977
20190517,2507134.120000000111759,2520877.450000000186265,2500317.620000000111759,2589133.060000000055879,10117462.250000000000000
20190520,2489298.820000000298023,2517967.260000000242144,2505399.540000000037253,2638579.920000000391155,10151245.540000000968575
20190521,2476559.320000000298023,2528722.310000000055879,2525091.979999999981374,2680947.620000000111759,10211321.230000000447035
20190522,2530065.219999999739230,2530240.669999999925494,2572099.740000000223517,2674512.020000000018626,10306917.650000000372529
20190523,2540256.820000000298023,2517714.200000000186265,2573370.219999999739230,2644050.180000000167638,10275391.419999999925494
20190524,2528026.899999999906868,2502530.600000000093132,2578134.520000000018626,2656170.560000000055879,10264862.580000000074506
20190528,2502038.320000000298023,2488612.299999999813735,2549231.100000000093132,2596426.740000000223517,10136308.460000000894070
20190529,2477068.899999999906868,2480387.850000000093132,2520645.299999999813735,2600073.580000000074506,10078175.629999998956919
20190530,2509682.020000000018626,2521130.510000000242144,2530809.140000000130385,2611872.180000000167638,10173493.849999999627471
20190531,2503567.060000000055879,2508857.100000000093132,2515881.000000000000000,2593637.980000000447035,10121943.140000000596046
20190603,2546881.359999999869615,2515310.129999999888241,2549231.100000000093132,2537433.740000000223517,10148856.330000000074506
20190604,2547900.520000000018626,2526065.180000000167638,2575275.939999999944121,2582482.939999999944121,10231724.580000000074506
20190605,2587647.760000000242144,2532391.680000000167638,2594650.759999999776483,2604042.200000000186265,10318732.400000000372529
20190606,2619241.719999999739230,2569338.440000000409782,2586710.259999999776483,2593852.500000000000000,10369142.919999999925494
20190607,2623827.939999999944121,2600085.229999999981374,2619107.500000000000000,2646946.200000000186265,10489966.870000001043081
20190610,2618222.560000000055879,2547195.690000000409782,2619742.740000000223517,2661640.819999999832362,10446801.810000000521541
20190611,2615674.660000000149012,2571995.569999999832362,2635623.740000000223517,2637292.800000000279397,10460586.770000001415610
20190612,2631471.640000000130385,2593126.080000000074506,2658810.000000000000000,2622598.180000000167638,10506005.900000000372529
20190613,2605483.060000000055879,2587558.760000000242144,2633082.780000000260770,2627532.140000000130385,10453656.740000000223517
20190614,2614655.500000000000000,2597681.160000000149012,2629271.339999999850988,2631929.800000000279397,10473537.800000000745058
20190617,2592233.979999999981374,2578954.720000000204891,2645787.580000000074506,2638365.400000000372529,10455341.679999999701977
20190618,2580513.640000000130385,2587811.819999999832362,2683584.359999999869615,2635469.379999999888241,10487379.199999999254942
20190619,2604973.479999999981374,2588317.940000000409782,2711217.299999999813735,2683629.120000000111759,10588137.839999999850988
20190620,2632490.799999999813735,2595530.149999999906868,2687078.179999999701977,2657564.939999999944121,10572664.069999998435378
20190621,2626885.419999999925494,2584648.569999999832362,2686125.319999999832362,2706046.459999999962747,10603705.769999999552965
20190624,2645739.879999999888241,2580346.549999999813735,2715981.600000000093132,2677729.819999999832362,10619797.849999999627471
20190625,2637586.600000000093132,2602995.419999999925494,2707405.859999999869615,2656492.340000000316650,10604480.219999998807907
20190626,2604973.479999999981374,2588317.940000000409782,2653410.459999999962747,2611550.400000000372529,10458252.280000001192093
20190627,2602935.160000000149012,2610081.100000000093132,2662621.439999999944121,2642334.020000000018626,10517971.719999998807907
20190628,2594781.879999999888241,2627668.770000000018626,2663256.679999999701977,2617342.439999999944121,10503049.769999999552965
20190701,2629433.320000000298023,2610460.690000000409782,2691842.479999999981374,2602647.819999999832362,10534384.310000000521541
20190702,2648797.359999999869615,2651962.530000000260770,2715981.600000000093132,2616913.400000000372529,10633654.890000000596046
20190703,2654912.320000000298023,2692831.720000000204891,2760130.780000000260770,2630213.640000000130385,10738088.460000000894070
20190705,2655421.899999999906868,2672966.510000000242144,2718840.179999999701977,2649305.920000000391155,10696534.509999999776483
20190708,2649816.520000000018626,2684607.270000000018626,2669291.459999999962747,2658423.020000000018626,10662138.269999999552965
20190709,2628923.740000000223517,2683721.560000000055879,2695336.299999999813735,2638687.180000000167638,10646668.780000001192093
20190710,2640644.080000000074506,2695235.790000000037253,2694065.819999999832362,2654561.660000000149012,10684507.349999999627471
20190711,2651854.839999999850988,2691313.359999999869615,2572734.979999999981374,2801293.340000000316650,10717196.519999999552965
20190712,2655931.479999999981374,2695109.260000000242144,2532397.240000000223517,2852134.580000000074506,10735572.560000000521541
20190715,2656441.060000000055879,2710545.919999999925494,2571464.500000000000000,2852778.140000000130385,10791229.620000001043081
20190716,2656950.640000000130385,2704345.950000000186265,2591474.560000000055879,2838834.340000000316650,10791605.490000000223517
