代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10692446.989999998360872
真實報酬,692446.989999998360872

夏普值報酬,0.060544699000000
夏普值風險,0.043645129674021
夏普值,1.387204012273508

預期報酬,12507.057072525827607
風險,349766.210974274436012
趨勢值,0.035758334224702
找到最佳解世代,1778
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CSCO[4](2),INTC[11](1),
Stock#,CSCO[4](2),INTC[11](1),
張數,120365,103863,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,37.900000000372529,35.179999999701977,
20180201,5019258.400000000372529,4949107.129999999888241,9968365.530000001192093
20180202,4926577.350000000558794,4793312.629999999888241,9719889.980000000447035
20180205,4667792.600000000558794,4624015.940000000409782,9291808.540000000968575
20180206,4835099.950000000186265,4664522.509999999776483,9499622.460000000894070
20180207,4855562.000000000931323,4694642.780000000260770,9550204.780000001192093
20180208,4666588.950000001117587,4440178.429999999701977,9106767.380000000819564
20180209,4758066.350000000558794,4564814.030000000260770,9322880.380000000819564
20180212,4886856.900000000372529,4656213.469999999739230,9543070.370000001043081
20180213,4962686.849999999627471,4617784.160000000149012,9580471.009999999776483
20180214,5066200.750000000931323,4713338.120000000111759,9779538.870000001043081
20180215,5305727.100000000558794,4769424.139999999664724,10075151.240000000223517
20180216,5335818.350000000558794,4732033.459999999962747,10067851.810000000521541
20180220,5303319.800000000745058,4810969.339999999850988,10114289.140000000596046
20180221,5213046.050000000745058,4771501.399999999441206,9984547.449999999254942
20180222,5168511.000000000000000,4756960.579999999143183,9925471.579999998211861
20180223,5296097.900000000372529,4957416.169999998994172,10253514.070000000298023
20180226,5459794.300000000745058,5100747.109999999403954,10560541.410000000149012
20180227,5421277.500000000000000,5183837.509999999776483,10605115.009999999776483
20180228,5389982.600000000558794,5119442.449999999254942,10509425.050000000745058
20180301,5272024.900000000372529,4968841.099999999627471,10240866.000000000000000
20180302,5303319.800000000745058,5087244.919999998994172,10390564.719999998807907
20180305,5358687.700000001117587,5167219.429999999701977,10525907.130000000819564
20180306,5331003.750000000000000,5266927.910000000149012,10597931.660000000149012
20180307,5320170.900000000372529,5330284.339999999850988,10650455.240000000223517
20180308,5337022.000000000931323,5270043.799999999813735,10607065.800000000745058
20180309,5460997.950000000186265,5420645.149999999441206,10881643.099999999627471
20180312,5482663.650000000372529,5351056.940000000409782,10833720.589999999850988
20180313,5435721.299999999813735,5378061.319999999366701,10813782.619999999180436
20180314,5450165.100000000558794,5386370.359999999403954,10836535.460000000894070
20180315,5456183.350000000558794,5284584.620000000111759,10740767.970000000670552
20180316,5417666.549999999813735,5314704.889999999664724,10732371.439999999478459
20180319,5328596.450000001117587,5279391.469999999739230,10607987.920000001788139
20180320,5340632.950000000186265,5354172.829999999143183,10694805.779999999329448
20180321,5333411.050000000745058,5355211.459999999962747,10688622.510000001639128
20180322,5184158.450000000186265,5279391.469999999739230,10463549.919999999925494
20180323,5105921.200000000186265,5126712.859999999403954,10232634.059999998658895
20180326,5303319.800000000745058,5450765.419999998994172,10754085.219999998807907
20180327,5137216.100000000558794,5316782.149999999441206,10453998.250000000000000
20180328,5014443.799999999813735,5151639.979999999515712,10166083.779999999329448
20180329,5162492.750000000000000,5409220.219999999739230,10571712.969999998807907
20180402,4936206.549999999813735,5081013.139999999664724,10017219.689999999478459
20180403,4980741.600000000558794,5167219.429999999701977,10147961.030000001192093
20180404,4959075.900000000372529,5192146.549999999813735,10151222.449999999254942
20180405,5033702.200000000186265,5232653.120000000111759,10266355.320000000298023
20180406,4902504.349999999627471,5067510.949999999254942,9970015.299999998882413
20180409,4955464.950000000186265,5146446.829999999143183,10101911.779999999329448
20180410,5116754.049999999813735,5325091.190000000409782,10441845.240000000223517
20180411,5107124.850000000558794,5307434.479999999515712,10414559.330000000074506
20180412,5216657.000000000931323,5475692.540000000037253,10692349.540000000968575
20180413,5175732.900000000372529,5386370.359999999403954,10562103.259999999776483
20180416,5211842.400000000372529,5442456.379999999888241,10654298.780000001192093
20180417,5367113.250000000931323,5560860.199999999254942,10927973.449999999254942
20180418,5371927.850000000558794,5568130.609999999403954,10940058.460000000894070
20180419,5363502.300000000745058,5423761.040000000037253,10787263.339999999850988
20180420,5306930.750000000931323,5352095.569999999366701,10659026.320000000298023
20180423,5326189.150000000372529,5307434.479999999515712,10633623.629999998956919
20180424,5264803.000000000931323,5343786.530000000260770,10608589.530000001192093
20180425,5261192.050000000745058,5336516.120000000111759,10597708.170000001788139
20180426,5321374.550000000745058,5509967.329999999143183,10831341.879999998956919
20180427,5381557.050000000745058,5476731.169999998994172,10858288.219999998807907
20180430,5331003.750000000000000,5361443.239999999292195,10692446.989999998360872
