代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11246124.519999999552965
真實報酬,1246124.519999999552965

夏普值報酬,0.115912452000000
夏普值風險,0.032267748694277
夏普值,3.592207597072203

預期報酬,17096.416766134621867
風險,108076.279640168970218
趨勢值,0.158188427868314
找到最佳解世代,2251
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MCD[15](4),MRK[17](1),PFE[20](2),WBA[27](3),
Stock#,MCD[15](4),MRK[17](1),PFE[20](2),WBA[27](3),
張數,15868,37953,62609,36971,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,155.280000000260770,35.889999999664724,22.629999999888241,20.979999999981374,
20180801,2490161.839999999850988,2485577.859999999403954,2521287.060000000055879,2456374.219999999739230,9953400.980000000447035
20180802,2466201.160000000149012,2475330.549999999813735,2482469.479999999981374,2476338.560000000055879,9900339.750000000000000
20180803,2478895.560000000521541,2502277.179999999701977,2538191.489999999757856,2485211.600000000093132,10004575.830000000074506
20180806,2486988.240000000223517,2513283.549999999813735,2569495.989999999757856,2492605.799999999813735,10062373.579999998211861
20180807,2476198.000000000000000,2526946.629999999422580,2556974.189999999944121,2478926.529999999795109,10039045.349999997764826
20180808,2521897.839999999850988,2531121.459999999497086,2592661.319999999832362,2458222.770000000018626,10103903.389999998733401
20180809,2527927.680000000633299,2504933.889999999664724,2566991.629999999888241,2446392.049999999813735,10046245.250000000000000
20180810,2518089.520000000484288,2507590.599999999627471,2562609.000000000000000,2458222.770000000018626,10046511.890000000596046
20180813,2509520.799999999813735,2532260.049999999813735,2555095.919999999925494,2457853.060000000055879,10054729.830000000074506
20180814,2548556.080000000074506,2522392.269999999552965,2548835.020000000018626,2538449.839999999850988,10158233.209999999031425
20180815,2537131.120000000111759,2556929.500000000000000,2577009.069999999832362,2541037.810000000055879,10212107.500000000000000
20180816,2566486.919999999925494,2613099.939999999478459,2593287.410000000149012,2573942.000000000000000,10346816.269999999552965
20180817,2557283.480000000447035,2621070.069999999832362,2635235.439999999944121,2587621.270000000018626,10401210.259999999776483
20180820,2565693.520000000484288,2663197.899999999906868,2650261.599999999627471,2587621.270000000018626,10466774.289999999105930
20180821,2555538.000000000000000,2625244.899999999906868,2639618.069999999832362,2597233.729999999981374,10417634.700000001117587
20180822,2547762.680000000633299,2620311.009999999776483,2633983.259999999776483,2574681.419999999925494,10376738.370000001043081
20180823,2523960.680000000633299,2617654.299999999813735,2642122.430000000167638,2561371.859999999869615,10345109.269999999552965
20180824,2529197.120000000111759,2620311.009999999776483,2654644.229999999981374,2558783.889999999664724,10362936.250000000000000
20180827,2546651.919999999925494,2618413.359999999403954,2603304.849999999627471,2567287.219999999739230,10335657.349999997764826
20180828,2565058.799999999813735,2604750.279999999329448,2598296.129999999888241,2561371.859999999869615,10329477.069999998435378
20180829,2588384.760000000707805,2611581.819999999832362,2598296.129999999888241,2538449.839999999850988,10336712.550000000745058
20180830,2583465.680000000633299,2601334.509999999776483,2598296.129999999888241,2506654.779999999795109,10289751.099999999627471
20180831,2574420.919999999925494,2603232.159999999683350,2599548.310000000055879,2534752.740000000223517,10311954.130000000819564
20180904,2566328.240000000223517,2578942.239999999757856,2590156.959999999497086,2500000.000000000000000,10235427.439999999478459
20180905,2590447.600000000558794,2604370.750000000000000,2620209.279999999795109,2522922.020000000018626,10337949.650000000372529
20180906,2598381.600000000558794,2633215.029999999329448,2615826.649999999906868,2515158.109999999869615,10362581.389999998733401
20180907,2600920.480000000447035,2644221.399999999906868,2642122.430000000167638,2521073.469999999739230,10408337.780000001192093
20180910,2619486.040000000037253,2640046.569999999832362,2633357.169999999925494,2543625.779999999795109,10436515.559999998658895
20180911,2612345.440000000409782,2621829.129999999422580,2649009.419999999925494,2541407.520000000018626,10424591.509999999776483
20180912,2614249.600000000558794,2651432.469999999739230,2655270.319999999832362,2602039.959999999962747,10522992.350000001490116
20180913,2577118.480000000447035,2688246.879999999422580,2682818.279999999795109,2605737.060000000055879,10553920.699999999254942
20180914,2552364.400000000372529,2655986.829999999608845,2689705.270000000018626,2598342.859999999869615,10496399.359999999403954
20180917,2509520.799999999813735,2672686.149999999906868,2692835.719999999739230,2604627.930000000167638,10479670.599999999627471
20180918,2503649.640000000596046,2672686.149999999906868,2724140.219999999739230,2620525.459999999962747,10521001.470000000670552
20180919,2526023.520000000484288,2655986.829999999608845,2708487.969999999739230,2635313.859999999869615,10525812.179999999701977
20180920,2551571.000000000000000,2686349.229999999515712,2739166.379999999888241,2694837.169999999925494,10671923.779999999329448
20180921,2623135.680000000633299,2698494.189999999478459,2758575.169999999925494,2698903.979999999981374,10779109.019999999552965
20180924,2591558.360000000335276,2686349.229999999515712,2750436.000000000000000,2669327.180000000167638,10697670.769999999552965
20180925,2640749.160000000149012,2681415.339999999850988,2741670.739999999757856,2669696.889999999664724,10733532.129999998956919
20180926,2630434.959999999962747,2669270.379999999422580,2734783.750000000000000,2697425.139999999664724,10731914.230000000447035
20180927,2642653.320000000298023,2684072.049999999813735,2748557.729999999981374,2728850.490000000223517,10804133.589999999850988
20180928,2654713.000000000000000,2692421.709999999497086,2759201.259999999776483,2695206.880000000353903,10801542.849999999627471
20181001,2644874.839999999850988,2714813.979999999515712,2771723.060000000055879,2678939.639999999664724,10810351.519999999552965
20181002,2621231.520000000484288,2723163.639999999664724,2768592.609999999869615,2717019.770000000018626,10830007.539999999105930
20181003,2612980.160000000149012,2708741.500000000000000,2805531.919999999925494,2728480.779999999795109,10855734.359999999403954
20181004,2631069.680000000633299,2703048.549999999813735,2798644.930000000167638,2711474.120000000111759,10844237.280000001192093
20181005,2643288.040000000037253,2695837.479999999515712,2811792.819999999832362,2680788.189999999944121,10831706.529999999329448
