代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10485581.929999999701977
真實報酬,485581.929999999701977

夏普值報酬,0.039858193000000
夏普值風險,0.014131311819194
夏普值,2.820558594274462

預期報酬,21918.646889157338592
風險,37838.876125774375396
趨勢值,0.579262629690717
找到最佳解世代,2286
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](1),INTC[11](7),KO[14](3),MCD[15](4),TRV[22](5),WMT[28](2),
Stock#,CAT[3](1),INTC[11](7),KO[14](3),MCD[15](4),TRV[22](5),WMT[28](2),
張數,16772,64574,43110,17001,19584,21806,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,32.359999999869615,11.060000000055879,33.400000000139698,57.969999999972060,67.600000000093132,33.419999999925494,
20140401,1674045.679999999934807,1678289.320000000065193,1655888.500000000000000,1664455.870000000111759,1652761.360000000102445,1674080.039999999804422,9999524.769999999552965
20140402,1721342.719999999739230,1671831.920000000158325,1652439.699999999953434,1659185.560000000055879,1657853.200000000186265,1683020.500000000000000,10045677.600000001490116
20140403,1720000.959999999729916,1705410.400000000139698,1641231.100000000093132,1660375.629999999888241,1664315.920000000158325,1689126.179999999701977,10080464.189999999478459
20140404,1713627.599999999860302,1689266.900000000139698,1647697.600000000093132,1663945.840000000083819,1668624.400000000139698,1685855.280000000027940,10069021.619999999180436
20140407,1695849.279999999795109,1710576.320000000065193,1664941.600000000093132,1649324.979999999981374,1664707.600000000093132,1685855.280000000027940,10071259.059999998658895
20140408,1717317.439999999944121,1737697.400000000139698,1677012.400000000139698,1667516.050000000046566,1659419.920000000158325,1704826.500000000000000,10163793.710000000894070
20140409,1727380.639999999897555,1742217.580000000074506,1680892.300000000279397,1672106.319999999832362,1680766.479999999981374,1700247.239999999990687,10203614.560000000521541
20140410,1715137.079999999841675,1706701.880000000121072,1676581.300000000279397,1690467.400000000139698,1664511.760000000009313,1676696.760000000009313,10130100.179999999701977
20140411,1701551.760000000009313,1690558.380000000121072,1665372.700000000186265,1688087.260000000009313,1670582.800000000046566,1668192.419999999925494,10084349.320000000298023
20140414,1723858.519999999785796,1715096.500000000000000,1669683.699999999953434,1702028.080000000074506,1674499.600000000093132,1687381.699999999720603,10172552.099999999627471
20140415,1719162.359999999869615,1728657.040000000037253,1732193.200000000186265,1714268.800000000046566,1682137.360000000102445,1676478.699999999720603,10252901.459999999031425
20140416,1726374.320000000065193,1738988.880000000121072,1749868.300000000279397,1714268.800000000046566,1699567.120000000111759,1683892.739999999990687,10312964.160000000149012
20140417,1724697.119999999878928,1746092.020000000018626,1755472.600000000093132,1704408.219999999972060,1697608.720000000204891,1693487.379999999888241,10321770.059999998658895
20140421,1721510.439999999944121,1740280.360000000102445,1756765.900000000139698,1694547.639999999897555,1692125.200000000186265,1692179.019999999785796,10297412.559999998658895
20140422,1739121.039999999804422,1733177.219999999972060,1755041.500000000232831,1688597.289999999804422,1701721.360000000102445,1691306.780000000027940,10308969.189999999478459
20140423,1733921.719999999739230,1727365.560000000055879,1755903.699999999953434,1685367.099999999860302,1726005.520000000018626,1701773.660000000149012,10330341.259999999776483
20140424,1765788.519999999785796,1727365.560000000055879,1754610.400000000372529,1697437.810000000055879,1735014.160000000149012,1707661.280000000027940,10387881.730000000447035
20140425,1755893.039999999804422,1695724.300000000046566,1767974.500000000000000,1712568.699999999953434,1729530.640000000130385,1714421.140000000130385,10376116.320000000298023
20140428,1748681.079999999841675,1700244.479999999981374,1768836.700000000186265,1705428.280000000027940,1755577.360000000102445,1739279.979999999981374,10418051.880000000819564
20140429,1766123.959999999729916,1709930.580000000074506,1749006.100000000093132,1725659.469999999972060,1780253.200000000186265,1737317.439999999944121,10468294.750000000000000
20140430,1767801.159999999916181,1723491.120000000111759,1758490.300000000046566,1723619.349999999860302,1773986.320000000065193,1738189.679999999701977,10485581.929999999701977
