代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10354768.490000000223517
真實報酬,354768.490000000223517

夏普值報酬,0.026776849000000
夏普值風險,0.009807990871035
夏普值,2.730105416296574

預期報酬,16254.643657505237570
風險,57931.657497816195246
趨勢值,0.280583093244276
找到最佳解世代,2190
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PFE[20](1),TRV[22](2),XOM[29](4),
Stock#,PFE[20](1),TRV[22](2),XOM[29](4),
張數,101905,30330,37707,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,20.449999999720603,66.000000000000000,34.199999999720603,
20160502,3342504.449999999254942,3363966.299999999813735,3360859.109999999403954,10067330.859999999403954
20160503,3434218.950000000186265,3346374.899999999906868,3322397.969999999739230,10102992.820000000298023
20160504,3403647.449999999720603,3328176.899999999906868,3315987.779999999795109,10047813.129999998956919
20160505,3420971.299999999813735,3359113.500000000000000,3319758.479999999981374,10099844.279999999329448
20160506,3421990.349999999627471,3350014.500000000000000,3337480.770000000018626,10109486.619999999180436
20160509,3446447.549999999813735,3360933.300000000279397,3339743.189999999478459,10147125.039999999105930
20160510,3444409.449999999254942,3405215.100000000093132,3393287.129999999422580,10242912.679999997839332
20160511,3379190.249999999534339,3396116.100000000093132,3348792.869999999646097,10124100.219999998807907
20160512,3382247.399999999441206,3416437.200000000186265,3381220.889999999664724,10179906.489999998360872
20160513,3382247.399999999441206,3417347.100000000093132,3343136.819999999366701,10142732.320000000298023
20160516,3401609.350000000093132,3404305.199999999720603,3377450.189999999478459,10183365.739999998360872
20160517,3365942.599999999627471,3349104.600000000093132,3375941.909999999683350,10090990.109999999403954
20160518,3380209.299999999813735,3375795.000000000000000,3369154.649999999441206,10125159.949999999254942
20160519,3401609.350000000093132,3339399.000000000000000,3397811.969999999739230,10138821.320000000298023
20160520,3438295.149999999906868,3393689.700000000186265,3383860.379999999422580,10215846.229999998584390
20160523,3431161.799999999813735,3378524.700000000186265,3378581.399999999441206,10188268.899999998509884
20160524,3474980.949999999720603,3440701.199999999720603,3381220.889999999664724,10296904.039999999105930
20160525,3500457.199999999720603,3443734.200000000186265,3403468.020000000018626,10347660.419999999925494
20160526,3508609.599999999627471,3445554.000000000000000,3386122.799999999813735,10340287.399999998509884
20160527,3526952.499999999534339,3463145.400000000372529,3394041.270000000018626,10384140.169999999925494
20160531,3536123.950000000186265,3461932.200000000186265,3356711.339999999385327,10354768.490000000223517
