代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10903007.310000000521541
真實報酬,903007.310000000521541

夏普值報酬,0.081600731000000
夏普值風險,0.026477850114283
夏普值,3.081848815058530

預期報酬,54717.139989547024015
風險,83583.490437811662559
趨勢值,0.654640524138652
找到最佳解世代,3447
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](30),BA[2](2),NKE[19](1),V[25](4),
Stock#,AAPL[0](30),BA[2](2),NKE[19](1),V[25](4),
張數,35919,24056,79592,57326,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,37.600000000093132,100.479999999981374,15.279999999795109,13.140000000130385,
20130903,2507183.799999999813735,2526221.040000000037253,2558898.079999999608845,2537261.899999999906868,10129564.820000000298023
20130904,2558907.159999999683350,2558937.200000000186265,2592326.719999999739230,2525223.439999999944121,10235394.519999999552965
20130905,2541306.850000000093132,2565672.879999999888241,2601877.759999999776483,2525223.439999999944121,10234080.929999999701977
20130906,2556392.830000000074506,2551720.399999999906868,2585959.359999999869615,2532102.560000000055879,10226175.150000000372529
20130909,2597340.490000000223517,2578663.120000000111759,2602673.680000000167638,2559045.780000000260770,10337723.070000000298023
20130910,2538074.140000000130385,2602238.000000000000000,2659183.999999999534339,2645608.040000000037253,10445104.179999999701977
20130911,2400145.179999999701977,2627737.359999999869615,2690224.879999999422580,2670258.220000000204891,10388365.639999998733401
20130912,2425647.669999999925494,2641449.279999999795109,2709326.959999999497086,2652487.160000000149012,10428911.069999998435378
20130913,2385418.390000000130385,2678254.959999999962747,2702959.600000000093132,2708666.640000000130385,10475299.589999999850988
20130916,2309629.299999999813735,2782658.000000000000000,2714102.479999999981374,2714399.240000000223517,10520789.019999999552965
20130917,2336568.549999999813735,2817298.640000000130385,2718877.999999999534339,2745928.540000000037253,10618673.730000000447035
20130918,2384340.819999999832362,2848330.879999999888241,2765041.359999999869615,2775164.799999999813735,10772877.859999999403954
20130919,2423492.530000000260770,2863726.720000000204891,2765837.279999999795109,2790642.820000000298023,10843699.349999999627471
20130920,2398349.229999999981374,2805751.759999999776483,2761061.759999999776483,2849688.600000000093132,10814851.349999999627471
20130923,2517600.310000000055879,2826921.040000000037253,2745143.359999999869615,2812426.700000000186265,10902091.410000000149012
20130924,2509698.130000000353903,2862764.479999999981374,2763449.519999999552965,2771151.980000000447035,10907064.109999999403954
20130925,2470905.610000000335276,2850977.040000000037253,2742755.600000000093132,2745355.280000000260770,10809993.530000001192093
20130926,2494971.339999999850988,2871905.759999999776483,2799265.919999999925494,2774018.280000000260770,10940161.300000000745058
20130927,2477011.839999999850988,2856509.919999999925494,2930592.719999999739230,2766565.899999999906868,11030680.379999998956919
20130930,2446480.689999999944121,2826680.479999999981374,2890796.719999999739230,2739049.420000000391155,10903007.310000000521541
