代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10304046.860000001266599
真實報酬,304046.860000001266599

夏普值報酬,0.021704686000000
夏普值風險,0.009424986388311
夏普值,2.302887782089365

預期報酬,15660.514331983820739
風險,26445.135980103175825
趨勢值,0.592188837439388
找到最佳解世代,1975
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](3),UNH[23](2),WMT[28](1),XOM[29](19),
Stock#,KO[14](3),UNH[23](2),WMT[28](1),XOM[29](19),
張數,58906,15242,34683,30484,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,29.360000000335276,159.580000000074506,49.359999999869615,7.159999999683350,
20170403,2498232.820000000298023,2524082.360000000335276,2491329.250000000000000,2501829.039999999571592,10015473.470000000670552
20170404,2514137.440000000409782,2514632.319999999832362,2497572.189999999944121,2510974.239999999757856,10037316.189999999478459
20170405,2507657.780000000260770,2520729.120000000111759,2485086.310000000055879,2515851.679999999701977,10029324.890000000596046
20170406,2513548.380000000353903,2520271.860000000335276,2477456.050000000279397,2530484.000000000000000,10041760.290000000968575
20170407,2510014.020000000484288,2530636.420000000391155,2528440.060000000055879,2522863.000000000000000,10091953.500000001862645
20170410,2514726.500000000000000,2522405.739999999757856,2533989.339999999850988,2534142.079999999608845,10105263.660000000149012
20170411,2512959.320000000298023,2527740.440000000409782,2546822.050000000279397,2525301.719999999739230,10112823.530000001192093
20170412,2529453.000000000000000,2523625.100000000093132,2547168.879999999888241,2529264.639999999664724,10129511.619999999180436
20170413,2520617.100000000093132,2514479.900000000372529,2537110.810000000055879,2490245.119999999646097,10062452.929999999701977
20170417,2537110.780000000260770,2548317.140000000130385,2548903.029999999795109,2486891.879999999422580,10121222.829999998211861
20170418,2561262.240000000223517,2569808.360000000335276,2562776.229999999981374,2470735.359999999403954,10164582.189999999478459
20170419,2546535.740000000223517,2579868.080000000074506,2569019.169999999459833,2453664.319999999366701,10149087.309999998658895
20170420,2538288.900000000372529,2614772.259999999776483,2594337.759999999776483,2469516.000000000000000,10216914.919999999925494
20170421,2537110.780000000260770,2608980.299999999813735,2599193.379999999888241,2459761.119999999646097,10205045.580000000074506
20170424,2549481.040000000502914,2626813.440000000409782,2593644.100000000093132,2472564.399999999441206,10242502.980000000447035
20170425,2539467.020000000484288,2652877.259999999776483,2603008.509999999776483,2491464.479999999981374,10286817.269999999552965
20170426,2547124.800000000279397,2658059.540000000037253,2616188.050000000279397,2481404.759999999776483,10302777.150000000372529
20170427,2533576.420000000391155,2661870.040000000037253,2616534.879999999888241,2477137.000000000000000,10289118.339999999850988
20170428,2541823.260000000242144,2665680.540000000037253,2607517.300000000279397,2489025.759999999776483,10304046.860000001266599
