代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10738452.750000000000000
真實報酬,738452.750000000000000

夏普值報酬,0.065145275000000
夏普值風險,0.025330370761258
夏普值,2.571824771694142

預期報酬,39574.831583662722551
風險,51232.641834271133121
趨勢值,0.772453462612382
找到最佳解世代,2606
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AXP[1](1),BA[2](2),HD[9](3),INTC[11](20),JPM[13](7),MMM[16](5),
Stock#,AXP[1](1),BA[2](2),HD[9](3),INTC[11](20),JPM[13](7),MMM[16](5),
張數,24362,18232,22722,69589,34006,15916,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,61.580000000074506,78.880000000121072,7.300000000046566,9.449999999953434,31.940000000176951,101.640000000130385,
20130501,1663498.940000000176951,1662472.640000000130385,1653260.020000000251457,1669449.559999999823049,1632660.000000000000000,1664119.440000000176951,9945464.599999999627471
20130502,1690297.139999999897555,1681251.600000000093132,1666211.560000000055879,1677800.239999999990687,1635040.420000000158325,1687834.280000000260770,10038439.240000002086163
20130503,1711004.840000000083819,1709146.560000000055879,1680526.419999999925494,1667361.889999999897555,1617697.360000000102445,1716323.920000000158325,10102064.990000000223517
20130506,1706863.300000000046566,1717350.960000000195578,1710065.020000000251457,1663882.439999999944121,1638441.020000000251457,1716483.080000000074506,10153089.820000000298023
20130507,1711248.459999999962747,1728290.160000000149012,1705747.839999999850988,1680583.799999999813735,1671086.780000000260770,1719188.800000000279397,10216149.839999999850988
20130508,1712953.800000000046566,1714616.160000000149012,1713700.540000000037253,1687542.699999999953434,1692170.500000000000000,1722212.840000000083819,10243200.539999999105930
20130509,1710517.599999999860302,1725008.400000000139698,1723925.440000000176951,1695197.489999999990687,1667686.180000000167638,1749588.360000000102445,10271927.470000000670552
20130510,1707350.540000000037253,1718262.560000000055879,1727106.520000000251457,1704939.949999999953434,1664965.700000000186265,1758501.320000000298023,10281130.589999999850988
20130513,1700285.560000000288710,1727743.200000000186265,1742103.040000000037253,1675712.569999999832362,1689109.960000000195578,1758819.640000000130385,10293777.970000002533197
20130514,1742188.200000000186265,1752356.400000000139698,1756872.339999999850988,1659011.209999999962747,1708153.320000000065193,1760252.080000000074506,10378837.550000000745058
20130515,1773127.940000000176951,1768947.520000000018626,1769596.659999999916181,1684063.250000000000000,1737398.480000000214204,1774735.640000000130385,10507873.490000000223517
20130516,1759728.840000000083819,1760925.440000000176951,1743920.800000000046566,1665970.110000000102445,1733317.760000000242144,1767891.760000000009313,10431758.710000000894070
20130517,1786283.419999999925494,1803588.320000000065193,1746420.219999999972060,1672929.010000000009313,1778545.739999999990687,1772984.880000000121072,10560755.589999999850988
20130520,1812594.380000000121072,1799941.920000000158325,1744148.020000000251457,1675712.569999999832362,1778205.680000000167638,1778237.160000000149012,10588843.730000000447035
20130521,1829891.400000000139698,1800488.880000000121072,1788455.919999999925494,1680583.799999999813735,1803030.060000000288710,1782852.800000000279397,10685306.860000001266599
20130522,1813568.860000000102445,1785538.640000000130385,1810723.479999999981374,1675016.679999999934807,1823773.720000000204891,1763435.280000000260770,10672060.660000000149012
20130523,1819659.360000000102445,1818720.880000000121072,1793000.320000000065193,1673624.899999999906868,1814252.040000000270084,1757387.200000000186265,10676648.700000002980232
20130524,1833789.320000000065193,1823278.880000000121072,1794818.079999999841675,1664578.330000000074506,1824793.900000000139698,1755158.959999999962747,10696421.469999998807907
20130528,1855471.500000000000000,1825284.400000000139698,1813677.339999999850988,1675712.569999999832362,1856759.540000000270084,1776168.080000000074506,10803077.430000001564622
20130529,1847432.040000000037253,1806687.760000000242144,1806179.079999999841675,1688934.479999999981374,1859139.960000000195578,1768846.719999999972060,10777224.040000000968575
20130530,1854984.260000000009313,1833124.160000000149012,1805042.979999999981374,1684759.139999999897555,1891445.660000000149012,1773462.360000000102445,10842822.559999998658895
20130531,1844508.599999999860302,1805411.520000000018626,1787319.820000000065193,1689630.370000000111759,1856419.480000000214204,1755158.959999999962747,10738452.750000000000000
