代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10745456.349999999627471
真實報酬,745456.349999999627471

夏普值報酬,0.065845635000000
夏普值風險,0.020905477025572
夏普值,3.149683449913927

預期報酬,35132.477828450610104
風險,115747.769795894884737
趨勢值,0.303526174978592
找到最佳解世代,1912
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AXP[1](2),VZ[26](1),
Stock#,AXP[1](2),VZ[26](1),
張數,48671,87581,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,28.169999999925494,0.709999999962747,
20181101,5063759.009999999776483,4908915.759999999776483,9972674.769999999552965
20181102,5047697.580000000074506,4959712.740000000223517,10007410.320000000298023
20181105,5120704.080000000074506,5010509.719999999739230,10131213.800000000745058
20181106,5109509.750000000000000,5010509.719999999739230,10120019.469999998807907
20181107,5222913.179999999701977,5049045.359999999403954,10271958.539999999105930
20181108,5280831.669999999925494,5103345.580000000074506,10384177.250000000000000
20181109,5270124.049999999813735,5119985.969999999739230,10390110.019999999552965
20181112,5183002.959999999962747,5142757.030000000260770,10325759.990000000223517
20181113,5249682.229999999515712,5137502.169999999925494,10387184.399999998509884
20181114,5245301.839999999850988,5162024.849999999627471,10407326.689999999478459
20181115,5334369.769999999552965,5174286.189999999478459,10508655.959999999031425
20181116,5327555.830000000074506,5273252.719999999739230,10600808.550000000745058
20181119,5268663.919999999925494,5309160.929999999701977,10577824.849999999627471
20181120,5163534.560000000521541,5207566.969999999739230,10371101.530000001192093
20181121,5183489.669999999925494,5181292.669999999925494,10364782.339999999850988
20181123,5146499.709999999962747,5135750.549999999813735,10282250.259999999776483
20181126,5338263.450000000186265,5182168.480000000447035,10520431.929999999701977
20181127,5359191.979999999515712,5311788.359999999403954,10670980.339999999850988
20181128,5494497.360000000335276,5260115.570000000298023,10754612.929999999701977
20181129,5417597.179999999701977,5206691.160000000149012,10624288.339999999850988
20181130,5464321.339999999850988,5281135.009999999776483,10745456.349999999627471
