代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10551116.609999999403954
真實報酬,551116.609999999403954

夏普值報酬,0.046411661000000
夏普值風險,0.015292934165785
夏普值,3.034843444486765

預期報酬,25017.321966173378314
風險,24734.021039722993009
趨勢值,1.011453896881360
找到最佳解世代,2011
找到最佳解實驗#,1
找到最佳解次數,28

stock[index](rank)
投資組合檔數,6
CSCO[4](7),DIS[6](5),KO[14](18),MCD[15](11),NKE[19](1),PG[21](2),
Stock#,CSCO[4](7),DIS[6](5),KO[14](18),MCD[15](11),NKE[19](1),PG[21](2),
張數,48804,17039,36247,9985,30308,19303,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,9.400000000139698,81.409999999916181,28.940000000176951,69.650000000139698,29.079999999841675,44.979999999981374,
20171101,1689603.880000000121072,1687453.579999999841675,1660141.540000000037253,1661274.100000000093132,1669090.639999999897555,1677282.649999999906868,10044850.389999998733401
20171102,1669594.240000000223517,1675867.059999999823049,1663041.300000000279397,1678548.150000000139698,1670606.039999999804422,1669947.510000000009313,10027608.300000000745058
20171103,1682283.280000000027940,1680808.369999999878928,1666303.530000000027940,1684039.900000000139698,1688487.759999999776483,1671298.719999999972060,10073225.560000000521541
20171106,1679355.040000000037253,1714886.369999999878928,1648180.030000000027940,1698218.600000000093132,1698489.399999999906868,1661068.129999999888241,10100201.570000000298023
20171107,1678867.000000000000000,1731414.199999999953434,1665216.120000000111759,1705208.100000000325963,1671515.279999999795109,1679019.920000000158325,10131244.620000001043081
20171108,1683747.400000000139698,1724087.429999999934807,1673915.400000000139698,1698518.150000000139698,1690003.159999999683350,1690601.719999999972060,10160877.260000001639128
20171109,1661785.600000000093132,1749645.929999999934807,1675727.750000000000000,1667564.650000000139698,1701217.119999999878928,1694462.320000000065193,10150407.370000001043081
20171110,1658857.360000000335276,1785427.829999999841675,1686964.320000000065193,1653485.800000000279397,1700004.800000000046566,1701797.459999999962747,10186541.570000000298023
20171113,1656905.200000000186265,1784746.269999999785796,1693488.780000000027940,1671259.100000000093132,1694549.359999999636784,1718011.979999999981374,10218964.689999999478459
20171114,1661297.560000000055879,1757995.040000000037253,1719224.150000000139698,1678648.000000000232831,1696670.919999999692664,1715502.590000000083819,10229342.259999999776483
20171115,1664713.840000000083819,1766855.319999999832362,1696751.010000000242144,1670759.850000000093132,1716371.119999999878928,1703148.670000000158325,10218603.809999998658895
20171116,1751096.920000000158325,1765321.809999999823049,1687326.790000000037253,1678448.300000000279397,1734555.919999999692664,1722837.729999999981374,10339591.470000000670552
20171117,1752073.000000000000000,1762595.569999999832362,1656879.310000000288710,1664768.850000000093132,1793959.599999999860302,1707009.270000000018626,10337289.599999999627471
20171120,1781355.400000000139698,1750838.659999999916181,1647817.560000000288710,1666865.700000000186265,1795778.079999999841675,1703920.789999999804422,10346580.189999999478459
20171121,1788676.000000000000000,1755098.409999999916181,1659416.600000000325963,1680545.150000000139698,1800021.199999999953434,1712607.139999999897555,10396368.500000001862645
20171122,1778915.200000000186265,1750668.269999999785796,1661591.420000000391155,1688033.900000000139698,1790322.639999999897555,1705078.969999999972060,10374614.400000002235174
20171124,1780867.360000000335276,1748964.369999999878928,1663041.300000000279397,1688633.000000000232831,1797899.639999999897555,1707395.330000000074506,10386805.000000001862645
20171127,1799412.880000000121072,1751520.219999999972060,1663766.240000000223517,1687135.250000000232831,1807295.119999999878928,1717239.859999999869615,10426373.569999998435378
20171128,1841384.320000000065193,1762084.399999999906868,1661228.950000000186265,1710899.550000000279397,1805779.719999999739230,1725733.180000000167638,10507114.120000001043081
20171129,1829183.320000000065193,1793265.769999999785796,1649267.440000000176951,1701813.200000000186265,1829419.959999999729916,1725347.119999999878928,10528300.809999998658895
20171130,1820398.600000000093132,1786109.389999999897555,1659054.130000000353903,1717190.100000000093132,1831238.439999999944121,1737121.949999999953434,10551116.609999999403954
