代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10588645.350000001490116
真實報酬,588645.350000001490116

夏普值報酬,0.050164535000000
夏普值風險,0.016728809882769
夏普值,2.998691201080109

預期報酬,29140.754485049859795
風險,19383.088009306095046
趨勢值,1.503411348648831
找到最佳解世代,2119
找到最佳解實驗#,4
找到最佳解次數,3

stock[index](rank)
投資組合檔數,5
AAPL[0](5),MSFT[18](7),PG[21](17),V[25](3),WMT[28](6),
Stock#,AAPL[0](5),MSFT[18](7),PG[21](17),V[25](3),WMT[28](6),
張數,10529,16957,19221,12804,20506,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,16.450000000186265,91.419999999925494,54.949999999953434,143.239999999990687,49.820000000065193,
20190401,2013582.410000000381842,2018313.559999999823049,1992119.389999999897555,2013700.279999999795109,2005946.739999999990687,10043662.380000000819564
20190402,2042853.030000000260770,2021196.250000000000000,1994233.699999999953434,2020358.360000000102445,1987901.459999999962747,10066542.800000000745058
20190403,2056856.600000000093132,2034422.709999999962747,1993080.439999999944121,2029065.080000000074506,1993027.959999999962747,10106452.789999999105930
20190404,2060436.460000000195578,2024078.939999999944121,1988082.979999999981374,2018565.799999999813735,2011893.479999999981374,10103057.660000000149012
20190405,2074229.450000000186265,2033066.149999999906868,1992311.600000000093132,2018693.840000000083819,2026657.800000000046566,10144958.839999999850988
20190408,2106869.350000000093132,2033744.429999999934807,2017683.319999999832362,2019974.239999999990687,2034860.200000000186265,10213131.539999999105930
20190409,2100551.950000000186265,2022722.379999999888241,2011724.809999999823049,2016645.200000000186265,2023786.959999999962747,10175431.300000000745058
20190410,2112344.430000000167638,2038153.250000000000000,2011532.600000000093132,2030345.479999999981374,2042447.419999999925494,10234823.179999999701977
20190411,2094761.000000000000000,2040527.229999999981374,2013454.699999999953434,2021382.680000000167638,2067054.620000000111759,10237180.230000000447035
20190412,2093918.680000000167638,2051040.570000000065193,2019413.209999999962747,2044173.799999999813735,2082639.180000000167638,10291185.439999999478459
20190415,2097709.120000000111759,2052736.269999999785796,2032291.280000000027940,2054417.000000000000000,2100479.400000000372529,10337633.070000000298023
20190416,2097919.700000000186265,2047988.309999999823049,2045553.770000000018626,2051728.159999999916181,2110732.400000000372529,10353922.339999999850988
20190417,2138772.220000000204891,2064945.309999999823049,2034597.799999999813735,2054417.000000000000000,2115448.780000000260770,10408181.109999999403954
20190418,2146458.390000000130385,2092076.510000000009313,2038442.000000000000000,2050831.879999999888241,2115858.900000000372529,10443667.679999999701977
20190422,2153512.820000000298023,2098689.740000000223517,2037673.160000000149012,2053904.840000000083819,2099249.040000000037253,10443029.600000001490116
20190423,2184573.370000000111759,2127177.500000000000000,1982893.309999999823049,2070037.879999999888241,2113603.240000000223517,10478285.300000000745058
20190424,2181204.090000000316650,2119885.990000000223517,1993080.439999999944121,2067861.200000000186265,2123036.000000000000000,10485067.719999998807907
20190425,2161409.570000000298023,2190087.970000000204891,1985199.830000000074506,2061843.320000000065193,2122830.940000000409782,10521371.630000002682209
20190426,2151091.150000000372529,2202636.149999999906868,2034790.010000000009313,2086298.959999999962747,2082024.000000000000000,10556840.269999999552965
20190429,2154355.140000000130385,2200601.310000000055879,2014031.330000000074506,2101919.839999999850988,2082639.180000000167638,10553546.800000000745058
20190430,2112870.879999999888241,2214675.619999999646097,2046707.030000000027940,2105504.959999999962747,2108886.860000000335276,10588645.350000001490116
