代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10671908.410000000149012
真實報酬,671908.410000000149012

夏普值報酬,0.058490841000000
夏普值風險,0.021114133317965
夏普值,2.770222207048021

預期報酬,34564.746321353071835
風險,59349.115498427148850
趨勢值,0.582396991615976
找到最佳解世代,3815
找到最佳解實驗#,1
找到最佳解次數,35

stock[index](rank)
投資組合檔數,2
CVX[5](1),DIS[6](2),
Stock#,CVX[5](1),DIS[6](2),
張數,47732,53943,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,73.000000000000000,23.330000000074506,
20161101,5082576.360000000335276,4983817.100000000558794,10066393.460000000894070
20161102,5030548.480000000447035,4957924.459999999962747,9988472.940000001341105
20161103,5030548.480000000447035,5036681.240000000223517,10067229.720000000670552
20161104,5001431.959999999962747,4987053.680000000633299,9988485.640000000596046
20161107,5100237.200000000186265,5093860.820000000298023,10194098.019999999552965
20161108,5121239.280000000260770,5091163.669999999925494,10212402.949999999254942
20161109,5137945.480000000447035,5105188.850000000558794,10243134.330000001937151
20161110,5145105.280000000260770,5122450.609999999403954,10267555.890000000596046
20161111,5090213.480000000447035,5269175.570000000298023,10359389.050000000745058
20161114,5087826.879999999888241,5282121.890000000596046,10369948.769999999552965
20161115,5200951.719999999739230,5270254.430000000633299,10471206.150000000372529
20161116,5171835.200000000186265,5346853.490000000223517,10518688.690000001341105
20161117,5160856.839999999850988,5360339.240000000223517,10521196.080000000074506
20161118,5212407.400000000372529,5299383.649999999441206,10511791.050000000745058
20161121,5259184.760000000707805,5266478.419999999925494,10525663.179999999701977
20161122,5280186.839999999850988,5270793.859999999403954,10550980.699999999254942
20161123,5298325.000000000000000,5300462.510000000707805,10598787.510000001639128
20161125,5298325.000000000000000,5330670.589999999850988,10628995.589999999850988
20161128,5274459.000000000000000,5338762.040000000037253,10613221.039999999105930
20161129,5219089.879999999888241,5376522.140000000596046,10595612.019999999552965
20161130,5325054.919999999925494,5346853.490000000223517,10671908.410000000149012
