代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10867278.230000000447035
真實報酬,867278.230000000447035

夏普值報酬,0.078027823000000
夏普值風險,0.020552323185482
夏普值,3.796545154326757

預期報酬,33158.138632411093567
風險,59025.648332475102507
趨勢值,0.561758143606327
找到最佳解世代,2441
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JNJ[12](2),VZ[26](1),
Stock#,JNJ[12](2),VZ[26](1),
張數,44369,98231,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,57.389999999664724,42.100000000558794,
20160601,5003993.209999999962747,4953831.430000000633299,9957824.640000000596046
20160602,5079864.199999999254942,4987229.970000000670552,10067094.169999999925494
20160603,5091843.830000000074506,5001964.620000001043081,10093808.450000001117587
20160606,5136656.519999999552965,4981336.110000000335276,10117992.629999998956919
20160607,5134881.759999999776483,5083496.350000000558794,10218378.109999999403954
20160608,5137987.589999999850988,5060903.220000000670552,10198890.810000000521541
20160609,5191230.389999999664724,5103142.550000000745058,10294372.940000001341105
20160610,5191674.080000000074506,5173868.870000001043081,10365542.950000001117587
20160613,5181912.900000000372529,5164045.770000000484288,10345958.670000001788139
20160614,5196554.669999999925494,5205302.790000000968575,10401857.460000000894070
20160615,5165052.679999999701977,5190568.140000000596046,10355620.820000000298023
20160616,5175257.549999999813735,5251471.360000000335276,10426728.910000000149012
20160617,5123789.509999999776483,5282905.280000000260770,10406694.789999999105930
20160620,5170820.650000000372529,5280940.660000000149012,10451761.310000000521541
20160621,5154847.809999999590218,5314339.200000001117587,10469187.010000001639128
20160622,5167271.129999998956919,5307463.030000000260770,10474734.160000000149012
20160623,5208090.609999999403954,5370330.870000001043081,10578421.480000000447035
20160624,5130444.859999999403954,5346755.430000000633299,10477200.289999999105930
20160627,5171264.339999999850988,5377207.040000000968575,10548471.380000000819564
20160628,5245804.259999999776483,5385065.520000000484288,10630869.780000001192093
20160629,5294610.159999999217689,5408640.960000000894070,10703251.120000001043081
20160630,5382017.089999999850988,5485261.140000000596046,10867278.230000000447035
