代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10527586.619999999180436
真實報酬,527586.619999999180436

夏普值報酬,0.044058662000000
夏普值風險,0.020760436043043
夏普值,2.122241647942814

預期報酬,22664.558822299593885
風險,115725.906063099610037
趨勢值,0.195846890236848
找到最佳解世代,2097
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),TRV[22](3),V[25](2),
Stock#,HD[9](1),TRV[22](3),V[25](2),
張數,66255,56306,112994,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,43.949999999720603,17.799999999813735,10.000000000000000,
20120402,3312131.399999999906868,3340652.779999999795109,3361581.500000000000000,10014366.679999999701977
20120403,3312793.949999999720603,3337837.479999999981374,3399999.459999999962747,10050631.890000000596046
20120404,3302855.699999999720603,3334459.119999999646097,3361581.500000000000000,9998897.320000000298023
20120405,3353872.049999999348074,3315315.080000000074506,3418078.500000000000000,10087266.629999998956919
20120409,3351221.849999999627471,3268581.099999999627471,3376270.719999999739230,9996074.669999998062849
20120410,3270390.749999999534339,3251689.299999999813735,3298304.860000000335276,9820385.910000000149012
20120411,3296230.199999999720603,3275337.819999999832362,3316383.900000000372529,9887952.919999999925494
20120412,3354534.600000000093132,3327702.399999999906868,3419208.439999999944121,10101446.439999999478459
20120413,3376398.750000000000000,3272522.519999999552965,3479095.259999999776483,10128017.529999999329448
20120416,3424764.899999999441206,3331080.759999999776483,3413558.740000000223517,10169405.399999998509884
20120417,3447291.599999999627471,3377814.739999999757856,3448586.879999999888241,10273694.219999998807907
20120418,3432715.500000000000000,3348535.619999999646097,3440677.299999999813735,10221929.419999998062849
20120419,3416151.750000000000000,3474098.000000000000000,3423728.200000000186265,10313978.949999999254942
20120420,3409526.250000000000000,3533219.299999999813735,3418078.500000000000000,10360825.050000000745058
20120423,3385674.449999999720603,3542228.259999999776483,3336722.820000000298023,10264626.529999999329448
20120424,3394287.599999999627471,3568129.019999999552965,3359321.620000000111759,10321739.239999998360872
20120425,3439340.999999999534339,3591214.479999999981374,3440677.299999999813735,10471233.779999999329448
20120426,3436690.799999999348074,3646957.419999999459833,3480225.200000000186265,10563874.419999998062849
20120427,3441991.199999999720603,3604164.859999999869615,3489264.719999999739230,10535421.779999999329448
20120430,3431390.399999999441206,3621619.719999999273568,3474575.500000000000000,10527586.619999999180436
