代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10547291.310000000521541
真實報酬,547291.310000000521541

夏普值報酬,0.046029131000000
夏普值風險,0.014408856394959
夏普值,3.194502723762648

預期報酬,26597.991135888460121
風險,35144.416627185128164
趨勢值,0.756819821994547
找到最佳解世代,3547
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,6
HD[9](12),IBM[10](8),JNJ[12](9),PG[21](4),V[25](6),WMT[28](2),
Stock#,HD[9](12),IBM[10](8),JNJ[12](9),PG[21](4),V[25](6),WMT[28](2),
張數,44972,10220,28129,27056,90530,32020,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,3.679999999934807,90.600000000093132,22.750000000000000,16.399999999906868,8.699999999953434,25.000000000000000,
20110401,1689152.000000000000000,1678930.000000000232831,1673416.959999999962747,1679652.879999999888241,1680245.499999999767169,1669227.600000000093132,10070628.939999999478459
20110404,1685104.519999999785796,1678725.600000000093132,1691982.099999999860302,1684522.959999999962747,1702877.999999999767169,1685878.000000000000000,10129095.179999999701977
20110405,1690950.879999999888241,1676068.400000000139698,1682136.949999999953434,1668559.919999999925494,1711931.000000000000000,1688759.800000000046566,10118410.950000001117587
20110406,1686453.679999999934807,1676579.399999999906868,1678198.889999999897555,1670994.959999999962747,1720078.699999999953434,1696444.599999999860302,10128754.229999998584390
20110407,1701294.439999999944121,1680054.199999999953434,1673135.669999999925494,1681005.679999999934807,1729131.700000000186265,1697085.000000000000000,10161710.689999999478459
20110408,1684654.800000000046566,1676681.600000000093132,1672573.090000000083819,1674782.799999999813735,1736374.099999999860302,1682355.800000000046566,10127426.190000001341105
20110411,1690950.879999999888241,1675659.600000000093132,1683824.689999999944121,1682629.039999999804422,1759006.599999999860302,1691321.399999999906868,10183396.210000000894070
20110412,1698146.399999999906868,1668505.600000000093132,1686075.010000000009313,1701568.239999999990687,1743616.500000000000000,1713735.400000000139698,10211651.150000000372529
20110413,1694098.919999999925494,1675659.600000000093132,1676511.150000000139698,1704273.839999999850988,1754480.099999999860302,1717257.600000000093132,10222285.209999999031425
20110414,1701744.160000000149012,1686084.000000000000000,1688325.330000000074506,1712661.199999999720603,1727321.099999999860302,1713095.000000000000000,10229234.789999999105930
20110415,1716584.919999999925494,1698756.800000000279397,1703514.989999999990687,1736470.479999999981374,1730942.300000000046566,1714696.000000000000000,10300969.490000000223517
20110418,1698146.399999999906868,1695997.400000000139698,1700702.090000000083819,1731600.399999999906868,1712836.300000000046566,1707011.200000000186265,10246297.789999999105930
20110419,1698596.120000000111759,1690478.600000000093132,1763429.760000000009313,1727812.559999999823049,1718268.100000000093132,1708292.000000000000000,10306881.140000000596046
20110420,1706241.359999999869615,1683835.600000000093132,1811249.060000000055879,1724024.719999999972060,1750858.899999999906868,1719178.799999999813735,10395392.439999997615814
20110421,1699945.279999999795109,1719912.200000000186265,1802247.779999999795109,1711849.520000000018626,1759911.900000000139698,1715656.599999999860302,10409527.279999999329448
20110425,1689152.000000000000000,1713678.000000000000000,1803372.939999999944121,1714555.119999999878928,1759911.900000000139698,1708932.399999999906868,10389606.359999999403954
20110426,1673411.800000000046566,1722058.400000000139698,1827001.300000000046566,1727000.879999999888241,1782544.400000000139698,1726223.199999999953434,10458243.979999998584390
20110427,1678358.719999999972060,1741272.000000000232831,1844441.279999999795109,1732141.519999999785796,1785260.299999999813735,1742553.400000000139698,10524031.220000000670552
20110428,1685104.519999999785796,1745462.200000000186265,1839096.769999999785796,1745128.399999999906868,1758101.300000000046566,1751198.799999999813735,10524095.989999998360872
20110429,1670713.479999999981374,1743418.200000000186265,1848660.629999999888241,1755950.800000000046566,1768059.600000000093132,1760484.599999999860302,10547291.310000000521541
