代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10315980.589999999850988
真實報酬,315980.589999999850988

夏普值報酬,0.022898059000000
夏普值風險,0.010137815595308
夏普值,2.258677797473317

預期報酬,17599.734452961693023
風險,16793.155977667094703
趨勢值,1.048030190177907
找到最佳解世代,1898
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](12),BA[2](4),CAT[3](1),CVX[5](10),IBM[10](25),JNJ[12](16),KO[14](22),MCD[15](18),
Stock#,AXP[1](12),BA[2](4),CAT[3](1),CVX[5](10),IBM[10](25),JNJ[12](16),KO[14](22),MCD[15](18),
張數,12792,4515,8855,10505,8118,8971,27310,7268,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,93.680000000167638,248.000000000000000,116.750000000000000,10.050000000046566,71.540000000037253,70.569999999832362,21.299999999813735,122.040000000037253,
20171201,1251918.800000000046566,1225528.699999999953434,1253276.350000000093132,1255462.600000000093132,1256413.219999999972060,1255831.149999999674037,1255461.999999999767169,1256541.200000000186265,10010434.019999999552965
20171204,1261256.960000000195578,1255282.550000000046566,1253099.250000000000000,1269434.250000000000000,1270213.820000000065193,1247129.279999999795109,1262562.599999999627471,1240406.239999999990687,10059384.949999999254942
20171205,1262792.000000000000000,1244311.100000000093132,1241056.449999999953434,1264707.000000000000000,1261202.840000000083819,1253050.139999999664724,1263381.899999999674037,1257413.360000000102445,10047914.789999999105930
20171206,1256396.000000000000000,1256637.049999999813735,1242827.449999999953434,1256513.100000000093132,1251055.340000000083819,1265519.829999999841675,1268570.799999999813735,1260974.679999999934807,10058494.250000000000000
20171207,1261129.040000000037253,1273342.550000000046566,1265407.699999999953434,1256723.199999999953434,1246752.800000000046566,1256100.279999999795109,1250273.099999999860302,1256831.919999999925494,10066560.589999999850988
20171208,1260745.280000000027940,1291086.500000000000000,1273997.050000000046566,1259769.650000000139698,1256819.120000000111759,1261303.459999999962747,1237437.399999999906868,1258576.239999999990687,10099734.700000001117587
20171211,1266501.680000000167638,1278715.400000000139698,1273200.100000000093132,1265022.150000000139698,1261689.919999999925494,1266237.509999999776483,1237983.599999999860302,1259303.040000000037253,10108653.399999998509884
20171212,1271234.720000000204891,1309327.100000000093132,1270100.849999999860302,1257248.450000000186265,1272486.860000000102445,1279335.169999999692664,1236891.199999999720603,1251889.679999999934807,10148514.029999999329448
20171213,1250895.440000000176951,1317905.599999999860302,1315704.099999999860302,1259874.700000000186265,1249512.919999999925494,1281936.759999999776483,1253550.299999999813735,1261483.440000000176951,10190863.259999999776483
20171214,1242836.480000000214204,1327116.199999999953434,1295426.149999999906868,1255672.699999999953434,1250243.540000000037253,1270812.719999999972060,1257100.599999999860302,1258503.559999999823049,10157711.950000001117587
20171215,1260361.520000000018626,1327387.100000000093132,1299056.699999999953434,1257773.700000000186265,1238066.540000000037253,1278079.229999999981374,1261470.199999999720603,1265190.120000000111759,10187385.109999999403954
20171218,1275200.240000000223517,1337320.099999999860302,1326330.100000000093132,1257458.550000000046566,1244804.480000000214204,1272158.369999999878928,1254369.599999999860302,1266207.639999999897555,10233849.080000001937151
20171219,1268420.480000000214204,1342331.750000000000000,1336424.800000000046566,1258929.250000000000000,1243992.679999999934807,1271978.949999999953434,1259831.599999999860302,1260320.559999999823049,10242230.070000000298023
20171220,1260233.600000000325963,1345266.500000000000000,1350681.350000000093132,1269959.500000000000000,1241719.639999999897555,1266416.929999999701977,1258466.099999999860302,1251453.599999999860302,10244197.220000000670552
20171221,1260105.680000000167638,1332308.449999999953434,1369453.949999999953434,1311244.149999999906868,1229948.540000000037253,1265519.829999999841675,1245357.299999999813735,1249127.840000000083819,10263065.740000000223517
20171222,1263175.760000000009313,1332624.500000000000000,1379283.000000000000000,1312924.950000000186265,1238066.540000000037253,1257087.089999999850988,1245084.199999999953434,1246002.599999999860302,10274248.639999998733401
20171226,1261001.120000000111759,1333798.400000000139698,1385392.949999999953434,1323429.950000000186265,1240745.480000000214204,1256817.959999999962747,1251092.399999999906868,1245057.760000000009313,10297336.020000001415610
20171227,1268164.640000000130385,1334972.300000000046566,1394956.350000000093132,1318912.800000000046566,1243180.879999999888241,1261124.039999999804422,1254369.599999999860302,1255087.599999999860302,10330768.210000000894070
20171228,1275456.080000000307336,1338268.250000000000000,1402925.849999999860302,1319227.949999999953434,1250568.260000000009313,1261034.329999999841675,1248634.499999999767169,1258212.840000000083819,10354328.059999998658895
20171229,1270467.200000000186265,1331766.650000000139698,1395487.650000000139698,1315131.000000000000000,1245535.099999999860302,1253498.689999999711290,1253004.099999999860302,1251090.200000000186265,10315980.589999999850988
