代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10965005.210000000894070
真實報酬,965005.210000000894070

夏普值報酬,0.087800521000000
夏普值風險,0.030695320463537
夏普值,2.860387827007695

預期報酬,51480.128202429135854
風險,86927.555612671611016
趨勢值,0.592218748584307
找到最佳解世代,1833
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MRK[17](1),PFE[20](5),UNH[23](22),WBA[27](2),
Stock#,MRK[17](1),PFE[20](5),UNH[23](22),WBA[27](2),
張數,47196,82236,34587,43591,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,27.879999999888241,25.600000000093132,51.640000000130385,56.149999999906868,
20140203,2457995.559999999590218,2516447.200000000186265,2446736.020000000018626,2422408.020000000018626,9843586.799999998882413
20140204,2525485.839999999850988,2585525.440000000409782,2438781.010000000242144,2438972.600000000093132,9988764.890000000596046
20140205,2526429.759999999776483,2520559.000000000000000,2449502.979999999981374,2521795.500000000000000,10018287.240000000223517
20140206,2537756.799999999813735,2536183.839999999850988,2451232.330000000074506,2581515.169999999925494,10106688.140000000596046
20140207,2584952.799999999813735,2567433.520000000018626,2468179.959999999962747,2657363.509999999776483,10277929.789999999105930
20140210,2590616.319999999832362,2587992.520000000018626,2412149.020000000018626,2643850.299999999813735,10234608.160000000149012
20140211,2628845.080000000074506,2621709.279999999795109,2442585.580000000074506,2798598.350000000093132,10491738.289999999105930
20140212,2595807.879999999888241,2599505.560000000055879,2429442.520000000018626,2851779.370000000111759,10476535.329999998211861
20140213,2600527.479999999981374,2606906.799999999813735,2462991.909999999683350,2894062.640000000130385,10564488.830000000074506
20140214,2616574.119999999646097,2626643.440000000409782,2542887.879999999888241,2823881.129999999888241,10609986.570000000298023
20140218,2628373.119999999646097,2621709.279999999795109,2553609.850000000093132,2813419.290000000037253,10617111.539999999105930
20140219,2597695.719999999739230,2588814.880000000353903,2543925.490000000223517,2855702.560000000055879,10586138.650000000372529
20140220,2634036.640000000130385,2594571.400000000372529,2541504.400000000372529,2901037.199999999720603,10671149.640000000596046
20140221,2644419.759999999776483,2587170.160000000149012,2552918.110000000335276,2891011.269999999552965,10675519.300000000745058
20140224,2651499.159999999683350,2630755.239999999757856,2629009.510000000242144,2899729.469999999739230,10810993.379999998956919
20140225,2638756.239999999757856,2622531.640000000130385,2605144.479999999981374,2918473.600000000093132,10784905.959999999031425
20140226,2655746.799999999813735,2630755.239999999757856,2630738.860000000335276,2899293.560000000055879,10816534.459999999031425
20140227,2674153.239999999757856,2650491.879999999888241,2629355.379999999888241,2972526.439999999944121,10926526.939999999478459
20140228,2689727.919999999925494,2640623.560000000055879,2672589.129999999888241,2962064.600000000093132,10965005.210000000894070
