代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10492178.379999998956919
真實報酬,492178.379999998956919

夏普值報酬,0.040517838000000
夏普值風險,0.014537375080149
夏普值,2.787149521603030

預期報酬,25502.517567944214534
風險,22330.197875336234574
趨勢值,1.142064110238441
找到最佳解世代,2883
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,9
BA[2](5),DD[7](7),JPM[13](19),MSFT[18](3),PG[21](8),UNH[23](6),UTX[24](25),V[25](1),WBA[27](13),
Stock#,BA[2](5),DD[7](7),JPM[13](19),MSFT[18](3),PG[21](8),UNH[23](6),UTX[24](25),V[25](1),WBA[27](13),
張數,5618,12370,12156,16119,12749,5992,9099,11848,14188,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,151.500000000000000,37.600000000093132,52.599999999860302,28.329999999841675,35.649999999906868,74.360000000102445,32.110000000102445,5.560000000055879,48.719999999972060,
20170703,1115830.120000000111759,1126449.800000000046566,1127521.599999999860302,1098860.559999999823049,1118632.909999999916181,1118481.160000000149012,1110838.030000000027940,1106016.360000000102445,1108557.159999999916181,10031188.699999999254942
20170705,1133920.080000000074506,1117296.000000000000000,1138826.679999999934807,1113528.849999999860302,1117740.479999999981374,1128068.360000000102445,1117298.320000000065193,1113836.040000000037253,1115793.040000000037253,10096308.850000001490116
20170706,1132066.139999999897555,1119770.000000000000000,1135179.879999999888241,1105308.159999999683350,1113915.780000000027940,1120218.840000000083819,1109109.220000000204891,1104831.560000000055879,1102740.079999999841675,10043140.660000000149012
20170707,1137066.159999999916181,1125583.900000000139698,1140893.199999999720603,1119654.069999999832362,1117485.500000000000000,1126330.680000000167638,1115660.500000000000000,1112769.719999999972060,1099193.079999999841675,10094637.810000000521541
20170710,1145998.780000000027940,1136593.199999999953434,1132870.239999999757856,1128035.949999999953434,1110346.060000000055879,1120278.760000000009313,1119755.050000000046566,1126631.880000000121072,1094794.799999999813735,10115305.719999998807907
20170711,1158976.360000000102445,1137211.700000000186265,1128494.079999999841675,1128197.139999999664724,1106266.379999999888241,1114286.760000000009313,1124122.570000000065193,1130423.239999999990687,1096639.239999999990687,10124618.470000000670552
20170712,1159931.419999999925494,1167641.900000000139698,1124604.159999999916181,1146895.179999999934807,1108688.689999999711290,1118720.840000000083819,1125669.400000000139698,1139546.200000000186265,1099902.479999999981374,10191601.269999999552965
20170713,1158751.639999999897555,1155766.700000000186265,1131776.199999999720603,1156888.959999999729916,1105373.949999999953434,1111470.520000000018626,1119846.040000000037253,1136702.679999999934807,1106854.600000000093132,10183432.289999999105930
20170714,1171560.679999999934807,1166899.700000000186265,1121443.599999999860302,1173169.149999999906868,1110473.549999999813735,1119979.160000000149012,1122939.700000000186265,1148432.200000000186265,1119623.799999999813735,10254522.539999999105930
20170717,1174313.500000000000000,1164796.800000000046566,1110989.439999999944121,1182356.979999999748543,1116210.599999999860302,1116683.560000000055879,1120210.000000000000000,1147247.400000000139698,1123454.560000000055879,10256263.839999999850988
20170718,1170043.820000000065193,1158240.699999999953434,1107099.519999999785796,1181551.029999999795109,1130107.010000000009313,1119679.560000000055879,1115842.479999999981374,1156133.400000000139698,1116218.679999999934807,10254917.200000001117587
20170719,1184875.340000000083819,1176300.900000000139698,1108679.799999999813735,1190577.669999999925494,1126409.799999999813735,1133700.840000000083819,1119937.030000000027940,1164071.560000000055879,1128846.000000000000000,10333399.939999999478459
20170720,1181504.540000000037253,1169621.100000000093132,1108679.799999999813735,1196380.509999999776483,1129597.049999999813735,1147542.360000000102445,1114204.660000000149012,1162412.840000000083819,1132251.119999999878928,10342194.979999998584390
20170721,1191954.020000000018626,1165167.900000000139698,1104911.439999999944121,1189449.339999999850988,1129724.539999999804422,1149220.120000000111759,1123667.620000000111759,1180066.360000000102445,1119481.920000000158325,10353644.259999999776483
20170724,1192178.739999999990687,1166528.600000000093132,1109652.279999999795109,1186386.729999999748543,1124242.469999999972060,1143887.239999999990687,1120391.979999999981374,1189189.320000000065193,1129413.519999999785796,10361871.879999998956919
20170725,1193751.780000000027940,1177661.600000000093132,1128129.399999999906868,1195896.939999999711290,1136481.510000000009313,1140951.160000000149012,1095733.690000000176951,1184687.080000000074506,1135940.000000000000000,10389234.160000000149012
20170726,1311673.599999999860302,1170115.900000000139698,1117553.679999999934807,1193640.279999999795109,1138521.349999999860302,1143048.360000000102445,1087726.570000000065193,1194876.360000000102445,1116360.560000000055879,10473517.660000000149012
20170727,1354089.500000000000000,1164425.699999999953434,1112934.399999999906868,1179294.369999999878928,1156114.969999999972060,1132142.920000000158325,1079992.420000000158325,1179710.919999999925494,1117779.360000000102445,10476485.559999998658895
20170728,1355606.360000000102445,1157003.700000000186265,1109652.279999999795109,1177360.089999999850988,1150122.939999999711290,1145445.160000000149012,1081630.240000000223517,1174734.760000000009313,1129697.280000000027940,10481253.809999998658895
20170731,1362291.780000000027940,1131645.200000000186265,1115973.399999999906868,1171879.629999999888241,1157899.829999999841675,1149399.880000000121072,1078900.540000000037253,1179592.440000000176951,1144594.679999999934807,10492178.379999998956919
