代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10787075.380000000819564
真實報酬,787075.380000000819564

夏普值報酬,0.070007538000000
夏普值風險,0.025186024226854
夏普值,2.779618464964266

預期報酬,35831.532343702849175
風險,113580.358777455709060
趨勢值,0.315472963189961
找到最佳解世代,1656
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),CSCO[4](3),V[25](1),
Stock#,BA[2](2),CSCO[4](3),V[25](1),
張數,47321,194363,96089,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,41.760000000242144,7.550000000279397,5.590000000316650,
20121101,3349895.350000000558794,3403303.680000000633299,3456326.920000000391155,10209526.950000001117587
20121102,3314877.810000000055879,3372205.600000000558794,3444796.240000000223517,10131880.650000000372529
20121105,3331913.370000000111759,3381923.750000000000000,3399634.410000000614673,10113472.530000001192093
20121106,3408100.180000000167638,3397472.790000000502914,3456326.920000000391155,10261900.890000000596046
20121107,3317717.070000000298023,3344994.780000000260770,3424617.550000000279397,10087330.400000000372529
20121108,3358886.340000000316650,3271136.839999999850988,3413086.870000000577420,10043111.050000000745058
20121109,3466305.010000000242144,3269193.210000000428408,3433265.560000000055879,10168764.780000001192093
20121112,3487126.250000000000000,3276967.729999999981374,3440952.680000000633299,10205047.660000000149012
20121113,3471510.320000000298023,3275024.100000000558794,3421734.880000000353903,10168270.300000000745058
20121114,3373555.850000000558794,3432458.130000000353903,3362159.700000000651926,10168174.680000001564622
20121115,3361725.600000000558794,3486879.770000000484288,3363120.590000000316650,10211726.960000000894070
20121116,3348948.930000000167638,3496597.919999999925494,3428461.110000000335276,10274008.960000000894070
20121119,3405260.919999999925494,3556850.450000000186265,3498606.080000000074506,10460718.449999999254942
20121120,3432707.100000000558794,3564624.970000000204891,3515902.100000000558794,10513235.170000001788139
20121121,3461572.910000000614673,3591835.790000000502914,3523589.220000000670552,10576998.920000001788139
20121123,3489492.299999999813735,3661806.470000000204891,3558181.260000000242144,10709481.029999999329448
20121126,3514572.430000000167638,3704566.330000000074506,3537041.680000000633299,10756181.440000001341105
20121127,3524983.049999999813735,3685130.030000000260770,3526471.890000000596046,10736585.970000000670552
20121128,3506054.650000000372529,3659862.839999999850988,3538002.570000000298023,10703921.060000000521541
20121129,3507474.280000000260770,3694848.180000000633299,3560103.040000000037253,10762426.500000000000000
20121130,3515045.640000000130385,3675411.880000000353903,3596616.860000000335276,10787075.380000000819564
