代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10757985.320000000298023
真實報酬,757985.320000000298023

夏普值報酬,0.067098532000000
夏普值風險,0.022087016811077
夏普值,3.037917369010578

預期報酬,40040.788418972319050
風險,62505.339347957589780
趨勢值,0.640597888703098
找到最佳解世代,2177
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
GS[8](1),IBM[10](2),PG[21](7),
Stock#,GS[8](1),IBM[10](2),PG[21](7),
張數,16291,24172,30399,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,194.399999999906868,14.199999999720603,82.649999999906868,
20190701,3370150.660000000149012,3381193.559999999590218,3358868.159999999683350,10110213.379999998956919
20190702,3355814.579999999608845,3389412.039999999571592,3388963.169999999925494,10134190.789999999105930
20190703,3356792.039999999571592,3421319.079999999608845,3468000.569999999832362,10246112.689999999478459
20190705,3387093.299999999813735,3417451.559999999590218,3439729.500000000000000,10244275.359999999403954
20190708,3352067.649999999906868,3397872.239999999757856,3467088.599999999627471,10217029.489999998360872
20190709,3384975.470000000204891,3367898.959999999962747,3432433.739999999757856,10185309.169999999925494
20190710,3355651.669999999925494,3395455.039999999571592,3457968.899999999906868,10209076.609999999403954
20190711,3443297.250000000000000,3414067.479999999981374,3477120.269999999552965,10334486.000000000000000
20190712,3485490.939999999944121,3450325.479999999981374,3495663.659999999683350,10431481.080000000074506
20190715,3447044.180000000167638,3464345.239999999757856,3510559.169999999925494,10421949.589999999850988
20190716,3511230.720000000204891,3469421.359999999869615,3523022.759999999776483,10503675.839999999850988
20190717,3475064.700000000186265,3458302.239999999757856,3524542.709999999962747,10457910.649999998509884
20190718,3494939.720000000204891,3616870.559999999590218,3509343.209999999962747,10621154.489999998360872
20190719,3478648.720000000204891,3618079.159999999683350,3496271.640000000130385,10593000.519999999552965
20190722,3486468.399999999906868,3619529.479999999981374,3505087.349999999627471,10611086.230000000447035
20190723,3574928.529999999795109,3634999.559999999590218,3461008.799999999813735,10670937.890000000596046
20190724,3617285.129999999888241,3626539.359999999869615,3423010.049999999813735,10666835.539999999105930
20190725,3583888.579999999608845,3635241.279999999329448,3428177.879999999888241,10647308.739999998360872
20190726,3619077.139999999664724,3658688.120000000111759,3487759.919999999925494,10765526.179999999701977
20190729,3589427.520000000018626,3647085.559999999590218,3526366.649999999906868,10762880.730000000447035
20190730,3607021.799999999813735,3620254.640000000130385,3660426.239999999757856,10887703.679999999701977
20190731,3586332.229999999981374,3583271.479999999981374,3588380.609999999869615,10757985.320000000298023
