代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10596067.480000000447035
真實報酬,596067.480000000447035

夏普值報酬,0.050906748000000
夏普值風險,0.019489005020394
夏普值,2.612075267399660

預期報酬,32084.681636363693542
風險,65906.575047797945444
趨勢值,0.486820648973106
找到最佳解世代,2369
找到最佳解實驗#,6
找到最佳解次數,5

stock[index](rank)
投資組合檔數,2
INTC[11](2),NKE[19](8),
Stock#,INTC[11](2),NKE[19](8),
張數,96861,73110,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,35.180000000633299,7.099999999627471,
20180501,5165632.310000000521541,4978798.099999999627471,10144430.410000000149012
20180502,5066834.090000000782311,4990495.700000000186265,10057329.790000000968575
20180503,5063928.260000000707805,4891066.099999999627471,9954994.359999999403954
20180504,5112358.760000000707805,4978798.099999999627471,10091156.859999999403954
20180507,5165632.310000000521541,5069454.500000000000000,10235086.810000000521541
20180508,5194690.610000001266599,5005117.699999999254942,10199808.310000000521541
20180509,5263461.920000000856817,4967831.599999999627471,10231293.519999999552965
20180510,5325452.959999999962747,4965638.299999999813735,10291091.259999999776483
20180511,5295426.050000000745058,5002924.400000000372529,10298350.450000001117587
20180514,5317704.080000000074506,5032899.500000000000000,10350603.580000000074506
20180515,5222780.300000000745058,5081152.099999999627471,10303932.400000000372529
20180516,5292520.220000000670552,5215674.500000000000000,10508194.720000000670552
20180517,5308986.590000000782311,5186430.499999999068677,10495417.089999999850988
20180518,5308986.590000000782311,5214212.299999998882413,10523198.890000000596046
20180521,5261524.700000001117587,5218598.899999999441206,10480123.600000001490116
20180522,5274116.630000000819564,5213481.200000000186265,10487597.830000001937151
20180523,5347730.990000001154840,5215674.500000000000000,10563405.490000002086163
20180524,5303174.930000000633299,5277086.900000000372529,10580261.830000001937151
20180525,5370009.020000000484288,5282204.599999999627471,10652213.620000001043081
20180529,5358385.700000001117587,5184968.299999999813735,10543354.000000000000000
20180530,5393255.660000000149012,5280742.400000000372529,10673998.060000000521541
20180531,5346762.380000000819564,5249305.099999999627471,10596067.480000000447035
