代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10489434.810000000521541
真實報酬,489434.810000000521541

夏普值報酬,0.040243481000000
夏普值風險,0.014513737172596
夏普值,2.772785570072561

預期報酬,26612.308710801393318
風險,22251.591199073453026
趨勢值,1.195973288953355
找到最佳解世代,3061
找到最佳解實驗#,1
找到最佳解次數,15

stock[index](rank)
投資組合檔數,11
BA[2](4),CVX[5](19),DIS[6](3),IBM[10](21),JNJ[12](13),JPM[13](8),MRK[17](25),TRV[22](2),UNH[23](7),V[25](17),VZ[26](23),
Stock#,BA[2](4),CVX[5](19),DIS[6](3),IBM[10](21),JNJ[12](13),JPM[13](8),MRK[17](25),TRV[22](2),UNH[23](7),V[25](17),VZ[26](23),
張數,2674,7827,6997,6797,6884,7277,10490,6936,3597,5082,15033,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,170.659999999916181,62.219999999972060,39.760000000125729,127.190000000060536,126.640000000013970,47.160000000032596,26.600000000093132,57.839999999967404,128.100000000093132,123.479999999981374,44.489999999990687,
20191101,923208.719999999855645,909637.889999999897555,928891.510000000125729,921324.600000000093132,903307.439999999944121,930047.760000000009313,891047.200000000069849,906731.760000000009313,907327.470000000088476,919609.739999999990687,907586.699999999953434,10048730.789999999105930
20191104,938985.319999999832362,951590.609999999869615,930081.000000000000000,935870.179999999934807,896629.959999999962747,937470.299999999930151,880137.600000000209548,903125.039999999920838,903874.350000000093132,909547.379999999888241,900070.199999999953434,10087391.939999997615814
20191105,958238.119999999995343,954486.599999999976717,919795.410000000032596,937365.520000000018626,897937.919999999925494,939507.859999999986030,869857.400000000139698,910546.560000000055879,900457.200000000186265,896435.819999999948777,894507.989999999990687,10079146.400000000372529
20191106,947274.719999999855645,938519.520000000018626,918535.950000000186265,943414.850000000093132,901655.280000000027940,940963.260000000125729,873319.100000000093132,918037.439999999944121,901248.540000000153668,898468.619999999995343,903978.780000000027940,10085426.059999998658895
20191107,941793.019999999902211,954095.250000000000000,930360.880000000237487,936006.119999999995343,904890.760000000009313,940963.260000000125729,869437.800000000046566,922615.199999999953434,922614.719999999972060,906904.739999999990687,909991.979999999981374,10139683.730000000447035
20191108,938744.659999999916181,946581.330000000074506,965345.880000000237487,935462.360000000102445,915698.640000000013970,948822.420000000041910,876885.700000000186265,924557.279999999911524,924449.190000000176951,909649.020000000018626,892253.040000000037253,10178459.519999999552965
20191111,981421.699999999837019,945642.089999999967404,956809.540000000153668,920916.780000000027940,908676.959999999962747,945474.999999999883585,873633.800000000162981,926291.279999999911524,914089.830000000074506,912545.759999999892898,896161.619999999995343,10181674.359999999403954
20191112,970511.779999999911524,946816.139999999897555,969684.020000000251457,921732.420000000041910,904340.039999999920838,939944.479999999981374,882445.400000000139698,924973.439999999944121,918262.350000000093132,913562.160000000032596,891802.050000000046566,10184084.280000001192093
