代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10397782.200000001117587
真實報酬,397782.200000001117587

夏普值報酬,0.031078220000000
夏普值風險,0.011724388979609
夏普值,2.650732592892570

預期報酬,17073.673823618228198
風險,72664.193295783014037
趨勢值,0.234966811702141
找到最佳解世代,1730
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),CAT[3](6),UNH[23](5),V[25](3),WBA[27](10),
Stock#,AAPL[0](1),CAT[3](6),UNH[23](5),V[25](3),WBA[27](10),
張數,18850,24405,14700,24721,24780,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,15.000000000000000,10.250000000000000,64.999999999767169,71.099999999860302,6.200000000186265,
20160901,2011875.500000000000000,1987797.500000000000000,1995443.000000000000000,2009888.399999999674037,2020567.400000000372529,10025571.800000000745058
20160902,2030725.500000000000000,1993654.699999999953434,2008232.000000000000000,2027193.099999999860302,2037417.800000000046566,10097223.099999999627471
20160906,2030160.000000000000000,2003172.649999999906868,1998823.999999999767169,2040295.229999999981374,2023045.400000000139698,10095497.279999999329448
20160907,2042601.000000000000000,2043196.849999999860302,1984418.000000000000000,2057847.139999999664724,2053772.600000000093132,10181835.589999999850988
20160908,1989067.000000000000000,2038803.950000000186265,1991032.999999999767169,2051172.469999999739230,2098128.800000000279397,10168205.220000000670552
20160909,1944015.500000000000000,1971690.200000000186265,1964278.999999999767169,2010630.029999999795109,2054763.800000000279397,9945378.530000001192093
20160912,1987559.000000000000000,1999267.850000000093132,1992355.999999999767169,2051172.469999999739230,2070870.800000000046566,10101226.119999999180436
20160913,2034872.500000000000000,1958023.400000000139698,1969129.999999999534339,2024473.789999999804422,2038161.200000000186265,10024660.890000000596046
20160914,2106879.500000000000000,1977303.349999999860302,1965307.999999999767169,2014585.389999999664724,2006690.600000000325963,10070766.839999999850988
20160915,2178509.500000000000000,2001952.400000000139698,1993532.000000000000000,2027440.310000000055879,2017098.200000000419095,10218532.410000002011657
20160916,2166257.000000000000000,2002440.500000000000000,2035573.999999999767169,2028923.569999999599531,2019328.400000000139698,10252523.469999998807907
20160919,2140998.000000000000000,1998291.649999999906868,2023960.999999999767169,2039800.810000000055879,2002478.000000000232831,10205529.459999999031425
20160920,2140809.500000000000000,1993898.750000000000000,2020873.999999999767169,2039059.179999999934807,1998265.400000000139698,10192906.830000000074506
20160921,2140432.500000000000000,2037095.599999999860302,2056741.999999999767169,2057352.719999999739230,1996778.600000000093132,10288401.419999999925494
20160922,2160602.000000000000000,2037827.750000000000000,2073352.999999999534339,2060813.659999999916181,2041382.600000000093132,10373979.009999999776483
20160923,2124598.500000000000000,2011958.449999999953434,2065561.999999999534339,2040542.439999999944121,2033205.200000000186265,10275866.589999999850988
20160926,2127803.000000000000000,2010250.100000000093132,2053948.999999999767169,2022496.109999999869615,1999256.600000000325963,10213754.809999998658895
20160927,2131761.500000000000000,2022696.649999999906868,2069677.999999999534339,2031148.459999999729916,2006442.800000000046566,10261727.410000000149012
20160928,2147972.500000000000000,2113239.200000000186265,2064091.999999999767169,2051172.469999999739230,1998761.000000000000000,10375237.169999999925494
20160929,2114608.000000000000000,2134715.600000000093132,2033368.999999999767169,2025215.419999999925494,1962830.000000000000000,10270738.019999999552965
20160930,2131007.500000000000000,2166442.100000000093132,2058064.999999999767169,2044497.800000000046566,1997769.800000000279397,10397782.200000001117587
