代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11878594.039999999105930
真實報酬,1878594.039999999105930

夏普值報酬,0.179159404000000
夏普值風險,0.053975154051174
夏普值,3.319293981637172

預期報酬,95534.859480519458884
風險,111631.270167181195575
趨勢值,0.855807331919135
找到最佳解世代,2023
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),GS[8](4),IBM[10](2),
Stock#,BA[2](3),GS[8](4),IBM[10](2),
張數,10335,19954,29324,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,295.500000000000000,17.299999999813735,73.919999999925494,
20190102,3346871.850000000093132,3432703.919999999925494,3378491.959999999962747,10158068.730000000447035
20190103,3213446.999999999534339,3382419.839999999850988,3311046.759999999776483,9906914.599999999627471
20190104,3380667.299999999813735,3492965.000000000000000,3440365.599999999627471,10313998.899999998509884
20190107,3391312.350000000093132,3512320.379999999888241,3464704.520000000018626,10368338.250000000000000
20190108,3519673.049999999813735,3499350.279999999795109,3513968.839999999850988,10532993.169999999925494
20190109,3553778.549999999813735,3521299.679999999701977,3539187.479999999981374,10614266.709999999031425
20190110,3644519.850000000093132,3511921.299999999813735,3571443.879999999888241,10727886.030000001192093
20190111,3647516.999999999534339,3530478.520000000018626,3561766.959999999962747,10739763.480000000447035
20190114,3621266.100000000093132,3566196.179999999701977,3530390.279999999795109,10717853.559999998658895
20190115,3640695.899999999906868,3589941.439999999944121,3569684.439999999944121,10800322.779999999329448
20190116,3638835.600000000093132,3932551.620000000111759,3566458.800000000279397,11137847.020000001415610
20190117,3711490.649999999906868,3972659.159999999683350,3583173.479999999981374,11267324.289999999105930
20190118,3769780.050000000279397,4041500.459999999497086,3630971.599999999627471,11442253.109999999403954
20190122,3699191.999999999534339,3944524.020000000018626,3592850.399999999906868,11236567.419999999925494
20190123,3706529.850000000093132,3928959.899999999906868,3896940.279999999329448,11532431.029999999329448
20190124,3703015.949999999720603,3946918.500000000000000,3886383.640000000130385,11536319.089999999850988
20190125,3764302.500000000000000,4005583.259999999776483,3928610.199999999720603,11698496.959999999031425
20190128,3751590.450000000186265,3985230.179999999701977,3937407.400000000372529,11674229.030000001192093
20190129,3771640.350000000093132,4000794.299999999813735,3939166.840000000316650,11711602.490000000223517
20190130,4007381.700000000186265,4040303.219999999739230,3940633.039999999571592,11988318.959999999031425
20190131,3985678.200000000186265,3951108.839999999850988,3941805.999999999534339,11878594.039999999105930
