代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10353884.839999999850988
真實報酬,353884.839999999850988

夏普值報酬,0.026688484000000
夏普值風險,0.011764250699776
夏普值,2.268608913656366

預期報酬,17498.234174375564180
風險,30911.708255075012858
趨勢值,0.566071406665232
找到最佳解世代,1842
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
CSCO[4](8),GS[8](1),NKE[19](5),PG[21](2),TRV[22](11),
Stock#,CSCO[4](8),GS[8](1),NKE[19](5),PG[21](2),TRV[22](11),
張數,65509,12593,36036,23367,17208,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,10.229999999981374,105.669999999925494,2.000000000000000,18.469999999972060,86.239999999990687,
20160801,2013101.800000000046566,1992066.409999999916181,1996756.759999999776483,2019160.939999999944121,2010152.719999999972060,10031238.630000000819564
20160802,2005895.810000000055879,1965369.250000000000000,1979099.120000000111759,2027339.390000000130385,2013938.479999999981374,9991642.050000000745058
20160803,2012446.709999999962747,1994081.290000000037253,1972973.000000000000000,2008879.459999999962747,2030286.080000000074506,10018666.539999999105930
20160804,2017687.429999999934807,1990429.320000000065193,1974414.439999999944121,2010748.819999999832362,2028565.280000000027940,10021845.289999999105930
20160805,2033409.589999999850988,2041305.040000000037253,2012612.600000000093132,2004439.729999999981374,2040610.879999999888241,10132377.839999999850988
20160808,2031444.320000000065193,2050623.860000000102445,2017297.279999999795109,2003972.390000000130385,2033211.440000000176951,10136549.289999999105930
20160809,2026858.690000000176951,2058305.589999999850988,2009729.720000000204891,2009346.799999999813735,2033727.680000000167638,10137968.480000000447035
20160810,2020962.880000000121072,2042564.339999999850988,1986666.680000000167638,2016824.239999999990687,2034588.080000000074506,10101606.220000000670552
20160811,2027513.780000000027940,2063594.650000000139698,2044324.279999999795109,2026638.380000000121072,2040955.039999999804422,10203026.129999998956919
20160812,2022273.060000000055879,2055912.919999999925494,2034234.200000000186265,2033882.150000000139698,2039406.320000000065193,10185708.650000000372529
20160815,2043235.940000000176951,2084876.820000000065193,2045765.720000000204891,2033414.809999999823049,2036653.039999999804422,10243946.330000000074506
20160816,2038650.310000000055879,2086136.120000000111759,2049729.680000000167638,2023133.329999999841675,2013078.080000000074506,10210727.519999999552965
20160817,2012446.709999999962747,2086387.979999999748543,2049008.959999999962747,2032012.789999999804422,2020649.600000000093132,10200506.039999999105930
20160818,1996724.550000000046566,2091299.250000000000000,2061621.560000000055879,2043228.949999999953434,2027532.799999999813735,10220407.109999999403954
20160819,1999344.909999999916181,2093440.059999999823049,2122522.399999999906868,2040191.239999999990687,2021510.000000000000000,10277008.609999999403954
20160822,2006550.899999999906868,2093817.849999999860302,2113873.759999999776483,2029442.419999999925494,2012561.840000000083819,10256246.769999999552965
20160823,2029479.050000000046566,2091551.110000000102445,2148468.319999999832362,2042294.270000000018626,2007055.280000000027940,10318848.029999999329448
20160824,2034719.769999999785796,2081728.570000000065193,2170089.919999999925494,2040191.239999999990687,2015315.119999999878928,10342044.619999999180436
20160825,2049786.839999999850988,2089284.370000000111759,2134774.640000000130385,2053977.770000000018626,2026328.239999999990687,10354151.859999999403954
20160826,2053717.380000000121072,2090165.879999999888241,2126126.000000000000000,2046500.329999999841675,2015831.360000000102445,10332340.949999999254942
20160829,2068784.449999999953434,2101499.580000000074506,2112792.680000000167638,2063324.569999999832362,2038890.080000000074506,10385291.360000001266599
20160830,2066164.089999999850988,2132982.080000000074506,2090090.000000000000000,2045565.650000000139698,2038718.000000000000000,10373519.820000000298023
20160831,2059613.190000000176951,2134115.450000000186265,2077117.040000000037253,2040191.239999999990687,2042847.919999999925494,10353884.839999999850988
