代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10815572.230000000447035
真實報酬,815572.230000000447035

夏普值報酬,0.072857223000000
夏普值風險,0.023031105089899
夏普值,3.163427144099771

預期報酬,43770.995449392699811
風險,46376.574485742617981
趨勢值,0.943816914784188
找到最佳解世代,2607
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,5
AXP[1](6),BA[2](1),CSCO[4](13),TRV[22](10),UTX[24](4),
Stock#,AXP[1](6),BA[2](1),CSCO[4](13),TRV[22](10),UTX[24](4),
張數,19474,5186,42292,15931,16939,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,20.199999999953434,174.679999999934807,11.320000000065193,22.260000000009313,12.270000000018626,
20190201,2007010.639999999897555,2009386.659999999916181,2002114.600000000093132,2015134.449999999953434,2015414.489999999990687,10049060.839999999850988
20190204,2014021.280000000027940,2059016.679999999934807,2002537.520000000018626,2007965.500000000000000,2018124.729999999981374,10101665.710000000894070
20190205,2023368.800000000046566,2127368.160000000149012,1998731.239999999990687,2010195.840000000083819,2045735.300000000046566,10205399.339999999850988
20190206,2044011.239999999757856,2132191.139999999664724,2008035.479999999981374,2000159.310000000055879,2055729.310000000055879,10240126.480000000447035
20190207,2032911.060000000055879,2101386.299999999813735,1975047.720000000204891,2019435.820000000065193,2044888.350000000093132,10173669.250000000000000
20190208,2035442.679999999934807,2100037.940000000409782,1995770.800000000046566,2003982.750000000000000,2074870.379999999888241,10210104.550000000745058
20190211,2052774.539999999804422,2095059.379999999888241,2012264.679999999934807,1998088.280000000027940,2078766.350000000093132,10236953.230000000447035
20190212,2083738.199999999953434,2130168.599999999627471,2025375.200000000186265,2027401.320000000065193,2100109.490000000223517,10366792.810000000521541
20190213,2094643.639999999897555,2129442.559999999590218,2008881.320000000065193,2039827.499999999767169,2107562.649999999906868,10380357.669999999925494
20190214,2076338.080000000074506,2125501.200000000186265,2046944.120000000111759,2022144.090000000083819,2102650.339999999850988,10373577.830000000074506
20190215,2091138.319999999832362,2167767.099999999627471,2090504.880000000121072,2050979.200000000186265,2164138.910000000149012,10564528.410000000149012
20190219,2074001.199999999953434,2158899.040000000037253,2099809.120000000111759,2056714.359999999869615,2179045.229999999981374,10568468.950000001117587
20190220,2079453.919999999925494,2186332.980000000447035,2098963.280000000260770,2066910.200000000186265,2175488.040000000037253,10607148.420000001788139
20190221,2076143.339999999850988,2165744.559999999590218,2089659.040000000037253,2068184.679999999934807,2139746.750000000000000,10539478.369999999180436
20190222,2092306.760000000009313,2199297.980000000447035,2119263.440000000409782,2087301.880000000121072,2164308.299999999813735,10662478.359999999403954
20190225,2082375.020000000018626,2213922.500000000000000,2148022.000000000000000,2110720.450000000186265,2172777.800000000279397,10727817.769999999552965
20190226,2082569.760000000009313,2213403.899999999441206,2164515.879999999888241,2123146.629999999888241,2154483.680000000167638,10738119.849999997764826
20190227,2091917.280000000027940,2258366.519999999552965,2181855.600000000558794,2112791.480000000447035,2149571.370000000111759,10794502.250000000000000
20190228,2098148.959999999962747,2281807.240000000223517,2189468.160000000149012,2117411.469999999739230,2128736.399999999906868,10815572.230000000447035
